size,latency
0.00049,1.546
0.00098,1.545
0.00195,1.546
0.00293,1.546
0.00391,1.546
0.00586,1.546
0.00781,1.546
0.01172,1.546
0.01562,1.547
0.02344,7.732
0.03125,7.73
0.04688,7.733
0.0625,7.729
0.09375,7.728
0.125,7.729
0.1875,7.725
0.25,7.733
0.375,7.968
0.5,7.973
0.75,7.972
1,7.981
1.5,8.41
2,10.623
3,16.135
4,16.132
6,16.007
8,20.072
12,31.15
16,31.836
24,32.351
32,32.526
48,32.687
64,32.7
96,33.066
128,32.844
192,32.844
256,32.922
384,32.953
512,32.974
768,32.935
1024,33.212
1536,32.983
