tid,core,node,bw
0,0,0,786.984
1,1,0,787.17
2,2,0,787.131
3,3,0,787.026
4,4,0,786.96
5,5,0,787.086
6,6,0,787.056
7,7,0,787.224
8,8,0,352.38
9,9,0,352.38
10,10,0,352.543
11,11,0,352.378
12,12,0,352.378
13,13,0,352.543
14,14,0,352.381
15,15,0,352.381
16,16,0,392.548
17,17,0,392.551
18,18,0,392.55
19,19,0,392.549
20,20,0,392.549
21,21,0,392.549
22,22,0,392.549
23,23,0,392.55
24,24,0,283.227
25,25,0,283.227
26,26,0,283.227
27,27,0,283.227
28,28,0,283.22
29,29,0,283.227
30,30,0,283.23
31,31,0,283.23
32,32,0,441.888
33,33,0,441.941
34,34,0,441.938
35,35,0,441.938
36,36,0,441.916
37,37,0,441.94
38,38,0,441.938
39,39,0,441.939
40,40,0,272.132
41,41,0,272.122
42,42,0,272.075
43,43,0,272.119
44,44,0,272.075
45,45,0,272.128
46,46,0,272.075
47,47,0,272.133
0,0,1,441.085
1,1,1,441.085
2,2,1,441.084
3,3,1,441.085
4,4,1,441.089
5,5,1,441.089
6,6,1,441.084
7,7,1,441.086
8,8,1,837.432
9,9,1,837.502
10,10,1,837.307
11,11,1,837.466
12,12,1,837.542
13,13,1,837.392
14,14,1,837.348
15,15,1,837.567
16,16,1,339.695
17,17,1,339.736
18,18,1,339.729
19,19,1,339.742
20,20,1,339.713
21,21,1,339.713
22,22,1,339.685
23,23,1,339.72
24,24,1,482.989
25,25,1,482.99
26,26,1,482.991
27,27,1,482.991
28,28,1,482.982
29,29,1,482.984
30,30,1,482.983
31,31,1,482.984
32,32,1,321.721
33,33,1,321.721
34,34,1,321.721
35,35,1,320.582
36,36,1,321.721
37,37,1,321.721
38,38,1,320.582
39,39,1,320.583
40,40,1,261.328
41,41,1,261.335
42,42,1,261.261
43,43,1,261.334
44,44,1,261.265
45,45,1,261.33
46,46,1,261.262
47,47,1,261.262
0,0,2,442.004
1,1,2,442.003
2,2,2,442
3,3,2,442
4,4,2,442
5,5,2,442.002
6,6,2,442.003
7,7,2,442.003
8,8,2,319.051
9,9,2,319.055
10,10,2,319.053
11,11,2,319.054
12,12,2,319.05
13,13,2,319.059
14,14,2,319.06
15,15,2,319.053
16,16,2,807.66
17,17,2,807.785
18,18,2,807.912
19,19,2,807.822
20,20,2,807.723
21,21,2,807.724
22,22,2,807.866
23,23,2,807.763
24,24,2,405.555
25,25,2,405.554
26,26,2,405.554
27,27,2,405.567
28,28,2,405.567
29,29,2,405.554
30,30,2,405.555
31,31,2,405.556
32,32,2,441.806
33,33,2,441.806
34,34,2,441.807
35,35,2,441.806
36,36,2,441.806
37,37,2,441.806
38,38,2,441.807
39,39,2,441.807
40,40,2,433.307
41,41,2,433.306
42,42,2,433.305
43,43,2,433.306
44,44,2,433.306
45,45,2,433.306
46,46,2,433.306
47,47,2,433.306
0,0,3,337.549
1,1,3,337.549
2,2,3,336.384
3,3,3,336.384
4,4,3,337.549
5,5,3,337.549
6,6,3,336.384
7,7,3,336.384
8,8,3,335.993
9,9,3,335.993
