tid,core,node,bw
0,0,0,743.603
1,4,0,743.603
2,8,0,487.524
3,12,0,487.524
4,16,0,693.563
5,20,0,693.563
6,24,0,473.373
7,28,0,473.373
8,32,0,542.377
9,36,0,542.377
10,40,0,492.263
11,44,0,492.263
12,48,0,685.014
13,52,0,685.015
14,56,0,456.144
15,60,0,456.145
16,1,0,743.604
17,5,0,743.603
18,9,0,487.523
19,13,0,487.524
20,17,0,693.563
21,21,0,693.562
22,25,0,473.373
23,29,0,473.372
24,33,0,542.377
25,37,0,542.377
26,41,0,492.263
27,45,0,492.263
28,49,0,685.015
29,53,0,685.015
30,57,0,456.144
31,61,0,456.145
0,0,1,501.804
1,4,1,501.804
2,8,1,749.581
3,12,1,749.582
4,16,1,500.829
5,20,1,500.829
6,24,1,743.13
7,28,1,743.131
8,32,1,466.278
9,36,1,466.017
10,40,1,436.215
11,44,1,436.215
12,48,1,471.171
13,52,1,471.171
14,56,1,567.757
15,60,1,567.757
16,1,1,501.805
17,5,1,501.804
18,9,1,749.582
19,13,1,749.582
20,17,1,500.829
21,21,1,500.829
22,25,1,743.13
23,29,1,743.131
24,33,1,466.017
25,37,1,467.143
26,41,1,436.215
27,45,1,436.215
28,49,1,471.171
29,53,1,471.172
30,57,1,567.757
31,61,1,567.757
0,0,2,557.654
1,4,2,557.654
2,8,2,536.29
3,12,2,536.29
4,16,2,837.602
5,20,2,837.601
6,24,2,543.463
7,28,2,543.463
8,32,2,557.927
9,36,2,557.925
10,40,2,683.097
11,44,2,683.096
12,48,2,557.521
13,52,2,557.521
14,56,2,555.367
15,60,2,555.367
16,1,2,557.654
17,5,2,557.653
18,9,2,536.29
19,13,2,536.29
20,17,2,837.602
21,21,2,837.602
22,25,2,543.895
23,29,2,543.895
24,33,2,557.927
25,37,2,557.925
26,41,2,683.097
27,45,2,683.096
28,49,2,557.522
29,53,2,557.521
30,57,2,555.368
31,61,2,555.367
0,0,3,430.456
1,4,3,430.456
2,8,3,519.934
3,12,3,519.934
4,16,3,464.889
5,20,3,464.889
6,24,3,828.163
7,28,3,824.94
8,32,3,521.45
9,36,3,521.45
10,40,3,809.518
11,44,3,809.518
12,48,3,418.12
13,52,3,418.12
14,56,3,418.824
15,60,3,418.826
16,1,3,430.456
17,5,3,430.456
18,9,3,519.934
19,13,3,519.934
20,17,3,464.889
21,21,3,464.889
22,25,3,824.939
23,29,3,828.163
24,33,3,521.45
25,37,3,521.45
26,41,3,809.519
27,45,3,809.518
28,49,3,418.12
29,53,3,418.121
30,57,3,418.824
31,61,3,418.826
0,0,4,517.644
1,4,4,517.645
2,8,4,515.311
3,12,4,515.311
4,16,4,521.965
5,20,4,521.965
6,24,4,517.485
7,28,4,517.485
8,32,4,796.588
9,36,4,796.588
10,40,4,511.187
11,44,4,511.187
12,48,4,649.864
13,52,4,649.863
14,56,4,502.902
15,60,4,502.902
16,1,4,517.645
17,5,4,517.645
18,9,4,515.311
19,13,4,515.311
20,17,4,521.965
21,21,4,521.965
22,25,4,517.485
23,29,4,517.485
24,33,4,796.588
25,37,4,796.588
26,41,4,511.186
27,45,4,511.186
28,49,4,649.864
29,53,4,649.864
30,57,4,502.902
31,61,4,502.902
0,0,5,401.773
1,4,5,400.789
2,8,5,394.433
3,12,5,394.433
4,16,5,772.321
5,20,5,772.32
6,24,5,540.751
7,28,5,540.752
8,32,5,436.114
9,36,5,436.114
10,40,5,772.771
11,44,5,772.771
12,48,5,423.243
13,52,5,423.243
14,56,5,542.104
15,60,5,542.104
16,1,5,401.773
17,5,5,400.789
18,9,5,394.433
19,13,5,394.433
20,17,5,772.32
21,21,5,772.32
22,25,5,540.753
23,29,5,540.752
24,33,5,436.114
25,37,5,436.115
26,41,5,780.088
27,45,5,772.77
28,49,5,423.243
29,53,5,423.244
30,57,5,542.104
31,61,5,542.104
0,0,6,704.608
1,4,6,704.609
2,8,6,461.996
3,12,6,461.996
4,16,6,548.317
5,20,6,548.317
6,24,6,494.623
7,28,6,493.778
8,32,6,710.738
9,36,6,710.739
10,40,6,463.326
11,44,6,463.33
12,48,6,779.632
13,52,6,779.632
14,56,6,496.91
15,60,6,497.546
16,1,6,704.608
17,5,6,704.609
18,9,6,462
19,13,6,461.996
20,17,6,548.317
21,21,6,548.318
22,25,6,493.778
23,29,6,493.779
24,33,6,710.738
25,37,6,710.738
26,41,6,463.326
27,45,6,463.326
28,49,6,779.632
29,53,6,779.632
30,57,6,496.909
31,61,6,500.13
0,0,7,478.723
1,4,7,478.723
2,8,7,550.999
3,12,7,551
4,16,7,534.608
5,20,7,534.608
6,24,7,524.032
7,28,7,524.032
8,32,7,451.962
9,36,7,451.962
10,40,7,552.937
11,44,7,552.937
12,48,7,478.445
13,52,7,478.446
14,56,7,764.491
15,60,7,764.491
16,1,7,478.723
17,5,7,478.784
18,9,7,551
19,13,7,551
20,17,7,534.609
21,21,7,534.61
22,25,7,524.032
23,29,7,524.032
24,33,7,451.963
25,37,7,451.963
26,41,7,552.937
27,45,7,552.937
28,49,7,478.445
29,53,7,478.446
30,57,7,764.491
31,61,7,764.491
