tid,core,node,bw
0,0,0,455.97
1,4,0,455.444
2,8,0,455.444
3,12,0,455.97
4,16,0,455.444
5,20,0,455.969
6,24,0,455.969
7,28,0,455.969
8,32,0,455.97
9,36,0,455.444
10,40,0,455.443
11,44,0,455.97
12,48,0,455.444
13,52,0,455.969
14,56,0,455.968
15,60,0,455.969
16,1,0,451.484
17,5,0,454.297
18,9,0,450.612
19,13,0,450.612
20,17,0,451.481
21,21,0,454.297
22,25,0,454.297
23,29,0,451.482
24,33,0,454.297
25,37,0,454.297
26,41,0,450.612
27,45,0,450.612
28,49,0,451.48
29,53,0,454.297
30,57,0,451.484
31,61,0,450.612
32,2,0,450.871
33,6,0,451.449
34,10,0,450.871
35,14,0,450.241
36,18,0,450.871
37,22,0,451.449
38,26,0,451.449
39,30,0,450.871
40,34,0,450.871
41,38,0,450.871
42,42,0,450.24
43,46,0,450.871
44,50,0,450.241
45,54,0,451.449
46,58,0,451.449
47,62,0,450.871
0,0,1,580.936
1,4,1,578.176
2,8,1,578.176
3,12,1,580.935
4,16,1,578.177
5,20,1,578.177
6,24,1,580.936
7,28,1,580.936
8,32,1,580.935
9,36,1,578.178
10,40,1,578.176
11,44,1,580.935
12,48,1,578.177
13,52,1,578.177
14,56,1,580.936
15,60,1,580.936
16,1,1,578.176
17,5,1,578.177
18,9,1,578.176
19,13,1,578.177
20,17,1,578.177
21,21,1,578.176
22,25,1,578.177
23,29,1,578.178
24,33,1,578.176
25,37,1,578.177
26,41,1,578.176
27,45,1,578.177
28,49,1,578.177
29,53,1,578.176
30,57,1,578.177
31,61,1,578.177
32,2,1,579.838
33,6,1,579.839
34,10,1,579.837
35,14,1,579.838
36,18,1,579.838
37,22,1,579.839
38,26,1,579.838
39,30,1,579.838
40,34,1,579.838
41,38,1,579.837
42,42,1,579.837
43,46,1,579.839
44,50,1,579.838
45,54,1,579.837
46,58,1,579.838
47,62,1,579.838
0,0,2,447.766
1,4,2,447.766
2,8,2,447.767
3,12,2,447.766
4,16,2,448.381
5,20,2,447.766
6,24,2,447.767
7,28,2,447.766
8,32,2,447.767
9,36,2,447.766
10,40,2,447.767
11,44,2,447.766
12,48,2,447.766
13,52,2,447.766
14,56,2,448.381
15,60,2,448.381
16,1,2,448.021
17,5,2,447.397
18,9,2,447.397
19,13,2,447.397
20,17,2,447.398
21,21,2,448.021
22,25,2,448.021
23,29,2,448.022
24,33,2,448.021
25,37,2,447.397
26,41,2,447.397
27,45,2,447.397
28,49,2,448.85
29,53,2,447.397
30,57,2,447.397
31,61,2,447.398
32,2,2,452.656
33,6,2,452.23
34,10,2,452.227
35,14,2,452.231
36,18,2,452.227
37,22,2,452.227
38,26,2,452.656
39,30,2,452.231
40,34,2,452.231
41,38,2,452.655
42,42,2,452.227
43,46,2,452.231
44,50,2,452.66
45,54,2,452.231
46,58,2,452.657
47,62,2,452.231
0,0,3,369.802
1,4,3,369.802
2,8,3,369.802
3,12,3,369.802
4,16,3,370.569
5,20,3,369.802
6,24,3,369.802
7,28,3,369.802
8,32,3,369.802
9,36,3,369.802
10,40,3,369.802
11,44,3,369.802
12,48,3,373.301
13,52,3,369.802
14,56,3,369.802
15,60,3,369.802
16,1,3,372.344
17,5,3,372.344
18,9,3,372.344
19,13,3,372.343
20,17,3,372.343
21,21,3,372.344
22,25,3,372.344
23,29,3,372.344
24,33,3,372.344
25,37,3,372.344
26,41,3,372.344
27,45,3,372.343
28,49,3,372.343
29,53,3,370.473
30,57,3,370.473
31,61,3,372.344
32,2,3,370.211
33,6,3,370.211
34,10,3,370.211
35,14,3,372.097
36,18,3,370.211
37,22,3,370.211
38,26,3,370.211
39,30,3,370.211
40,34,3,370.211
41,38,3,370.211
42,42,3,370.211
43,46,3,372.097
44,50,3,372.097
45,54,3,370.211
46,58,3,372.097
47,62,3,370.211
