tid,core,node,bw
0,0,0,1037.74
1,1,0,732.043
2,2,0,722.704
3,3,0,731.866
4,4,0,1037.27
5,5,0,724.408
6,6,0,724.755
7,7,0,732.07
8,8,0,975.12
9,9,0,740.633
10,10,0,724.755
11,11,0,732.07
12,12,0,1001.06
13,13,0,724.408
14,14,0,722.704
15,15,0,740.537
0,0,1,712.612
1,1,1,1031.67
2,2,1,720.694
3,3,1,711.111
4,4,1,720.283
5,5,1,1031.67
6,6,1,720.695
7,7,1,713.177
8,8,1,710.154
9,9,1,1031.67
10,10,1,719.903
11,11,1,711.111
12,12,1,710.154
13,13,1,1031.67
14,14,1,728.746
15,15,1,711.112
0,0,2,720.298
1,1,2,722.87
2,2,2,994.573
3,3,2,722.308
4,4,2,720.298
5,5,2,719.574
6,6,2,1039.41
7,7,2,719.968
8,8,2,716.565
9,9,2,719.574
10,10,2,1029.48
11,11,2,722.308
12,12,2,716.565
13,13,2,719.574
14,14,2,1020.23
15,15,2,719.968
0,0,3,632.115
1,1,3,628.928
2,2,3,628.576
3,3,3,1047.57
4,4,3,628.549
5,5,3,628.928
6,6,3,626.536
7,7,3,1047.57
8,8,3,628.549
9,9,3,626.814
10,10,3,627.972
11,11,3,1057.93
12,12,3,628.77
13,13,3,626.037
14,14,3,627.972
15,15,3,1057.93
