8 nodes available
memory with no policy,backward,Avg,5847.55,MB/s,Max,5849.80,MB/s,Min,5845.56,MB/s
local memory,backward,Avg,5833.01,MB/s,Max,5836.45,MB/s,Min,5827.69,MB/s
memory interleaved on all nodes,backward,Avg,3575.45,MB/s,Max,3578.64,MB/s,Min,3569.99,MB/s
memory on node 0,backward,Avg,2162.34,MB/s,Max,2183.12,MB/s,Min,2153.75,MB/s
memory on node 1,backward,Avg,2919.69,MB/s,Max,2924.33,MB/s,Min,2912.79,MB/s
memory on node 2,backward,Avg,3019.39,MB/s,Max,3040.94,MB/s,Min,3010.12,MB/s
memory on node 3,backward,Avg,2069.30,MB/s,Max,2077.75,MB/s,Min,2064.45,MB/s
memory on node 4,backward,Avg,2026.15,MB/s,Max,2027.64,MB/s,Min,2025.06,MB/s
memory on node 5,backward,Avg,2859.37,MB/s,Max,2866.37,MB/s,Min,2834.53,MB/s
memory on node 6,backward,Avg,4776.96,MB/s,Max,4783.43,MB/s,Min,4765.60,MB/s
memory on node 7,backward,Avg,5841.16,MB/s,Max,5845.88,MB/s,Min,5834.82,MB/s
memory interleaved on 0 1,backward,Avg,2398.43,MB/s,Max,2405.82,MB/s,Min,2394.50,MB/s
memory interleaved on 0 2,backward,Avg,3866.66,MB/s,Max,3871.57,MB/s,Min,3860.74,MB/s
memory interleaved on 1 2,backward,Avg,3662.43,MB/s,Max,3664.04,MB/s,Min,3660.97,MB/s
memory interleaved on 0 1 2,backward,Avg,3427.30,MB/s,Max,3439.31,MB/s,Min,3424.37,MB/s
memory interleaved on 0 3,backward,Avg,3653.24,MB/s,Max,3658.42,MB/s,Min,3650.40,MB/s
memory interleaved on 1 3,backward,Avg,3403.04,MB/s,Max,3404.80,MB/s,Min,3400.27,MB/s
memory interleaved on 0 1 3,backward,Avg,3353.75,MB/s,Max,3358.56,MB/s,Min,3345.06,MB/s
memory interleaved on 2 3,backward,Avg,2376.53,MB/s,Max,2380.53,MB/s,Min,2370.90,MB/s
memory interleaved on 0 2 3,backward,Avg,3441.45,MB/s,Max,3444.05,MB/s,Min,3436.83,MB/s
memory interleaved on 1 2 3,backward,Avg,3237.00,MB/s,Max,3241.35,MB/s,Min,3230.86,MB/s
memory interleaved on 0 1 2 3,backward,Avg,3733.79,MB/s,Max,3736.11,MB/s,Min,3727.21,MB/s
memory interleaved on 0 4,backward,Avg,2677.14,MB/s,Max,2678.42,MB/s,Min,2675.42,MB/s
memory interleaved on 1 4,backward,Avg,2513.20,MB/s,Max,2514.27,MB/s,Min,2507.96,MB/s
memory interleaved on 0 1 4,backward,Avg,2717.29,MB/s,Max,2721.03,MB/s,Min,2715.46,MB/s
memory interleaved on 2 4,backward,Avg,2749.93,MB/s,Max,2753.76,MB/s,Min,2746.62,MB/s
memory interleaved on 0 2 4,backward,Avg,3176.06,MB/s,Max,3179.04,MB/s,Min,3171.35,MB/s
memory interleaved on 1 2 4,backward,Avg,2972.77,MB/s,Max,2974.18,MB/s,Min,2966.52,MB/s
memory interleaved on 0 1 2 4,backward,Avg,3133.41,MB/s,Max,3142.55,MB/s,Min,3128.96,MB/s
memory interleaved on 3 4,backward,Avg,2667.19,MB/s,Max,2669.42,MB/s,Min,2662.44,MB/s
memory interleaved on 0 3 4,backward,Avg,3049.02,MB/s,Max,3054.31,MB/s,Min,3029.60,MB/s
memory interleaved on 1 3 4,backward,Avg,2861.74,MB/s,Max,2863.32,MB/s,Min,2855.29,MB/s
memory interleaved on 0 1 3 4,backward,Avg,3074.10,MB/s,Max,3075.45,MB/s,Min,3070.14,MB/s
memory interleaved on 2 3 4,backward,Avg,2758.52,MB/s,Max,2761.45,MB/s,Min,2754.12,MB/s
memory interleaved on 0 2 3 4,backward,Avg,3289.33,MB/s,Max,3292.03,MB/s,Min,3287.59,MB/s
memory interleaved on 1 2 3 4,backward,Avg,3125.85,MB/s,Max,3127.56,MB/s,Min,3124.85,MB/s
memory interleaved on 0 1 2 3 4,backward,Avg,3256.97,MB/s,Max,3257.86,MB/s,Min,3255.84,MB/s
memory interleaved on 0 5,backward,Avg,3399.41,MB/s,Max,3401.15,MB/s,Min,3397.85,MB/s
memory interleaved on 1 5,backward,Avg,3068.56,MB/s,Max,3070.41,MB/s,Min,3065.83,MB/s
memory interleaved on 0 1 5,backward,Avg,3126.99,MB/s,Max,3130.64,MB/s,Min,3117.51,MB/s
memory interleaved on 2 5,backward,Avg,3637.35,MB/s,Max,3638.36,MB/s,Min,3636.34,MB/s
memory interleaved on 0 2 5,backward,Avg,3755.77,MB/s,Max,3758.20,MB/s,Min,3749.20,MB/s
memory interleaved on 1 2 5,backward,Avg,3472.04,MB/s,Max,3473.83,MB/s,Min,3469.69,MB/s
memory interleaved on 0 1 2 5,backward,Avg,3555.45,MB/s,Max,3561.26,MB/s,Min,3522.73,MB/s
memory interleaved on 3 5,backward,Avg,3361.07,MB/s,Max,3362.87,MB/s,Min,3357.59,MB/s
memory interleaved on 0 3 5,backward,Avg,3583.80,MB/s,Max,3587.33,MB/s,Min,3577.66,MB/s
memory interleaved on 1 3 5,backward,Avg,3320.33,MB/s,Max,3322.27,MB/s,Min,3313.87,MB/s
memory interleaved on 0 1 3 5,backward,Avg,3471.84,MB/s,Max,3474.75,MB/s,Min,3459.16,MB/s
memory interleaved on 2 3 5,backward,Avg,3175.45,MB/s,Max,3180.68,MB/s,Min,3172.31,MB/s
memory interleaved on 0 2 3 5,backward,Avg,3753.22,MB/s,Max,3755.64,MB/s,Min,3748.39,MB/s
memory interleaved on 1 2 3 5,backward,Avg,3539.13,MB/s,Max,3541.53,MB/s,Min,3536.75,MB/s
memory interleaved on 0 1 2 3 5,backward,Avg,3622.51,MB/s,Max,3623.90,MB/s,Min,3619.90,MB/s
memory interleaved on 4 5,backward,Avg,2184.81,MB/s,Max,2191.29,MB/s,Min,2177.86,MB/s
memory interleaved on 0 4 5,backward,Avg,2764.99,MB/s,Max,2767.57,MB/s,Min,2756.87,MB/s
memory interleaved on 1 4 5,backward,Avg,2620.84,MB/s,Max,2622.42,MB/s,Min,2618.36,MB/s
memory interleaved on 0 1 4 5,backward,Avg,2901.28,MB/s,Max,2905.61,MB/s,Min,2873.83,MB/s
memory interleaved on 2 4 5,backward,Avg,2801.79,MB/s,Max,2804.58,MB/s,Min,2800.68,MB/s
memory interleaved on 0 2 4 5,backward,Avg,3136.55,MB/s,Max,3139.54,MB/s,Min,3121.13,MB/s
memory interleaved on 1 2 4 5,backward,Avg,2991.44,MB/s,Max,2992.26,MB/s,Min,2990.80,MB/s
memory interleaved on 0 1 2 4 5,backward,Avg,3097.95,MB/s,Max,3099.45,MB/s,Min,3096.43,MB/s
memory interleaved on 3 4 5,backward,Avg,2759.55,MB/s,Max,2761.59,MB/s,Min,2757.16,MB/s
memory interleaved on 0 3 4 5,backward,Avg,3054.45,MB/s,Max,3055.29,MB/s,Min,3052.89,MB/s
memory interleaved on 1 3 4 5,backward,Avg,2913.26,MB/s,Max,2914.74,MB/s,Min,2904.56,MB/s
memory interleaved on 0 1 3 4 5,backward,Avg,3043.92,MB/s,Max,3045.18,MB/s,Min,3043.14,MB/s
memory interleaved on 2 3 4 5,backward,Avg,3085.94,MB/s,Max,3088.77,MB/s,Min,3073.74,MB/s
memory interleaved on 0 2 3 4 5,backward,Avg,3225.06,MB/s,Max,3226.88,MB/s,Min,3220.05,MB/s
memory interleaved on 1 2 3 4 5,backward,Avg,3118.83,MB/s,Max,3122.99,MB/s,Min,3108.46,MB/s
memory interleaved on 0 1 2 3 4 5,backward,Avg,3235.94,MB/s,Max,3236.75,MB/s,Min,3232.95,MB/s
memory interleaved on 0 6,backward,Avg,3861.86,MB/s,Max,3867.29,MB/s,Min,3855.91,MB/s
memory interleaved on 1 6,backward,Avg,3872.84,MB/s,Max,3876.87,MB/s,Min,3870.14,MB/s
memory interleaved on 0 1 6,backward,Avg,3429.17,MB/s,Max,3434.35,MB/s,Min,3425.38,MB/s
memory interleaved on 2 6,backward,Avg,4819.09,MB/s,Max,4825.25,MB/s,Min,4815.50,MB/s
memory interleaved on 0 2 6,backward,Avg,4473.94,MB/s,Max,4483.78,MB/s,Min,4413.20,MB/s
memory interleaved on 1 2 6,backward,Avg,4111.43,MB/s,Max,4113.35,MB/s,Min,4108.04,MB/s
memory interleaved on 0 1 2 6,backward,Avg,4023.71,MB/s,Max,4025.55,MB/s,Min,4022.00,MB/s
memory interleaved on 3 6,backward,Avg,3844.56,MB/s,Max,3856.19,MB/s,Min,3829.44,MB/s
memory interleaved on 0 3 6,backward,Avg,4205.95,MB/s,Max,4216.40,MB/s,Min,4199.01,MB/s
memory interleaved on 1 3 6,backward,Avg,3872.53,MB/s,Max,3876.58,MB/s,Min,3870.28,MB/s
memory interleaved on 0 1 3 6,backward,Avg,3908.97,MB/s,Max,3910.26,MB/s,Min,3906.62,MB/s
memory interleaved on 2 3 6,backward,Avg,3445.25,MB/s,Max,3447.90,MB/s,Min,3443.83,MB/s
memory interleaved on 0 2 3 6,backward,Avg,4122.67,MB/s,Max,4129.72,MB/s,Min,4116.58,MB/s
memory interleaved on 1 2 3 6,backward,Avg,3875.78,MB/s,Max,3877.73,MB/s,Min,3873.86,MB/s
memory interleaved on 0 1 2 3 6,backward,Avg,3963.35,MB/s,Max,3965.57,MB/s,Min,3961.38,MB/s
memory interleaved on 4 6,backward,Avg,2705.60,MB/s,Max,2708.03,MB/s,Min,2701.05,MB/s
memory interleaved on 0 4 6,backward,Avg,3169.72,MB/s,Max,3175.39,MB/s,Min,3164.08,MB/s
memory interleaved on 1 4 6,backward,Avg,2983.50,MB/s,Max,2985.69,MB/s,Min,2981.45,MB/s
memory interleaved on 0 1 4 6,backward,Avg,3216.96,MB/s,Max,3217.77,MB/s,Min,3216.29,MB/s
memory interleaved on 2 4 6,backward,Avg,3305.19,MB/s,Max,3310.42,MB/s,Min,3303.23,MB/s
memory interleaved on 0 2 4 6,backward,Avg,3527.15,MB/s,Max,3528.90,MB/s,Min,3522.61,MB/s
memory interleaved on 1 2 4 6,backward,Avg,3352.21,MB/s,Max,3354.69,MB/s,Min,3342.50,MB/s
memory interleaved on 0 1 2 4 6,backward,Avg,3433.55,MB/s,Max,3437.39,MB/s,Min,3417.78,MB/s
memory interleaved on 3 4 6,backward,Avg,3173.50,MB/s,Max,3178.27,MB/s,Min,3172.12,MB/s
memory interleaved on 0 3 4 6,backward,Avg,3418.62,MB/s,Max,3419.57,MB/s,Min,3417.67,MB/s
memory interleaved on 1 3 4 6,backward,Avg,3252.70,MB/s,Max,3255.74,MB/s,Min,3241.05,MB/s
memory interleaved on 0 1 3 4 6,backward,Avg,3362.26,MB/s,Max,3363.95,MB/s,Min,3359.64,MB/s
memory interleaved on 2 3 4 6,backward,Avg,3468.41,MB/s,Max,3470.84,MB/s,Min,3465.11,MB/s
memory interleaved on 0 2 3 4 6,backward,Avg,3554.99,MB/s,Max,3557.27,MB/s,Min,3553.65,MB/s
memory interleaved on 1 2 3 4 6,backward,Avg,3418.26,MB/s,Max,3420.46,MB/s,Min,3416.56,MB/s
memory interleaved on 0 1 2 3 4 6,backward,Avg,3423.13,MB/s,Max,3424.82,MB/s,Min,3419.34,MB/s
memory interleaved on 5 6,backward,Avg,3807.74,MB/s,Max,3810.92,MB/s,Min,3802.36,MB/s
memory interleaved on 0 5 6,backward,Avg,3846.43,MB/s,Max,3850.67,MB/s,Min,3836.58,MB/s
memory interleaved on 1 5 6,backward,Avg,3567.43,MB/s,Max,3569.26,MB/s,Min,3558.11,MB/s
memory interleaved on 0 1 5 6,backward,Avg,3659.43,MB/s,Max,3671.10,MB/s,Min,3649.38,MB/s
memory interleaved on 2 5 6,backward,Avg,4042.27,MB/s,Max,4047.31,MB/s,Min,4036.56,MB/s
memory interleaved on 0 2 5 6,backward,Avg,4078.71,MB/s,Max,4089.61,MB/s,Min,4009.08,MB/s
memory interleaved on 1 2 5 6,backward,Avg,3847.19,MB/s,Max,3849.68,MB/s,Min,3843.89,MB/s
memory interleaved on 0 1 2 5 6,backward,Avg,3851.62,MB/s,Max,3853.08,MB/s,Min,3850.39,MB/s
memory interleaved on 3 5 6,backward,Avg,3846.28,MB/s,Max,3847.28,MB/s,Min,3843.05,MB/s
memory interleaved on 0 3 5 6,backward,Avg,3940.59,MB/s,Max,3942.90,MB/s,Min,3939.35,MB/s
memory interleaved on 1 3 5 6,backward,Avg,3713.29,MB/s,Max,3717.43,MB/s,Min,3695.68,MB/s
memory interleaved on 0 1 3 5 6,backward,Avg,3763.30,MB/s,Max,3764.68,MB/s,Min,3762.11,MB/s
memory interleaved on 2 3 5 6,backward,Avg,3998.31,MB/s,Max,3999.91,MB/s,Min,3995.79,MB/s
memory interleaved on 0 2 3 5 6,backward,Avg,4003.28,MB/s,Max,4006.02,MB/s,Min,4000.82,MB/s
memory interleaved on 1 2 3 5 6,backward,Avg,3829.65,MB/s,Max,3832.93,MB/s,Min,3826.64,MB/s
memory interleaved on 0 1 2 3 5 6,backward,Avg,3799.89,MB/s,Max,3801.39,MB/s,Min,3797.95,MB/s
memory interleaved on 4 5 6,backward,Avg,2822.89,MB/s,Max,2827.26,MB/s,Min,2805.25,MB/s
memory interleaved on 0 4 5 6,backward,Avg,3143.26,MB/s,Max,3146.14,MB/s,Min,3141.24,MB/s
memory interleaved on 1 4 5 6,backward,Avg,2998.98,MB/s,Max,3000.56,MB/s,Min,2995.93,MB/s
memory interleaved on 0 1 4 5 6,backward,Avg,3126.41,MB/s,Max,3128.40,MB/s,Min,3124.67,MB/s
memory interleaved on 2 4 5 6,backward,Avg,3249.66,MB/s,Max,3251.90,MB/s,Min,3243.95,MB/s
memory interleaved on 0 2 4 5 6,backward,Avg,3344.94,MB/s,Max,3349.23,MB/s,Min,3331.03,MB/s
memory interleaved on 1 2 4 5 6,backward,Avg,3224.29,MB/s,Max,3228.08,MB/s,Min,3220.24,MB/s
memory interleaved on 0 1 2 4 5 6,backward,Avg,3330.19,MB/s,Max,3337.61,MB/s,Min,3322.17,MB/s
memory interleaved on 3 4 5 6,backward,Avg,3152.06,MB/s,Max,3153.42,MB/s,Min,3150.11,MB/s
memory interleaved on 0 3 4 5 6,backward,Avg,3265.29,MB/s,Max,3266.49,MB/s,Min,3263.54,MB/s
memory interleaved on 1 3 4 5 6,backward,Avg,3146.02,MB/s,Max,3149.16,MB/s,Min,3135.98,MB/s
memory interleaved on 0 1 3 4 5 6,backward,Avg,3267.16,MB/s,Max,3271.18,MB/s,Min,3264.05,MB/s
memory interleaved on 2 3 4 5 6,backward,Avg,3317.14,MB/s,Max,3321.43,MB/s,Min,3304.79,MB/s
memory interleaved on 0 2 3 4 5 6,backward,Avg,3409.74,MB/s,Max,3417.00,MB/s,Min,3395.87,MB/s
memory interleaved on 1 2 3 4 5 6,backward,Avg,3325.04,MB/s,Max,3326.81,MB/s,Min,3321.01,MB/s
memory interleaved on 0 1 2 3 4 5 6,backward,Avg,3410.39,MB/s,Max,3420.35,MB/s,Min,3406.35,MB/s
memory interleaved on 0 7,backward,Avg,3940.44,MB/s,Max,3942.76,MB/s,Min,3935.95,MB/s
memory interleaved on 1 7,backward,Avg,4078.67,MB/s,Max,4083.88,MB/s,Min,4065.98,MB/s
memory interleaved on 0 1 7,backward,Avg,3463.78,MB/s,Max,3465.68,MB/s,Min,3461.79,MB/s
memory interleaved on 2 7,backward,Avg,5143.08,MB/s,Max,5147.65,MB/s,Min,5122.50,MB/s
memory interleaved on 0 2 7,backward,Avg,4767.29,MB/s,Max,4771.89,MB/s,Min,4764.74,MB/s
