8 nodes available
memory with no policy,backward,Avg,5855.78,MB/s,Max,5875.72,MB/s,Min,5846.89,MB/s
local memory,backward,Avg,6006.53,MB/s,Max,6061.10,MB/s,Min,5955.79,MB/s
memory interleaved on all nodes,backward,Avg,3535.10,MB/s,Max,3536.92,MB/s,Min,3528.47,MB/s
memory on node 0,backward,Avg,4966.06,MB/s,Max,4970.59,MB/s,Min,4960.36,MB/s
memory on node 1,backward,Avg,5988.55,MB/s,Max,6070.64,MB/s,Min,5879.22,MB/s
memory on node 2,backward,Avg,2038.16,MB/s,Max,2038.75,MB/s,Min,2037.65,MB/s
memory on node 3,backward,Avg,2879.14,MB/s,Max,2879.87,MB/s,Min,2878.47,MB/s
memory on node 4,backward,Avg,2873.60,MB/s,Max,2874.63,MB/s,Min,2872.68,MB/s
memory on node 5,backward,Avg,1973.07,MB/s,Max,1973.60,MB/s,Min,1972.40,MB/s
memory on node 6,backward,Avg,2065.55,MB/s,Max,2066.53,MB/s,Min,2062.94,MB/s
memory on node 7,backward,Avg,2897.29,MB/s,Max,2898.56,MB/s,Min,2892.92,MB/s
memory interleaved on 0 1,backward,Avg,5962.51,MB/s,Max,5964.29,MB/s,Min,5956.36,MB/s
memory interleaved on 0 2,backward,Avg,3887.46,MB/s,Max,3889.09,MB/s,Min,3885.18,MB/s
memory interleaved on 1 2,backward,Avg,3898.23,MB/s,Max,3899.15,MB/s,Min,3895.91,MB/s
memory interleaved on 0 1 2,backward,Avg,5054.97,MB/s,Max,5057.03,MB/s,Min,5048.90,MB/s
memory interleaved on 0 3,backward,Avg,4937.48,MB/s,Max,4938.01,MB/s,Min,4937.17,MB/s
memory interleaved on 1 3,backward,Avg,5184.65,MB/s,Max,5188.17,MB/s,Min,5172.81,MB/s
memory interleaved on 0 1 3,backward,Avg,5461.74,MB/s,Max,5464.12,MB/s,Min,5456.70,MB/s
memory interleaved on 2 3,backward,Avg,2310.29,MB/s,Max,2311.53,MB/s,Min,2309.18,MB/s
memory interleaved on 0 2 3,backward,Avg,3454.07,MB/s,Max,3455.51,MB/s,Min,3453.02,MB/s
memory interleaved on 1 2 3,backward,Avg,3454.65,MB/s,Max,3455.30,MB/s,Min,3453.85,MB/s
memory interleaved on 0 1 2 3,backward,Avg,4392.35,MB/s,Max,4393.16,MB/s,Min,4391.35,MB/s
memory interleaved on 0 4,backward,Avg,3913.80,MB/s,Max,3914.60,MB/s,Min,3911.62,MB/s
memory interleaved on 1 4,backward,Avg,4079.01,MB/s,Max,4080.48,MB/s,Min,4076.11,MB/s
memory interleaved on 0 1 4,backward,Avg,4577.15,MB/s,Max,4578.67,MB/s,Min,4573.32,MB/s
memory interleaved on 2 4,backward,Avg,3433.38,MB/s,Max,3438.90,MB/s,Min,3414.18,MB/s
memory interleaved on 0 2 4,backward,Avg,3952.64,MB/s,Max,3954.10,MB/s,Min,3948.17,MB/s
memory interleaved on 1 2 4,backward,Avg,4137.26,MB/s,Max,4138.86,MB/s,Min,4133.93,MB/s
memory interleaved on 0 1 2 4,backward,Avg,4479.06,MB/s,Max,4479.85,MB/s,Min,4476.85,MB/s
memory interleaved on 3 4,backward,Avg,3667.98,MB/s,Max,3668.77,MB/s,Min,3665.27,MB/s
memory interleaved on 0 3 4,backward,Avg,4154.38,MB/s,Max,4155.24,MB/s,Min,4153.78,MB/s
memory interleaved on 1 3 4,backward,Avg,4340.53,MB/s,Max,4341.30,MB/s,Min,4338.41,MB/s
memory interleaved on 0 1 3 4,backward,Avg,4681.45,MB/s,Max,4682.67,MB/s,Min,4679.53,MB/s
memory interleaved on 2 3 4,backward,Avg,3159.88,MB/s,Max,3160.92,MB/s,Min,3158.88,MB/s
memory interleaved on 0 2 3 4,backward,Avg,3920.94,MB/s,Max,3922.86,MB/s,Min,3911.98,MB/s
memory interleaved on 1 2 3 4,backward,Avg,3947.90,MB/s,Max,3949.28,MB/s,Min,3945.26,MB/s
memory interleaved on 0 1 2 3 4,backward,Avg,4454.17,MB/s,Max,4455.07,MB/s,Min,4453.33,MB/s
memory interleaved on 0 5,backward,Avg,3418.97,MB/s,Max,3420.05,MB/s,Min,3417.96,MB/s
memory interleaved on 1 5,backward,Avg,3423.11,MB/s,Max,3423.52,MB/s,Min,3422.44,MB/s
memory interleaved on 0 1 5,backward,Avg,4492.29,MB/s,Max,4494.10,MB/s,Min,4488.52,MB/s
memory interleaved on 2 5,backward,Avg,3324.32,MB/s,Max,3325.85,MB/s,Min,3320.66,MB/s
memory interleaved on 0 2 5,backward,Avg,3895.23,MB/s,Max,3900.33,MB/s,Min,3875.98,MB/s
memory interleaved on 1 2 5,backward,Avg,3996.93,MB/s,Max,3997.94,MB/s,Min,3993.13,MB/s
memory interleaved on 0 1 2 5,backward,Avg,4444.67,MB/s,Max,4448.43,MB/s,Min,4433.35,MB/s
memory interleaved on 3 5,backward,Avg,3401.22,MB/s,Max,3403.61,MB/s,Min,3390.19,MB/s
memory interleaved on 0 3 5,backward,Avg,4089.26,MB/s,Max,4091.43,MB/s,Min,4085.15,MB/s
memory interleaved on 1 3 5,backward,Avg,4186.63,MB/s,Max,4188.88,MB/s,Min,4183.69,MB/s
memory interleaved on 0 1 3 5,backward,Avg,4646.70,MB/s,Max,4647.76,MB/s,Min,4643.91,MB/s
memory interleaved on 2 3 5,backward,Avg,3148.55,MB/s,Max,3151.35,MB/s,Min,3144.67,MB/s
memory interleaved on 0 2 3 5,backward,Avg,3904.18,MB/s,Max,3905.25,MB/s,Min,3900.82,MB/s
memory interleaved on 1 2 3 5,backward,Avg,3926.05,MB/s,Max,3927.40,MB/s,Min,3924.31,MB/s
memory interleaved on 0 1 2 3 5,backward,Avg,4411.08,MB/s,Max,4418.35,MB/s,Min,4364.14,MB/s
memory interleaved on 4 5,backward,Avg,2277.17,MB/s,Max,2278.51,MB/s,Min,2276.36,MB/s
memory interleaved on 0 4 5,backward,Avg,3232.04,MB/s,Max,3234.67,MB/s,Min,3220.46,MB/s
memory interleaved on 1 4 5,backward,Avg,3235.04,MB/s,Max,3236.90,MB/s,Min,3232.45,MB/s
memory interleaved on 0 1 4 5,backward,Avg,3750.89,MB/s,Max,3752.45,MB/s,Min,3748.03,MB/s
memory interleaved on 2 4 5,backward,Avg,3190.94,MB/s,Max,3193.31,MB/s,Min,3180.05,MB/s
memory interleaved on 0 2 4 5,backward,Avg,3523.06,MB/s,Max,3525.32,MB/s,Min,3512.33,MB/s
memory interleaved on 1 2 4 5,backward,Avg,3531.22,MB/s,Max,3532.19,MB/s,Min,3527.86,MB/s
memory interleaved on 0 1 2 4 5,backward,Avg,3844.83,MB/s,Max,3847.27,MB/s,Min,3835.23,MB/s
memory interleaved on 3 4 5,backward,Avg,3224.48,MB/s,Max,3227.23,MB/s,Min,3213.59,MB/s
memory interleaved on 0 3 4 5,backward,Avg,3641.35,MB/s,Max,3642.68,MB/s,Min,3637.55,MB/s
memory interleaved on 1 3 4 5,backward,Avg,3643.89,MB/s,Max,3645.56,MB/s,Min,3642.15,MB/s
memory interleaved on 0 1 3 4 5,backward,Avg,3958.06,MB/s,Max,3960.63,MB/s,Min,3946.35,MB/s
memory interleaved on 2 3 4 5,backward,Avg,3417.45,MB/s,Max,3417.91,MB/s,Min,3416.69,MB/s
memory interleaved on 0 2 3 4 5,backward,Avg,3758.67,MB/s,Max,3759.44,MB/s,Min,3755.74,MB/s
memory interleaved on 1 2 3 4 5,backward,Avg,3765.20,MB/s,Max,3765.98,MB/s,Min,3762.77,MB/s
memory interleaved on 0 1 2 3 4 5,backward,Avg,3991.23,MB/s,Max,3996.02,MB/s,Min,3971.44,MB/s
memory interleaved on 0 6,backward,Avg,2768.43,MB/s,Max,2769.69,MB/s,Min,2764.50,MB/s
memory interleaved on 1 6,backward,Avg,2773.88,MB/s,Max,2775.62,MB/s,Min,2772.59,MB/s
memory interleaved on 0 1 6,backward,Avg,3695.94,MB/s,Max,3697.81,MB/s,Min,3693.39,MB/s
memory interleaved on 2 6,backward,Avg,2707.74,MB/s,Max,2708.48,MB/s,Min,2706.29,MB/s
memory interleaved on 0 2 6,backward,Avg,3275.18,MB/s,Max,3275.89,MB/s,Min,3274.42,MB/s
memory interleaved on 1 2 6,backward,Avg,3361.35,MB/s,Max,3363.81,MB/s,Min,3346.79,MB/s
memory interleaved on 0 1 2 6,backward,Avg,3810.00,MB/s,Max,3810.87,MB/s,Min,3806.72,MB/s
memory interleaved on 3 6,backward,Avg,2759.30,MB/s,Max,2760.44,MB/s,Min,2757.73,MB/s
memory interleaved on 0 3 6,backward,Avg,3417.42,MB/s,Max,3418.61,MB/s,Min,3415.18,MB/s
memory interleaved on 1 3 6,backward,Avg,3495.94,MB/s,Max,3496.75,MB/s,Min,3494.36,MB/s
memory interleaved on 0 1 3 6,backward,Avg,3960.28,MB/s,Max,3961.94,MB/s,Min,3957.85,MB/s
memory interleaved on 2 3 6,backward,Avg,2741.39,MB/s,Max,2743.49,MB/s,Min,2739.61,MB/s
memory interleaved on 0 2 3 6,backward,Avg,3409.16,MB/s,Max,3410.37,MB/s,Min,3407.34,MB/s
memory interleaved on 1 2 3 6,backward,Avg,3430.91,MB/s,Max,3433.68,MB/s,Min,3415.03,MB/s
memory interleaved on 0 1 2 3 6,backward,Avg,3904.91,MB/s,Max,3907.76,MB/s,Min,3894.03,MB/s
memory interleaved on 4 6,backward,Avg,2511.82,MB/s,Max,2512.65,MB/s,Min,2508.10,MB/s
memory interleaved on 0 4 6,backward,Avg,3050.22,MB/s,Max,3050.94,MB/s,Min,3048.66,MB/s
memory interleaved on 1 4 6,backward,Avg,3112.57,MB/s,Max,3113.42,MB/s,Min,3111.73,MB/s
memory interleaved on 0 1 4 6,backward,Avg,3591.68,MB/s,Max,3592.63,MB/s,Min,3590.80,MB/s
memory interleaved on 2 4 6,backward,Avg,2874.91,MB/s,Max,2875.31,MB/s,Min,2873.91,MB/s
memory interleaved on 0 2 4 6,backward,Avg,3278.61,MB/s,Max,3280.37,MB/s,Min,3269.98,MB/s
memory interleaved on 1 2 4 6,backward,Avg,3353.72,MB/s,Max,3354.39,MB/s,Min,3352.40,MB/s
memory interleaved on 0 1 2 4 6,backward,Avg,3659.23,MB/s,Max,3663.03,MB/s,Min,3643.17,MB/s
memory interleaved on 3 4 6,backward,Avg,2967.07,MB/s,Max,2968.36,MB/s,Min,2962.89,MB/s
memory interleaved on 0 3 4 6,backward,Avg,3391.05,MB/s,Max,3392.77,MB/s,Min,3383.59,MB/s
memory interleaved on 1 3 4 6,backward,Avg,3461.21,MB/s,Max,3462.00,MB/s,Min,3459.68,MB/s
memory interleaved on 0 1 3 4 6,backward,Avg,3769.29,MB/s,Max,3771.07,MB/s,Min,3766.94,MB/s
memory interleaved on 2 3 4 6,backward,Avg,3078.48,MB/s,Max,3079.67,MB/s,Min,3076.88,MB/s
memory interleaved on 0 2 3 4 6,backward,Avg,3480.23,MB/s,Max,3482.62,MB/s,Min,3467.50,MB/s
memory interleaved on 1 2 3 4 6,backward,Avg,3563.92,MB/s,Max,3564.90,MB/s,Min,3561.46,MB/s
memory interleaved on 0 1 2 3 4 6,backward,Avg,3815.44,MB/s,Max,3818.56,MB/s,Min,3797.19,MB/s
memory interleaved on 5 6,backward,Avg,2497.25,MB/s,Max,2497.99,MB/s,Min,2495.63,MB/s
memory interleaved on 0 5 6,backward,Avg,3036.03,MB/s,Max,3037.85,MB/s,Min,3027.71,MB/s
memory interleaved on 1 5 6,backward,Avg,3096.58,MB/s,Max,3098.10,MB/s,Min,3086.59,MB/s
memory interleaved on 0 1 5 6,backward,Avg,3580.10,MB/s,Max,3580.99,MB/s,Min,3578.17,MB/s
memory interleaved on 2 5 6,backward,Avg,2863.73,MB/s,Max,2864.18,MB/s,Min,2862.83,MB/s
memory interleaved on 0 2 5 6,backward,Avg,3270.12,MB/s,Max,3270.80,MB/s,Min,3268.45,MB/s
memory interleaved on 1 2 5 6,backward,Avg,3338.04,MB/s,Max,3339.73,MB/s,Min,3330.96,MB/s
memory interleaved on 0 1 2 5 6,backward,Avg,3651.52,MB/s,Max,3653.21,MB/s,Min,3647.73,MB/s
memory interleaved on 3 5 6,backward,Avg,2955.99,MB/s,Max,2956.68,MB/s,Min,2954.75,MB/s
memory interleaved on 0 3 5 6,backward,Avg,3382.00,MB/s,Max,3382.73,MB/s,Min,3380.55,MB/s
memory interleaved on 1 3 5 6,backward,Avg,3446.96,MB/s,Max,3447.96,MB/s,Min,3445.13,MB/s
memory interleaved on 0 1 3 5 6,backward,Avg,3757.69,MB/s,Max,3758.69,MB/s,Min,3755.38,MB/s
