8 nodes available
memory with no policy,forward,Avg,5970.95,MB/s,Max,6003.18,MB/s,Min,5931.87,MB/s
local memory,forward,Avg,5979.32,MB/s,Max,5998.38,MB/s,Min,5956.13,MB/s
memory interleaved on all nodes,forward,Avg,3344.97,MB/s,Max,3366.86,MB/s,Min,3331.88,MB/s
memory on node 0,forward,Avg,2148.46,MB/s,Max,2182.99,MB/s,Min,2133.64,MB/s
memory on node 1,forward,Avg,2907.02,MB/s,Max,2909.72,MB/s,Min,2905.21,MB/s
memory on node 2,forward,Avg,2978.76,MB/s,Max,3011.33,MB/s,Min,2968.96,MB/s
memory on node 3,forward,Avg,2056.00,MB/s,Max,2087.72,MB/s,Min,2045.04,MB/s
memory on node 4,forward,Avg,2039.50,MB/s,Max,2041.66,MB/s,Min,2038.29,MB/s
memory on node 5,forward,Avg,2847.42,MB/s,Max,2849.08,MB/s,Min,2846.53,MB/s
memory on node 6,forward,Avg,4416.17,MB/s,Max,4425.12,MB/s,Min,4407.08,MB/s
memory on node 7,forward,Avg,5880.96,MB/s,Max,5985.71,MB/s,Min,5703.12,MB/s
memory interleaved on 0 1,forward,Avg,2373.99,MB/s,Max,2378.10,MB/s,Min,2370.52,MB/s
memory interleaved on 0 2,forward,Avg,3523.76,MB/s,Max,3535.68,MB/s,Min,3508.94,MB/s
memory interleaved on 1 2,forward,Avg,3426.81,MB/s,Max,3434.24,MB/s,Min,3416.56,MB/s
memory interleaved on 0 1 2,forward,Avg,3207.30,MB/s,Max,3216.79,MB/s,Min,3199.41,MB/s
memory interleaved on 0 3,forward,Avg,3256.40,MB/s,Max,3274.34,MB/s,Min,3229.07,MB/s
memory interleaved on 1 3,forward,Avg,3135.15,MB/s,Max,3142.74,MB/s,Min,3120.58,MB/s
memory interleaved on 0 1 3,forward,Avg,3115.79,MB/s,Max,3128.96,MB/s,Min,3103.12,MB/s
memory interleaved on 2 3,forward,Avg,2346.36,MB/s,Max,2355.45,MB/s,Min,2342.30,MB/s
memory interleaved on 0 2 3,forward,Avg,3220.95,MB/s,Max,3229.67,MB/s,Min,3208.42,MB/s
memory interleaved on 1 2 3,forward,Avg,3141.26,MB/s,Max,3165.51,MB/s,Min,3112.79,MB/s
memory interleaved on 0 1 2 3,forward,Avg,3326.78,MB/s,Max,3341.33,MB/s,Min,3307.81,MB/s
memory interleaved on 0 4,forward,Avg,2572.26,MB/s,Max,2578.44,MB/s,Min,2562.82,MB/s
memory interleaved on 1 4,forward,Avg,2505.87,MB/s,Max,2509.16,MB/s,Min,2494.83,MB/s
memory interleaved on 0 1 4,forward,Avg,2671.89,MB/s,Max,2686.38,MB/s,Min,2653.75,MB/s
memory interleaved on 2 4,forward,Avg,2717.35,MB/s,Max,2729.32,MB/s,Min,2700.01,MB/s
memory interleaved on 0 2 4,forward,Avg,2943.86,MB/s,Max,2949.83,MB/s,Min,2936.69,MB/s
memory interleaved on 1 2 4,forward,Avg,2878.12,MB/s,Max,2881.57,MB/s,Min,2867.55,MB/s
memory interleaved on 0 1 2 4,forward,Avg,2970.99,MB/s,Max,2975.27,MB/s,Min,2964.68,MB/s
memory interleaved on 3 4,forward,Avg,2551.57,MB/s,Max,2557.69,MB/s,Min,2545.46,MB/s
memory interleaved on 0 3 4,forward,Avg,2817.50,MB/s,Max,2824.29,MB/s,Min,2813.84,MB/s
memory interleaved on 1 3 4,forward,Avg,2754.72,MB/s,Max,2756.80,MB/s,Min,2752.53,MB/s
memory interleaved on 0 1 3 4,forward,Avg,2877.08,MB/s,Max,2880.39,MB/s,Min,2873.36,MB/s
memory interleaved on 2 3 4,forward,Avg,2708.89,MB/s,Max,2728.18,MB/s,Min,2686.45,MB/s
memory interleaved on 0 2 3 4,forward,Avg,2990.81,MB/s,Max,2996.79,MB/s,Min,2983.23,MB/s
memory interleaved on 1 2 3 4,forward,Avg,2934.40,MB/s,Max,2963.17,MB/s,Min,2875.33,MB/s
memory interleaved on 0 1 2 3 4,forward,Avg,3034.44,MB/s,Max,3043.06,MB/s,Min,3026.37,MB/s
memory interleaved on 0 5,forward,Avg,3123.95,MB/s,Max,3134.76,MB/s,Min,3103.95,MB/s
memory interleaved on 1 5,forward,Avg,3024.42,MB/s,Max,3027.24,MB/s,Min,3021.31,MB/s
memory interleaved on 0 1 5,forward,Avg,3040.55,MB/s,Max,3051.65,MB/s,Min,3030.39,MB/s
memory interleaved on 2 5,forward,Avg,3399.79,MB/s,Max,3404.91,MB/s,Min,3397.08,MB/s
memory interleaved on 0 2 5,forward,Avg,3420.48,MB/s,Max,3426.05,MB/s,Min,3415.22,MB/s
memory interleaved on 1 2 5,forward,Avg,3326.44,MB/s,Max,3333.05,MB/s,Min,3320.70,MB/s
memory interleaved on 0 1 2 5,forward,Avg,3315.01,MB/s,Max,3319.96,MB/s,Min,3307.81,MB/s
memory interleaved on 3 5,forward,Avg,3096.73,MB/s,Max,3104.87,MB/s,Min,3087.13,MB/s
memory interleaved on 0 3 5,forward,Avg,3242.44,MB/s,Max,3245.66,MB/s,Min,3238.94,MB/s
memory interleaved on 1 3 5,forward,Avg,3158.52,MB/s,Max,3164.27,MB/s,Min,3153.61,MB/s
memory interleaved on 0 1 3 5,forward,Avg,3193.38,MB/s,Max,3202.54,MB/s,Min,3175.48,MB/s
memory interleaved on 2 3 5,forward,Avg,3094.06,MB/s,Max,3106.98,MB/s,Min,3086.04,MB/s
memory interleaved on 0 2 3 5,forward,Avg,3347.26,MB/s,Max,3365.67,MB/s,Min,3319.54,MB/s
memory interleaved on 1 2 3 5,forward,Avg,3281.66,MB/s,Max,3311.05,MB/s,Min,3262.93,MB/s
memory interleaved on 0 1 2 3 5,forward,Avg,3334.07,MB/s,Max,3343.03,MB/s,Min,3324.80,MB/s
memory interleaved on 4 5,forward,Avg,2203.18,MB/s,Max,2210.41,MB/s,Min,2193.08,MB/s
memory interleaved on 0 4 5,forward,Avg,2683.84,MB/s,Max,2695.22,MB/s,Min,2665.89,MB/s
memory interleaved on 1 4 5,forward,Avg,2636.87,MB/s,Max,2646.72,MB/s,Min,2630.25,MB/s
