8 nodes available
memory with no policy,forward,Avg,5721.98,MB/s,Max,5731.02,MB/s,Min,5711.23,MB/s
local memory,forward,Avg,5728.41,MB/s,Max,5731.61,MB/s,Min,5722.39,MB/s
memory interleaved on all nodes,forward,Avg,3379.52,MB/s,Max,3385.71,MB/s,Min,3372.89,MB/s
memory on node 0,forward,Avg,4603.88,MB/s,Max,4610.48,MB/s,Min,4598.88,MB/s
memory on node 1,forward,Avg,5741.60,MB/s,Max,5753.98,MB/s,Min,5730.83,MB/s
memory on node 2,forward,Avg,2051.38,MB/s,Max,2052.03,MB/s,Min,2050.94,MB/s
memory on node 3,forward,Avg,2876.01,MB/s,Max,2876.77,MB/s,Min,2874.79,MB/s
memory on node 4,forward,Avg,2866.43,MB/s,Max,2867.30,MB/s,Min,2864.73,MB/s
memory on node 5,forward,Avg,1983.42,MB/s,Max,1984.12,MB/s,Min,1982.75,MB/s
memory on node 6,forward,Avg,2078.87,MB/s,Max,2079.75,MB/s,Min,2075.58,MB/s
memory on node 7,forward,Avg,2888.97,MB/s,Max,2890.23,MB/s,Min,2884.64,MB/s
memory interleaved on 0 1,forward,Avg,5762.95,MB/s,Max,5772.86,MB/s,Min,5750.63,MB/s
memory interleaved on 0 2,forward,Avg,3700.55,MB/s,Max,3732.94,MB/s,Min,3667.81,MB/s
memory interleaved on 1 2,forward,Avg,3755.16,MB/s,Max,3773.96,MB/s,Min,3727.75,MB/s
memory interleaved on 0 1 2,forward,Avg,4532.67,MB/s,Max,4546.59,MB/s,Min,4521.63,MB/s
memory interleaved on 0 3,forward,Avg,4459.62,MB/s,Max,4463.32,MB/s,Min,4454.94,MB/s
memory interleaved on 1 3,forward,Avg,4834.27,MB/s,Max,4839.62,MB/s,Min,4827.45,MB/s
memory interleaved on 0 1 3,forward,Avg,5127.37,MB/s,Max,5132.08,MB/s,Min,5122.40,MB/s
memory interleaved on 2 3,forward,Avg,2308.94,MB/s,Max,2311.55,MB/s,Min,2307.02,MB/s
memory interleaved on 0 2 3,forward,Avg,3428.08,MB/s,Max,3436.93,MB/s,Min,3414.14,MB/s
memory interleaved on 1 2 3,forward,Avg,3432.09,MB/s,Max,3440.62,MB/s,Min,3426.82,MB/s
memory interleaved on 0 1 2 3,forward,Avg,4070.93,MB/s,Max,4089.39,MB/s,Min,4057.78,MB/s
memory interleaved on 0 4,forward,Avg,3793.17,MB/s,Max,3797.70,MB/s,Min,3789.00,MB/s
memory interleaved on 1 4,forward,Avg,4065.20,MB/s,Max,4071.40,MB/s,Min,4057.14,MB/s
memory interleaved on 0 1 4,forward,Avg,4522.02,MB/s,Max,4525.17,MB/s,Min,4518.15,MB/s
memory interleaved on 2 4,forward,Avg,3168.96,MB/s,Max,3178.99,MB/s,Min,3156.93,MB/s
memory interleaved on 0 2 4,forward,Avg,3660.56,MB/s,Max,3663.44,MB/s,Min,3654.84,MB/s
memory interleaved on 1 2 4,forward,Avg,3770.41,MB/s,Max,3782.16,MB/s,Min,3759.81,MB/s
memory interleaved on 0 1 2 4,forward,Avg,4153.13,MB/s,Max,4156.99,MB/s,Min,4144.91,MB/s
memory interleaved on 3 4,forward,Avg,3436.50,MB/s,Max,3442.93,MB/s,Min,3431.60,MB/s
memory interleaved on 0 3 4,forward,Avg,3937.90,MB/s,Max,3942.22,MB/s,Min,3931.33,MB/s
memory interleaved on 1 3 4,forward,Avg,4159.26,MB/s,Max,4162.11,MB/s,Min,4156.71,MB/s
memory interleaved on 0 1 3 4,forward,Avg,4448.52,MB/s,Max,4449.51,MB/s,Min,4446.57,MB/s
memory interleaved on 2 3 4,forward,Avg,3194.96,MB/s,Max,3203.78,MB/s,Min,3184.37,MB/s
memory interleaved on 0 2 3 4,forward,Avg,3634.05,MB/s,Max,3657.22,MB/s,Min,3610.36,MB/s
memory interleaved on 1 2 3 4,forward,Avg,3648.24,MB/s,Max,3661.38,MB/s,Min,3641.72,MB/s
memory interleaved on 0 1 2 3 4,forward,Avg,3940.17,MB/s,Max,3951.39,MB/s,Min,3925.87,MB/s
memory interleaved on 0 5,forward,Avg,3422.70,MB/s,Max,3447.86,MB/s,Min,3387.98,MB/s
memory interleaved on 1 5,forward,Avg,3460.71,MB/s,Max,3477.82,MB/s,Min,3428.58,MB/s
memory interleaved on 0 1 5,forward,Avg,4240.88,MB/s,Max,4252.96,MB/s,Min,4223.11,MB/s
memory interleaved on 2 5,forward,Avg,3072.53,MB/s,Max,3085.92,MB/s,Min,3041.40,MB/s
memory interleaved on 0 2 5,forward,Avg,3590.54,MB/s,Max,3599.87,MB/s,Min,3575.26,MB/s
memory interleaved on 1 2 5,forward,Avg,3677.69,MB/s,Max,3690.62,MB/s,Min,3662.48,MB/s
memory interleaved on 0 1 2 5,forward,Avg,4069.66,MB/s,Max,4078.27,MB/s,Min,4062.55,MB/s
memory interleaved on 3 5,forward,Avg,3290.12,MB/s,Max,3299.46,MB/s,Min,3262.79,MB/s
memory interleaved on 0 3 5,forward,Avg,3850.05,MB/s,Max,3855.07,MB/s,Min,3845.61,MB/s
memory interleaved on 1 3 5,forward,Avg,4019.59,MB/s,Max,4033.65,MB/s,Min,3996.77,MB/s
memory interleaved on 0 1 3 5,forward,Avg,4341.01,MB/s,Max,4354.93,MB/s,Min,4328.36,MB/s
memory interleaved on 2 3 5,forward,Avg,3143.16,MB/s,Max,3156.93,MB/s,Min,3125.09,MB/s
memory interleaved on 0 2 3 5,forward,Avg,3592.89,MB/s,Max,3600.78,MB/s,Min,3584.40,MB/s
memory interleaved on 1 2 3 5,forward,Avg,3598.43,MB/s,Max,3606.97,MB/s,Min,3586.17,MB/s
memory interleaved on 0 1 2 3 5,forward,Avg,3891.51,MB/s,Max,3901.88,MB/s,Min,3883.46,MB/s
memory interleaved on 4 5,forward,Avg,2276.55,MB/s,Max,2278.97,MB/s,Min,2274.40,MB/s
memory interleaved on 0 4 5,forward,Avg,3137.66,MB/s,Max,3148.31,MB/s,Min,3120.87,MB/s
memory interleaved on 1 4 5,forward,Avg,3147.96,MB/s,Max,3161.30,MB/s,Min,3122.51,MB/s
memory interleaved on 0 1 4 5,forward,Avg,3661.14,MB/s,Max,3682.41,MB/s,Min,3634.20,MB/s
memory interleaved on 2 4 5,forward,Avg,3001.99,MB/s,Max,3010.06,MB/s,Min,2993.04,MB/s
memory interleaved on 0 2 4 5,forward,Avg,3422.75,MB/s,Max,3433.18,MB/s,Min,3406.69,MB/s
memory interleaved on 1 2 4 5,forward,Avg,3457.84,MB/s,Max,3468.06,MB/s,Min,3437.65,MB/s
memory interleaved on 0 1 2 4 5,forward,Avg,3752.16,MB/s,Max,3767.29,MB/s,Min,3734.99,MB/s
memory interleaved on 3 4 5,forward,Avg,3097.47,MB/s,Max,3111.99,MB/s,Min,3081.51,MB/s
memory interleaved on 0 3 4 5,forward,Avg,3555.60,MB/s,Max,3570.50,MB/s,Min,3547.22,MB/s
memory interleaved on 1 3 4 5,forward,Avg,3604.17,MB/s,Max,3612.18,MB/s,Min,3593.99,MB/s
memory interleaved on 0 1 3 4 5,forward,Avg,3885.23,MB/s,Max,3908.27,MB/s,Min,3873.41,MB/s
memory interleaved on 2 3 4 5,forward,Avg,3259.01,MB/s,Max,3266.98,MB/s,Min,3253.72,MB/s
memory interleaved on 0 2 3 4 5,forward,Avg,3528.57,MB/s,Max,3534.71,MB/s,Min,3522.03,MB/s
memory interleaved on 1 2 3 4 5,forward,Avg,3541.33,MB/s,Max,3549.54,MB/s,Min,3536.43,MB/s
memory interleaved on 0 1 2 3 4 5,forward,Avg,3768.98,MB/s,Max,3776.96,MB/s,Min,3759.72,MB/s
memory interleaved on 0 6,forward,Avg,2811.45,MB/s,Max,2826.51,MB/s,Min,2803.24,MB/s
memory interleaved on 1 6,forward,Avg,2862.57,MB/s,Max,2875.99,MB/s,Min,2846.51,MB/s
memory interleaved on 0 1 6,forward,Avg,3579.42,MB/s,Max,3587.29,MB/s,Min,3563.20,MB/s
memory interleaved on 2 6,forward,Avg,2583.55,MB/s,Max,2586.67,MB/s,Min,2578.34,MB/s
memory interleaved on 0 2 6,forward,Avg,3092.30,MB/s,Max,3097.12,MB/s,Min,3087.38,MB/s
memory interleaved on 1 2 6,forward,Avg,3168.56,MB/s,Max,3177.60,MB/s,Min,3159.23,MB/s
memory interleaved on 0 1 2 6,forward,Avg,3571.92,MB/s,Max,3575.61,MB/s,Min,3565.12,MB/s
memory interleaved on 3 6,forward,Avg,2723.60,MB/s,Max,2736.30,MB/s,Min,2706.62,MB/s
memory interleaved on 0 3 6,forward,Avg,3292.63,MB/s,Max,3295.87,MB/s,Min,3287.83,MB/s
memory interleaved on 1 3 6,forward,Avg,3430.24,MB/s,Max,3435.55,MB/s,Min,3424.30,MB/s
memory interleaved on 0 1 3 6,forward,Avg,3790.14,MB/s,Max,3796.97,MB/s,Min,3782.92,MB/s
memory interleaved on 2 3 6,forward,Avg,2776.92,MB/s,Max,2782.68,MB/s,Min,2770.57,MB/s
memory interleaved on 0 2 3 6,forward,Avg,3208.09,MB/s,Max,3214.11,MB/s,Min,3202.78,MB/s
memory interleaved on 1 2 3 6,forward,Avg,3218.76,MB/s,Max,3227.36,MB/s,Min,3206.16,MB/s
memory interleaved on 0 1 2 3 6,forward,Avg,3529.05,MB/s,Max,3539.08,MB/s,Min,3521.78,MB/s
memory interleaved on 4 6,forward,Avg,2492.97,MB/s,Max,2494.85,MB/s,Min,2490.01,MB/s
memory interleaved on 0 4 6,forward,Avg,3035.87,MB/s,Max,3038.14,MB/s,Min,3032.45,MB/s
memory interleaved on 1 4 6,forward,Avg,3149.15,MB/s,Max,3157.37,MB/s,Min,3132.07,MB/s
memory interleaved on 0 1 4 6,forward,Avg,3536.68,MB/s,Max,3543.95,MB/s,Min,3529.09,MB/s
memory interleaved on 2 4 6,forward,Avg,2762.71,MB/s,Max,2763.56,MB/s,Min,2760.90,MB/s
memory interleaved on 0 2 4 6,forward,Avg,3134.73,MB/s,Max,3137.32,MB/s,Min,3130.37,MB/s
memory interleaved on 1 2 4 6,forward,Avg,3221.02,MB/s,Max,3225.21,MB/s,Min,3213.19,MB/s
memory interleaved on 0 1 2 4 6,forward,Avg,3527.61,MB/s,Max,3534.75,MB/s,Min,3512.94,MB/s
memory interleaved on 3 4 6,forward,Avg,2883.68,MB/s,Max,2886.09,MB/s,Min,2882.40,MB/s
memory interleaved on 0 3 4 6,forward,Avg,3270.98,MB/s,Max,3273.25,MB/s,Min,3269.15,MB/s
memory interleaved on 1 3 4 6,forward,Avg,3384.96,MB/s,Max,3387.06,MB/s,Min,3383.20,MB/s
memory interleaved on 0 1 3 4 6,forward,Avg,3674.31,MB/s,Max,3677.30,MB/s,Min,3668.38,MB/s
memory interleaved on 2 3 4 6,forward,Avg,2992.21,MB/s,Max,2995.32,MB/s,Min,2986.74,MB/s
memory interleaved on 0 2 3 4 6,forward,Avg,3258.56,MB/s,Max,3267.51,MB/s,Min,3235.61,MB/s
memory interleaved on 1 2 3 4 6,forward,Avg,3281.79,MB/s,Max,3290.27,MB/s,Min,3274.65,MB/s
memory interleaved on 0 1 2 3 4 6,forward,Avg,3536.77,MB/s,Max,3553.83,MB/s,Min,3522.94,MB/s
memory interleaved on 5 6,forward,Avg,2435.79,MB/s,Max,2442.13,MB/s,Min,2432.30,MB/s
memory interleaved on 0 5 6,forward,Avg,2957.84,MB/s,Max,2966.50,MB/s,Min,2949.73,MB/s
memory interleaved on 1 5 6,forward,Avg,3018.31,MB/s,Max,3026.97,MB/s,Min,3009.01,MB/s
memory interleaved on 0 1 5 6,forward,Avg,3438.28,MB/s,Max,3450.02,MB/s,Min,3430.28,MB/s
memory interleaved on 2 5 6,forward,Avg,2722.78,MB/s,Max,2725.56,MB/s,Min,2713.68,MB/s
memory interleaved on 0 2 5 6,forward,Avg,3094.02,MB/s,Max,3097.14,MB/s,Min,3087.49,MB/s
memory interleaved on 1 2 5 6,forward,Avg,3161.34,MB/s,Max,3166.31,MB/s,Min,3156.13,MB/s
memory interleaved on 0 1 2 5 6,forward,Avg,3470.93,MB/s,Max,3475.84,MB/s,Min,3465.38,MB/s
memory interleaved on 3 5 6,forward,Avg,2839.33,MB/s,Max,2841.18,MB/s,Min,2835.85,MB/s
memory interleaved on 0 3 5 6,forward,Avg,3222.08,MB/s,Max,3228.83,MB/s,Min,3218.41,MB/s
memory interleaved on 1 3 5 6,forward,Avg,3311.65,MB/s,Max,3319.84,MB/s,Min,3303.37,MB/s
memory interleaved on 0 1 3 5 6,forward,Avg,3604.60,MB/s,Max,3606.55,MB/s,Min,3600.51,MB/s
memory interleaved on 2 3 5 6,forward,Avg,2959.81,MB/s,Max,2963.14,MB/s,Min,2955.58,MB/s
memory interleaved on 0 2 3 5 6,forward,Avg,3229.23,MB/s,Max,3235.26,MB/s,Min,3224.39,MB/s
memory interleaved on 1 2 3 5 6,forward,Avg,3245.53,MB/s,Max,3252.33,MB/s,Min,3238.99,MB/s
memory interleaved on 0 1 2 3 5 6,forward,Avg,3500.92,MB/s,Max,3512.04,MB/s,Min,3486.99,MB/s
memory interleaved on 4 5 6,forward,Avg,2556.34,MB/s,Max,2564.22,MB/s,Min,2548.95,MB/s
memory interleaved on 0 4 5 6,forward,Avg,2915.88,MB/s,Max,2927.80,MB/s,Min,2905.93,MB/s
memory interleaved on 1 4 5 6,forward,Avg,2921.96,MB/s,Max,2934.35,MB/s,Min,2910.39,MB/s
memory interleaved on 0 1 4 5 6,forward,Avg,3228.16,MB/s,Max,3236.01,MB/s,Min,3214.43,MB/s
memory interleaved on 2 4 5 6,forward,Avg,2783.12,MB/s,Max,2785.95,MB/s,Min,2780.21,MB/s
memory interleaved on 0 2 4 5 6,forward,Avg,3065.27,MB/s,Max,3071.54,MB/s,Min,3053.56,MB/s
memory interleaved on 1 2 4 5 6,forward,Avg,3096.49,MB/s,Max,3108.62,MB/s,Min,3087.27,MB/s
memory interleaved on 0 1 2 4 5 6,forward,Avg,3291.32,MB/s,Max,3297.72,MB/s,Min,3285.79,MB/s
memory interleaved on 3 4 5 6,forward,Avg,2860.51,MB/s,Max,2864.43,MB/s,Min,2855.86,MB/s
memory interleaved on 0 3 4 5 6,forward,Avg,3151.11,MB/s,Max,3159.15,MB/s,Min,3139.34,MB/s
memory interleaved on 1 3 4 5 6,forward,Avg,3178.14,MB/s,Max,3187.86,MB/s,Min,3164.69,MB/s
memory interleaved on 0 1 3 4 5 6,forward,Avg,3383.49,MB/s,Max,3392.74,MB/s,Min,3375.76,MB/s
memory interleaved on 2 3 4 5 6,forward,Avg,2983.48,MB/s,Max,2986.26,MB/s,Min,2974.74,MB/s
memory interleaved on 0 2 3 4 5 6,forward,Avg,3210.10,MB/s,Max,3215.09,MB/s,Min,3206.14,MB/s
memory interleaved on 1 2 3 4 5 6,forward,Avg,3227.92,MB/s,Max,3235.85,MB/s,Min,3221.22,MB/s
memory interleaved on 0 1 2 3 4 5 6,forward,Avg,3397.41,MB/s,Max,3403.80,MB/s,Min,3390.32,MB/s
memory interleaved on 0 7,forward,Avg,3817.95,MB/s,Max,3822.18,MB/s,Min,3812.34,MB/s
memory interleaved on 1 7,forward,Avg,4096.71,MB/s,Max,4099.97,MB/s,Min,4092.50,MB/s
memory interleaved on 0 1 7,forward,Avg,4535.82,MB/s,Max,4543.52,MB/s,Min,4523.08,MB/s
memory interleaved on 2 7,forward,Avg,3186.42,MB/s,Max,3198.46,MB/s,Min,3180.05,MB/s
memory interleaved on 0 2 7,forward,Avg,3675.01,MB/s,Max,3680.17,MB/s,Min,3666.89,MB/s
memory interleaved on 1 2 7,forward,Avg,3786.97,MB/s,Max,3797.11,MB/s,Min,3772.11,MB/s
memory interleaved on 0 1 2 7,forward,Avg,4165.20,MB/s,Max,4171.05,MB/s,Min,4158.95,MB/s
memory interleaved on 3 7,forward,Avg,3459.66,MB/s,Max,3462.54,MB/s,Min,3454.56,MB/s
memory interleaved on 0 3 7,forward,Avg,3952.01,MB/s,Max,3956.37,MB/s,Min,3947.86,MB/s
memory interleaved on 1 3 7,forward,Avg,4180.01,MB/s,Max,4183.51,MB/s,Min,4176.35,MB/s
memory interleaved on 0 1 3 7,forward,Avg,4465.33,MB/s,Max,4469.14,MB/s,Min,4461.74,MB/s
