8 nodes available
memory with no policy,memcpy,Avg,12216.32,MB/s,Max,12478.59,MB/s,Min,11892.66,MB/s
local memory,memcpy,Avg,12072.44,MB/s,Max,12353.63,MB/s,Min,11458.59,MB/s
memory interleaved on all nodes,memcpy,Avg,5463.52,MB/s,Max,5496.55,MB/s,Min,5431.63,MB/s
memory on node 0,memcpy,Avg,4080.59,MB/s,Max,4084.35,MB/s,Min,4065.19,MB/s
memory on node 1,memcpy,Avg,5556.78,MB/s,Max,5569.83,MB/s,Min,5524.64,MB/s
memory on node 2,memcpy,Avg,5606.94,MB/s,Max,5619.08,MB/s,Min,5570.72,MB/s
memory on node 3,memcpy,Avg,3844.06,MB/s,Max,3847.70,MB/s,Min,3838.97,MB/s
memory on node 4,memcpy,Avg,3988.89,MB/s,Max,3991.84,MB/s,Min,3980.17,MB/s
memory on node 5,memcpy,Avg,5468.51,MB/s,Max,5479.89,MB/s,Min,5439.24,MB/s
memory on node 6,memcpy,Avg,7130.94,MB/s,Max,7384.86,MB/s,Min,6893.08,MB/s
memory on node 7,memcpy,Avg,11994.14,MB/s,Max,12229.72,MB/s,Min,11845.64,MB/s
memory interleaved on 0 1,memcpy,Avg,4815.99,MB/s,Max,4821.04,MB/s,Min,4806.23,MB/s
memory interleaved on 0 2,memcpy,Avg,5116.08,MB/s,Max,5126.51,MB/s,Min,5105.04,MB/s
memory interleaved on 1 2,memcpy,Avg,6503.85,MB/s,Max,6530.74,MB/s,Min,6442.47,MB/s
memory interleaved on 0 1 2,memcpy,Avg,5429.52,MB/s,Max,5443.47,MB/s,Min,5418.72,MB/s
memory interleaved on 0 3,memcpy,Avg,4196.74,MB/s,Max,4199.34,MB/s,Min,4192.29,MB/s
memory interleaved on 1 3,memcpy,Avg,5100.20,MB/s,Max,5116.00,MB/s,Min,5093.88,MB/s
memory interleaved on 0 1 3,memcpy,Avg,4662.99,MB/s,Max,4666.98,MB/s,Min,4652.89,MB/s
memory interleaved on 2 3,memcpy,Avg,4691.17,MB/s,Max,4700.87,MB/s,Min,4677.80,MB/s
memory interleaved on 0 2 3,memcpy,Avg,4584.64,MB/s,Max,4586.34,MB/s,Min,4583.14,MB/s
memory interleaved on 1 2 3,memcpy,Avg,5243.12,MB/s,Max,5264.73,MB/s,Min,5233.20,MB/s
memory interleaved on 0 1 2 3,memcpy,Avg,4876.51,MB/s,Max,4885.28,MB/s,Min,4869.17,MB/s
memory interleaved on 0 4,memcpy,Avg,4197.34,MB/s,Max,4199.01,MB/s,Min,4192.46,MB/s
memory interleaved on 1 4,memcpy,Avg,4245.44,MB/s,Max,4250.58,MB/s,Min,4240.27,MB/s
memory interleaved on 0 1 4,memcpy,Avg,4129.73,MB/s,Max,4130.37,MB/s,Min,4128.74,MB/s
memory interleaved on 2 4,memcpy,Avg,4260.17,MB/s,Max,4261.46,MB/s,Min,4258.35,MB/s
memory interleaved on 0 2 4,memcpy,Avg,4196.39,MB/s,Max,4203.21,MB/s,Min,4162.17,MB/s
memory interleaved on 1 2 4,memcpy,Avg,4731.26,MB/s,Max,4751.78,MB/s,Min,4678.85,MB/s
