8 nodes available
memory with no policy,memcpy,Avg,13066.38,MB/s,Max,13189.47,MB/s,Min,12824.89,MB/s
local memory,memcpy,Avg,13120.93,MB/s,Max,13252.15,MB/s,Min,12996.41,MB/s
memory interleaved on all nodes,memcpy,Avg,5207.07,MB/s,Max,5209.75,MB/s,Min,5200.86,MB/s
memory on node 0,memcpy,Avg,7012.32,MB/s,Max,7103.36,MB/s,Min,6921.61,MB/s
memory on node 1,memcpy,Avg,12856.28,MB/s,Max,12934.36,MB/s,Min,12750.19,MB/s
memory on node 2,memcpy,Avg,4049.71,MB/s,Max,4051.45,MB/s,Min,4041.88,MB/s
memory on node 3,memcpy,Avg,5598.34,MB/s,Max,5599.72,MB/s,Min,5595.03,MB/s
memory on node 4,memcpy,Avg,5546.29,MB/s,Max,5551.46,MB/s,Min,5538.59,MB/s
memory on node 5,memcpy,Avg,3888.82,MB/s,Max,3889.43,MB/s,Min,3887.34,MB/s
memory on node 6,memcpy,Avg,4159.35,MB/s,Max,4160.32,MB/s,Min,4156.97,MB/s
memory on node 7,memcpy,Avg,5609.47,MB/s,Max,5612.97,MB/s,Min,5604.45,MB/s
memory interleaved on 0 1,memcpy,Avg,9063.25,MB/s,Max,9120.67,MB/s,Min,8990.70,MB/s
memory interleaved on 0 2,memcpy,Avg,5276.54,MB/s,Max,5288.31,MB/s,Min,5267.24,MB/s
memory interleaved on 1 2,memcpy,Avg,6097.14,MB/s,Max,6106.24,MB/s,Min,6089.26,MB/s
memory interleaved on 0 1 2,memcpy,Avg,6284.43,MB/s,Max,6299.19,MB/s,Min,6264.49,MB/s
memory interleaved on 0 3,memcpy,Avg,6378.33,MB/s,Max,6412.17,MB/s,Min,6345.51,MB/s
memory interleaved on 1 3,memcpy,Avg,7727.37,MB/s,Max,7745.08,MB/s,Min,7697.78,MB/s
memory interleaved on 0 1 3,memcpy,Avg,7833.19,MB/s,Max,7862.98,MB/s,Min,7812.60,MB/s
memory interleaved on 2 3,memcpy,Avg,4696.03,MB/s,Max,4696.62,MB/s,Min,4694.18,MB/s
memory interleaved on 0 2 3,memcpy,Avg,5435.55,MB/s,Max,5437.97,MB/s,Min,5432.19,MB/s
memory interleaved on 1 2 3,memcpy,Avg,5497.61,MB/s,Max,5499.75,MB/s,Min,5492.34,MB/s
memory interleaved on 0 1 2 3,memcpy,Avg,5885.67,MB/s,Max,5887.70,MB/s,Min,5883.64,MB/s
memory interleaved on 0 4,memcpy,Avg,6164.16,MB/s,Max,6201.62,MB/s,Min,6143.92,MB/s
memory interleaved on 1 4,memcpy,Avg,7751.34,MB/s,Max,7766.83,MB/s,Min,7736.86,MB/s
memory interleaved on 0 1 4,memcpy,Avg,7564.40,MB/s,Max,7622.13,MB/s,Min,7531.63,MB/s
memory interleaved on 2 4,memcpy,Avg,4687.12,MB/s,Max,4688.85,MB/s,Min,4682.15,MB/s
memory interleaved on 0 2 4,memcpy,Avg,5619.44,MB/s,Max,5624.29,MB/s,Min,5601.43,MB/s
memory interleaved on 1 2 4,memcpy,Avg,5687.88,MB/s,Max,5689.44,MB/s,Min,5686.64,MB/s
memory interleaved on 0 1 2 4,memcpy,Avg,5769.25,MB/s,Max,5771.55,MB/s,Min,5765.43,MB/s
memory interleaved on 3 4,memcpy,Avg,5581.80,MB/s,Max,5584.78,MB/s,Min,5577.65,MB/s
memory interleaved on 0 3 4,memcpy,Avg,6637.14,MB/s,Max,6639.75,MB/s,Min,6629.00,MB/s
memory interleaved on 1 3 4,memcpy,Avg,6662.86,MB/s,Max,6665.54,MB/s,Min,6656.70,MB/s
memory interleaved on 0 1 3 4,memcpy,Avg,6666.91,MB/s,Max,6668.63,MB/s,Min,6664.69,MB/s
memory interleaved on 2 3 4,memcpy,Avg,5349.89,MB/s,Max,5351.16,MB/s,Min,5347.48,MB/s
memory interleaved on 0 2 3 4,memcpy,Avg,5894.57,MB/s,Max,5896.08,MB/s,Min,5889.88,MB/s
memory interleaved on 1 2 3 4,memcpy,Avg,5906.74,MB/s,Max,5909.00,MB/s,Min,5901.39,MB/s
memory interleaved on 0 1 2 3 4,memcpy,Avg,6088.06,MB/s,Max,6106.21,MB/s,Min,6070.15,MB/s
memory interleaved on 0 5,memcpy,Avg,5137.29,MB/s,Max,5156.79,MB/s,Min,5112.88,MB/s
memory interleaved on 1 5,memcpy,Avg,5922.93,MB/s,Max,5927.78,MB/s,Min,5917.14,MB/s
memory interleaved on 0 1 5,memcpy,Avg,6096.39,MB/s,Max,6109.09,MB/s,Min,6086.50,MB/s
memory interleaved on 2 5,memcpy,Avg,3967.21,MB/s,Max,3967.78,MB/s,Min,3966.18,MB/s
memory interleaved on 0 2 5,memcpy,Avg,4823.89,MB/s,Max,4825.52,MB/s,Min,4820.93,MB/s
memory interleaved on 1 2 5,memcpy,Avg,4870.77,MB/s,Max,4872.11,MB/s,Min,4868.79,MB/s
memory interleaved on 0 1 2 5,memcpy,Avg,5103.13,MB/s,Max,5105.44,MB/s,Min,5098.24,MB/s
memory interleaved on 3 5,memcpy,Avg,4591.57,MB/s,Max,4592.33,MB/s,Min,4590.08,MB/s
memory interleaved on 0 3 5,memcpy,Avg,5526.42,MB/s,Max,5527.84,MB/s,Min,5524.69,MB/s
memory interleaved on 1 3 5,memcpy,Avg,5542.94,MB/s,Max,5546.50,MB/s,Min,5525.86,MB/s
memory interleaved on 0 1 3 5,memcpy,Avg,5791.56,MB/s,Max,5792.89,MB/s,Min,5788.98,MB/s
memory interleaved on 2 3 5,memcpy,Avg,4613.24,MB/s,Max,4614.24,MB/s,Min,4611.15,MB/s
memory interleaved on 0 2 3 5,memcpy,Avg,5224.70,MB/s,Max,5225.97,MB/s,Min,5223.03,MB/s
memory interleaved on 1 2 3 5,memcpy,Avg,5234.48,MB/s,Max,5235.97,MB/s,Min,5231.58,MB/s
memory interleaved on 0 1 2 3 5,memcpy,Avg,5583.21,MB/s,Max,5590.17,MB/s,Min,5573.14,MB/s
memory interleaved on 4 5,memcpy,Avg,4582.83,MB/s,Max,4584.36,MB/s,Min,4577.54,MB/s
memory interleaved on 0 4 5,memcpy,Avg,5200.51,MB/s,Max,5201.35,MB/s,Min,5199.64,MB/s
memory interleaved on 1 4 5,memcpy,Avg,5201.48,MB/s,Max,5202.77,MB/s,Min,5198.69,MB/s
memory interleaved on 0 1 4 5,memcpy,Avg,5690.76,MB/s,Max,5694.51,MB/s,Min,5678.32,MB/s
memory interleaved on 2 4 5,memcpy,Avg,4581.89,MB/s,Max,4582.68,MB/s,Min,4579.93,MB/s
memory interleaved on 0 2 4 5,memcpy,Avg,5144.73,MB/s,Max,5145.12,MB/s,Min,5144.31,MB/s
memory interleaved on 1 2 4 5,memcpy,Avg,5145.20,MB/s,Max,5146.64,MB/s,Min,5140.68,MB/s
memory interleaved on 0 1 2 4 5,memcpy,Avg,5589.27,MB/s,Max,5600.08,MB/s,Min,5575.19,MB/s
