8 nodes available
memory with no policy,memset,Avg,7147.95,MB/s,Max,7679.06,MB/s,Min,6644.13,MB/s
local memory,memset,Avg,7071.26,MB/s,Max,7274.71,MB/s,Min,6716.90,MB/s
memory interleaved on all nodes,memset,Avg,3378.82,MB/s,Max,3401.93,MB/s,Min,3357.70,MB/s
memory on node 0,memset,Avg,7011.03,MB/s,Max,7260.60,MB/s,Min,6821.34,MB/s
memory on node 1,memset,Avg,5637.05,MB/s,Max,5754.77,MB/s,Min,5520.56,MB/s
memory on node 2,memset,Avg,3365.61,MB/s,Max,3381.41,MB/s,Min,3326.91,MB/s
memory on node 3,memset,Avg,2121.43,MB/s,Max,2122.92,MB/s,Min,2111.21,MB/s
memory on node 4,memset,Avg,3375.70,MB/s,Max,3381.85,MB/s,Min,3368.27,MB/s
memory on node 5,memset,Avg,2109.03,MB/s,Max,2109.60,MB/s,Min,2108.54,MB/s
memory on node 6,memset,Avg,4136.87,MB/s,Max,4174.10,MB/s,Min,4073.41,MB/s
memory on node 7,memset,Avg,3818.34,MB/s,Max,3851.52,MB/s,Min,3800.29,MB/s
memory interleaved on 0 1,memset,Avg,6242.71,MB/s,Max,6380.92,MB/s,Min,6057.63,MB/s
memory interleaved on 0 2,memset,Avg,4667.72,MB/s,Max,4727.57,MB/s,Min,4603.06,MB/s
memory interleaved on 1 2,memset,Avg,4253.08,MB/s,Max,4305.03,MB/s,Min,4183.09,MB/s
memory interleaved on 0 1 2,memset,Avg,4898.17,MB/s,Max,4992.27,MB/s,Min,4724.17,MB/s
memory interleaved on 0 3,memset,Avg,3358.34,MB/s,Max,3372.06,MB/s,Min,3347.94,MB/s
memory interleaved on 1 3,memset,Avg,3152.22,MB/s,Max,3164.56,MB/s,Min,3133.91,MB/s
memory interleaved on 0 1 3,memset,Avg,3800.57,MB/s,Max,3838.83,MB/s,Min,3733.58,MB/s
memory interleaved on 2 3,memset,Avg,2616.00,MB/s,Max,2619.80,MB/s,Min,2608.85,MB/s
memory interleaved on 0 2 3,memset,Avg,3289.63,MB/s,Max,3307.18,MB/s,Min,3261.21,MB/s
memory interleaved on 1 2 3,memset,Avg,3162.20,MB/s,Max,3178.18,MB/s,Min,3146.23,MB/s
memory interleaved on 0 1 2 3,memset,Avg,3747.48,MB/s,Max,3791.77,MB/s,Min,3703.91,MB/s
memory interleaved on 0 4,memset,Avg,4670.65,MB/s,Max,4704.67,MB/s,Min,4605.28,MB/s
memory interleaved on 1 4,memset,Avg,4263.56,MB/s,Max,4325.81,MB/s,Min,4203.72,MB/s
memory interleaved on 0 1 4,memset,Avg,4894.19,MB/s,Max,4995.60,MB/s,Min,4804.91,MB/s
memory interleaved on 2 4,memset,Avg,3369.18,MB/s,Max,3382.39,MB/s,Min,3350.30,MB/s
memory interleaved on 0 2 4,memset,Avg,4117.36,MB/s,Max,4139.50,MB/s,Min,4092.80,MB/s
memory interleaved on 1 2 4,memset,Avg,3896.94,MB/s,Max,3928.58,MB/s,Min,3842.77,MB/s
memory interleaved on 0 1 2 4,memset,Avg,4464.31,MB/s,Max,4535.76,MB/s,Min,4379.47,MB/s
memory interleaved on 3 4,memset,Avg,2593.74,MB/s,Max,2594.71,MB/s,Min,2592.21,MB/s
memory interleaved on 0 3 4,memset,Avg,3336.83,MB/s,Max,3350.30,MB/s,Min,3318.91,MB/s
memory interleaved on 1 3 4,memset,Avg,3189.28,MB/s,Max,3207.93,MB/s,Min,3174.71,MB/s
memory interleaved on 0 1 3 4,memset,Avg,3757.69,MB/s,Max,3800.70,MB/s,Min,3699.99,MB/s
memory interleaved on 2 3 4,memset,Avg,2826.71,MB/s,Max,2829.55,MB/s,Min,2819.66,MB/s
memory interleaved on 0 2 3 4,memset,Avg,3368.53,MB/s,Max,3387.75,MB/s,Min,3345.06,MB/s
memory interleaved on 1 2 3 4,memset,Avg,3262.75,MB/s,Max,3288.93,MB/s,Min,3239.95,MB/s
memory interleaved on 0 1 2 3 4,memset,Avg,3632.97,MB/s,Max,3669.30,MB/s,Min,3569.13,MB/s
memory interleaved on 0 5,memset,Avg,3339.33,MB/s,Max,3351.48,MB/s,Min,3325.54,MB/s
memory interleaved on 1 5,memset,Avg,3133.59,MB/s,Max,3150.39,MB/s,Min,3112.43,MB/s
memory interleaved on 0 1 5,memset,Avg,3784.05,MB/s,Max,3815.92,MB/s,Min,3737.71,MB/s
memory interleaved on 2 5,memset,Avg,2603.82,MB/s,Max,2608.79,MB/s,Min,2594.07,MB/s
memory interleaved on 0 2 5,memset,Avg,3278.69,MB/s,Max,3289.03,MB/s,Min,3269.04,MB/s
memory interleaved on 1 2 5,memset,Avg,3146.38,MB/s,Max,3172.98,MB/s,Min,3104.59,MB/s
memory interleaved on 0 1 2 5,memset,Avg,3740.81,MB/s,Max,3773.62,MB/s,Min,3698.29,MB/s
memory interleaved on 3 5,memset,Avg,2113.13,MB/s,Max,2114.32,MB/s,Min,2109.64,MB/s
memory interleaved on 0 3 5,memset,Avg,2766.74,MB/s,Max,2772.47,MB/s,Min,2762.03,MB/s
memory interleaved on 1 3 5,memset,Avg,2671.86,MB/s,Max,2677.40,MB/s,Min,2664.67,MB/s
memory interleaved on 0 1 3 5,memset,Avg,3234.06,MB/s,Max,3260.09,MB/s,Min,3211.07,MB/s
memory interleaved on 2 3 5,memset,Avg,2406.09,MB/s,Max,2408.64,MB/s,Min,2402.40,MB/s
memory interleaved on 0 2 3 5,memset,Avg,2950.37,MB/s,Max,2956.57,MB/s,Min,2935.95,MB/s
