8 nodes available
memory with no policy,memset,Avg,7625.62,MB/s,Max,7797.61,MB/s,Min,7497.38,MB/s
local memory,memset,Avg,7358.12,MB/s,Max,7437.87,MB/s,Min,7172.69,MB/s
memory interleaved on all nodes,memset,Avg,3069.87,MB/s,Max,3078.98,MB/s,Min,3063.60,MB/s
memory on node 0,memset,Avg,5483.64,MB/s,Max,5684.11,MB/s,Min,5374.06,MB/s
memory on node 1,memset,Avg,7269.71,MB/s,Max,7404.94,MB/s,Min,7107.45,MB/s
memory on node 2,memset,Avg,2118.05,MB/s,Max,2118.47,MB/s,Min,2117.48,MB/s
memory on node 3,memset,Avg,3365.12,MB/s,Max,3368.37,MB/s,Min,3359.98,MB/s
memory on node 4,memset,Avg,3413.02,MB/s,Max,3414.30,MB/s,Min,3411.72,MB/s
memory on node 5,memset,Avg,2122.31,MB/s,Max,2123.15,MB/s,Min,2120.37,MB/s
memory on node 6,memset,Avg,2142.28,MB/s,Max,2142.80,MB/s,Min,2140.96,MB/s
memory on node 7,memset,Avg,3399.54,MB/s,Max,3413.76,MB/s,Min,3391.35,MB/s
memory interleaved on 0 1,memset,Avg,6109.02,MB/s,Max,6191.88,MB/s,Min,6047.12,MB/s
memory interleaved on 0 2,memset,Avg,3085.22,MB/s,Max,3103.94,MB/s,Min,3069.28,MB/s
memory interleaved on 1 2,memset,Avg,3317.17,MB/s,Max,3328.39,MB/s,Min,3296.10,MB/s
memory interleaved on 0 1 2,memset,Avg,3820.56,MB/s,Max,3844.97,MB/s,Min,3796.52,MB/s
memory interleaved on 0 3,memset,Avg,4165.88,MB/s,Max,4195.33,MB/s,Min,4132.47,MB/s
memory interleaved on 1 3,memset,Avg,4567.79,MB/s,Max,4613.65,MB/s,Min,4523.10,MB/s
memory interleaved on 0 1 3,memset,Avg,4886.22,MB/s,Max,4960.17,MB/s,Min,4845.41,MB/s
memory interleaved on 2 3,memset,Avg,2597.20,MB/s,Max,2598.15,MB/s,Min,2595.58,MB/s
memory interleaved on 0 2 3,memset,Avg,3151.59,MB/s,Max,3164.11,MB/s,Min,3142.64,MB/s
memory interleaved on 1 2 3,memset,Avg,3310.36,MB/s,Max,3318.34,MB/s,Min,3302.59,MB/s
memory interleaved on 0 1 2 3,memset,Avg,3668.72,MB/s,Max,3695.79,MB/s,Min,3652.77,MB/s
memory interleaved on 0 4,memset,Avg,4195.57,MB/s,Max,4218.09,MB/s,Min,4154.70,MB/s
memory interleaved on 1 4,memset,Avg,4610.33,MB/s,Max,4653.47,MB/s,Min,4572.74,MB/s
memory interleaved on 0 1 4,memset,Avg,4900.52,MB/s,Max,4948.12,MB/s,Min,4847.38,MB/s
memory interleaved on 2 4,memset,Avg,2609.56,MB/s,Max,2611.98,MB/s,Min,2596.51,MB/s
memory interleaved on 0 2 4,memset,Avg,3169.51,MB/s,Max,3179.47,MB/s,Min,3159.18,MB/s
memory interleaved on 1 2 4,memset,Avg,3319.45,MB/s,Max,3333.16,MB/s,Min,3314.40,MB/s
memory interleaved on 0 1 2 4,memset,Avg,3689.63,MB/s,Max,3719.57,MB/s,Min,3673.49,MB/s
memory interleaved on 3 4,memset,Avg,3384.33,MB/s,Max,3387.46,MB/s,Min,3381.40,MB/s
memory interleaved on 0 3 4,memset,Avg,3892.97,MB/s,Max,3916.56,MB/s,Min,3870.97,MB/s
memory interleaved on 1 3 4,memset,Avg,4120.94,MB/s,Max,4141.70,MB/s,Min,4106.47,MB/s
memory interleaved on 0 1 3 4,memset,Avg,4376.56,MB/s,Max,4399.11,MB/s,Min,4355.24,MB/s
memory interleaved on 2 3 4,memset,Avg,2822.75,MB/s,Max,2823.88,MB/s,Min,2822.05,MB/s
memory interleaved on 0 2 3 4,memset,Avg,3226.86,MB/s,Max,3234.97,MB/s,Min,3198.88,MB/s
memory interleaved on 1 2 3 4,memset,Avg,3342.05,MB/s,Max,3348.87,MB/s,Min,3333.97,MB/s
memory interleaved on 0 1 2 3 4,memset,Avg,3634.15,MB/s,Max,3658.09,MB/s,Min,3621.66,MB/s
memory interleaved on 0 5,memset,Avg,3091.90,MB/s,Max,3107.07,MB/s,Min,3074.46,MB/s
memory interleaved on 1 5,memset,Avg,3319.49,MB/s,Max,3340.51,MB/s,Min,3297.89,MB/s
memory interleaved on 0 1 5,memset,Avg,3818.96,MB/s,Max,3838.79,MB/s,Min,3792.33,MB/s
memory interleaved on 2 5,memset,Avg,2119.26,MB/s,Max,2119.72,MB/s,Min,2118.33,MB/s
memory interleaved on 0 2 5,memset,Avg,2676.60,MB/s,Max,2687.77,MB/s,Min,2670.51,MB/s
memory interleaved on 1 2 5,memset,Avg,2782.48,MB/s,Max,2792.17,MB/s,Min,2772.62,MB/s
memory interleaved on 0 1 2 5,memset,Avg,3181.49,MB/s,Max,3195.02,MB/s,Min,3162.52,MB/s
memory interleaved on 3 5,memset,Avg,2603.51,MB/s,Max,2604.34,MB/s,Min,2602.11,MB/s
memory interleaved on 0 3 5,memset,Avg,3162.16,MB/s,Max,3173.07,MB/s,Min,3150.37,MB/s
memory interleaved on 1 3 5,memset,Avg,3312.20,MB/s,Max,3318.99,MB/s,Min,3303.49,MB/s
