8 nodes available
memory with no policy,ptrchase,Avg,124.36,MB/s,Max,124.39,MB/s,Min,124.22,MB/s
local memory,ptrchase,Avg,124.36,MB/s,Max,124.39,MB/s,Min,124.32,MB/s
memory interleaved on all nodes,ptrchase,Avg,70.85,MB/s,Max,70.86,MB/s,Min,70.84,MB/s
memory on node 0,ptrchase,Avg,59.02,MB/s,Max,59.03,MB/s,Min,59.01,MB/s
memory on node 1,ptrchase,Avg,76.36,MB/s,Max,76.37,MB/s,Min,76.34,MB/s
memory on node 2,ptrchase,Avg,75.58,MB/s,Max,75.59,MB/s,Min,75.57,MB/s
memory on node 3,ptrchase,Avg,58.54,MB/s,Max,58.55,MB/s,Min,58.54,MB/s
memory on node 4,ptrchase,Avg,58.58,MB/s,Max,58.59,MB/s,Min,58.55,MB/s
memory on node 5,ptrchase,Avg,75.50,MB/s,Max,75.52,MB/s,Min,75.49,MB/s
memory on node 6,ptrchase,Avg,79.80,MB/s,Max,79.82,MB/s,Min,79.80,MB/s
memory on node 7,ptrchase,Avg,124.37,MB/s,Max,124.40,MB/s,Min,124.31,MB/s
memory interleaved on 0 1,ptrchase,Avg,66.13,MB/s,Max,66.14,MB/s,Min,66.12,MB/s
memory interleaved on 0 2,ptrchase,Avg,65.83,MB/s,Max,65.85,MB/s,Min,65.80,MB/s
memory interleaved on 1 2,ptrchase,Avg,75.29,MB/s,Max,75.31,MB/s,Min,75.19,MB/s
memory interleaved on 0 1 2,ptrchase,Avg,68.80,MB/s,Max,68.81,MB/s,Min,68.75,MB/s
memory interleaved on 0 3,ptrchase,Avg,58.81,MB/s,Max,58.82,MB/s,Min,58.79,MB/s
memory interleaved on 1 3,ptrchase,Avg,66.11,MB/s,Max,66.12,MB/s,Min,66.10,MB/s
memory interleaved on 0 1 3,ptrchase,Avg,63.56,MB/s,Max,63.57,MB/s,Min,63.51,MB/s
memory interleaved on 2 3,ptrchase,Avg,65.77,MB/s,Max,65.79,MB/s,Min,65.74,MB/s
memory interleaved on 0 2 3,ptrchase,Avg,63.34,MB/s,Max,63.35,MB/s,Min,63.29,MB/s
