8 nodes available
memory with no policy,ptrchase,Avg,356.86,MB/s,Max,356.90,MB/s,Min,356.71,MB/s
local memory,ptrchase,Avg,356.88,MB/s,Max,356.92,MB/s,Min,356.84,MB/s
memory interleaved on all nodes,ptrchase,Avg,207.46,MB/s,Max,207.48,MB/s,Min,207.39,MB/s
memory on node 0,ptrchase,Avg,175.03,MB/s,Max,175.04,MB/s,Min,174.99,MB/s
memory on node 1,ptrchase,Avg,217.30,MB/s,Max,217.30,MB/s,Min,217.28,MB/s
memory on node 2,ptrchase,Avg,216.05,MB/s,Max,216.07,MB/s,Min,215.98,MB/s
memory on node 3,ptrchase,Avg,172.79,MB/s,Max,172.80,MB/s,Min,172.74,MB/s
memory on node 4,ptrchase,Avg,171.86,MB/s,Max,171.88,MB/s,Min,171.80,MB/s
memory on node 5,ptrchase,Avg,214.86,MB/s,Max,214.89,MB/s,Min,214.79,MB/s
memory on node 6,ptrchase,Avg,233.00,MB/s,Max,233.04,MB/s,Min,232.90,MB/s
memory on node 7,ptrchase,Avg,356.86,MB/s,Max,356.91,MB/s,Min,356.69,MB/s
memory interleaved on 0 1,ptrchase,Avg,193.22,MB/s,Max,193.24,MB/s,Min,193.17,MB/s
memory interleaved on 0 2,ptrchase,Avg,192.78,MB/s,Max,192.80,MB/s,Min,192.74,MB/s
memory interleaved on 1 2,ptrchase,Avg,216.36,MB/s,Max,216.38,MB/s,Min,216.29,MB/s
memory interleaved on 0 1 2,ptrchase,Avg,200.14,MB/s,Max,200.15,MB/s,Min,200.09,MB/s
memory interleaved on 0 3,ptrchase,Avg,173.75,MB/s,Max,173.76,MB/s,Min,173.71,MB/s
memory interleaved on 1 3,ptrchase,Avg,192.57,MB/s,Max,192.58,MB/s,Min,192.55,MB/s
memory interleaved on 0 1 3,ptrchase,Avg,185.99,MB/s,Max,186.00,MB/s,Min,185.98,MB/s
memory interleaved on 2 3,ptrchase,Avg,192.04,MB/s,Max,192.06,MB/s,Min,191.99,MB/s
memory interleaved on 0 2 3,ptrchase,Avg,185.70,MB/s,Max,185.72,MB/s,Min,185.64,MB/s
memory interleaved on 1 2 3,ptrchase,Avg,199.50,MB/s,Max,199.51,MB/s,Min,199.43,MB/s
memory interleaved on 0 1 2 3,ptrchase,Avg,192.51,MB/s,Max,192.53,MB/s,Min,192.46,MB/s
memory interleaved on 0 4,ptrchase,Avg,173.16,MB/s,Max,173.17,MB/s,Min,173.14,MB/s
memory interleaved on 1 4,ptrchase,Avg,192.11,MB/s,Max,192.12,MB/s,Min,192.08,MB/s
memory interleaved on 0 1 4,ptrchase,Avg,185.75,MB/s,Max,185.76,MB/s,Min,185.70,MB/s
memory interleaved on 2 4,ptrchase,Avg,191.67,MB/s,Max,191.69,MB/s,Min,191.61,MB/s
memory interleaved on 0 2 4,ptrchase,Avg,185.50,MB/s,Max,185.52,MB/s,Min,185.46,MB/s
memory interleaved on 1 2 4,ptrchase,Avg,199.25,MB/s,Max,199.27,MB/s,Min,199.17,MB/s
memory interleaved on 0 1 2 4,ptrchase,Avg,192.35,MB/s,Max,192.37,MB/s,Min,192.30,MB/s
