8 nodes available
memory with no policy,random2,Avg,176.03,MB/s,Max,176.50,MB/s,Min,175.25,MB/s
local memory,random2,Avg,173.33,MB/s,Max,175.00,MB/s,Min,172.04,MB/s
memory interleaved on all nodes,random2,Avg,119.75,MB/s,Max,119.80,MB/s,Min,119.59,MB/s
memory on node 0,random2,Avg,110.72,MB/s,Max,110.83,MB/s,Min,110.62,MB/s
memory on node 1,random2,Avg,129.47,MB/s,Max,129.51,MB/s,Min,129.43,MB/s
memory on node 2,random2,Avg,131.80,MB/s,Max,131.90,MB/s,Min,131.59,MB/s
memory on node 3,random2,Avg,109.62,MB/s,Max,109.78,MB/s,Min,109.54,MB/s
memory on node 4,random2,Avg,108.15,MB/s,Max,108.20,MB/s,Min,108.09,MB/s
memory on node 5,random2,Avg,128.01,MB/s,Max,128.28,MB/s,Min,127.20,MB/s
memory on node 6,random2,Avg,137.19,MB/s,Max,137.21,MB/s,Min,137.15,MB/s
memory on node 7,random2,Avg,174.37,MB/s,Max,176.48,MB/s,Min,172.04,MB/s
memory interleaved on 0 1,random2,Avg,114.78,MB/s,Max,114.85,MB/s,Min,114.63,MB/s
memory interleaved on 0 2,random2,Avg,116.36,MB/s,Max,116.38,MB/s,Min,116.34,MB/s
memory interleaved on 1 2,random2,Avg,130.54,MB/s,Max,130.57,MB/s,Min,130.48,MB/s
memory interleaved on 0 1 2,random2,Avg,116.86,MB/s,Max,116.89,MB/s,Min,116.78,MB/s
memory interleaved on 0 3,random2,Avg,108.98,MB/s,Max,109.01,MB/s,Min,108.95,MB/s
memory interleaved on 1 3,random2,Avg,115.97,MB/s,Max,116.02,MB/s,Min,115.92,MB/s
memory interleaved on 0 1 3,random2,Avg,111.04,MB/s,Max,111.11,MB/s,Min,110.88,MB/s
memory interleaved on 2 3,random2,Avg,113.55,MB/s,Max,113.58,MB/s,Min,113.50,MB/s
memory interleaved on 0 2 3,random2,Avg,110.68,MB/s,Max,110.71,MB/s,Min,110.64,MB/s
memory interleaved on 1 2 3,random2,Avg,115.86,MB/s,Max,115.89,MB/s,Min,115.82,MB/s
