8 nodes available
memory with no policy,STREAM,Copy,6793.52,MB/s,Scale,6683.73,MB/s,Add,7094.11,MB/s,Triad,6888.51,MB/s
local memory,STREAM,Copy,6798.19,MB/s,Scale,6658.22,MB/s,Add,7104.69,MB/s,Triad,6883.61,MB/s
memory interleaved on all nodes,STREAM,Copy,4618.18,MB/s,Scale,4271.90,MB/s,Add,4964.61,MB/s,Triad,4275.54,MB/s
memory on node 0,STREAM,Copy,3654.60,MB/s,Scale,3653.82,MB/s,Add,3889.53,MB/s,Triad,3440.21,MB/s
memory on node 1,STREAM,Copy,3073.55,MB/s,Scale,3070.32,MB/s,Add,3098.36,MB/s,Triad,3117.24,MB/s
memory on node 2,STREAM,Copy,4145.73,MB/s,Scale,4145.23,MB/s,Add,4351.49,MB/s,Triad,3913.91,MB/s
memory on node 3,STREAM,Copy,3549.36,MB/s,Scale,3533.78,MB/s,Add,3768.87,MB/s,Triad,3451.86,MB/s
memory on node 4,STREAM,Copy,2106.52,MB/s,Scale,2106.03,MB/s,Add,2100.30,MB/s,Triad,2113.68,MB/s
memory on node 5,STREAM,Copy,2997.51,MB/s,Scale,2994.06,MB/s,Add,3020.27,MB/s,Triad,3037.76,MB/s
memory on node 6,STREAM,Copy,4925.99,MB/s,Scale,4930.89,MB/s,Add,5369.63,MB/s,Triad,4716.10,MB/s
memory on node 7,STREAM,Copy,6784.33,MB/s,Scale,6681.86,MB/s,Add,7093.65,MB/s,Triad,6889.47,MB/s
memory interleaved on 0 1,STREAM,Copy,3802.52,MB/s,Scale,3782.31,MB/s,Add,4350.57,MB/s,Triad,3807.31,MB/s
memory interleaved on 0 2,STREAM,Copy,4332.48,MB/s,Scale,4331.99,MB/s,Add,5150.95,MB/s,Triad,4007.41,MB/s
memory interleaved on 1 2,STREAM,Copy,4400.43,MB/s,Scale,4414.33,MB/s,Add,5072.47,MB/s,Triad,4387.34,MB/s
memory interleaved on 0 1 2,STREAM,Copy,4023.53,MB/s,Scale,4509.11,MB/s,Add,5120.50,MB/s,Triad,4153.26,MB/s
memory interleaved on 0 3,STREAM,Copy,4010.87,MB/s,Scale,4020.78,MB/s,Add,4818.15,MB/s,Triad,3648.74,MB/s
memory interleaved on 1 3,STREAM,Copy,4059.05,MB/s,Scale,4037.75,MB/s,Add,4795.27,MB/s,Triad,3931.96,MB/s
memory interleaved on 0 1 3,STREAM,Copy,3812.43,MB/s,Scale,4278.41,MB/s,Add,4912.53,MB/s,Triad,3873.86,MB/s
memory interleaved on 2 3,STREAM,Copy,3880.83,MB/s,Scale,3855.76,MB/s,Add,4187.10,MB/s,Triad,3682.18,MB/s
memory interleaved on 0 2 3,STREAM,Copy,4034.69,MB/s,Scale,4203.02,MB/s,Add,4841.30,MB/s,Triad,3820.91,MB/s
memory interleaved on 1 2 3,STREAM,Copy,3930.99,MB/s,Scale,4403.19,MB/s,Add,4895.55,MB/s,Triad,4043.86,MB/s
memory interleaved on 0 1 2 3,STREAM,Copy,4384.42,MB/s,Scale,4178.41,MB/s,Add,4900.35,MB/s,Triad,3980.49,MB/s
memory interleaved on 0 4,STREAM,Copy,3382.12,MB/s,Scale,3374.13,MB/s,Add,3720.72,MB/s,Triad,3338.15,MB/s
memory interleaved on 1 4,STREAM,Copy,3380.14,MB/s,Scale,3354.53,MB/s,Add,3702.87,MB/s,Triad,3503.77,MB/s
memory interleaved on 0 1 4,STREAM,Copy,3128.29,MB/s,Scale,4074.89,MB/s,Add,4268.93,MB/s,Triad,3672.39,MB/s
memory interleaved on 2 4,STREAM,Copy,3554.08,MB/s,Scale,3526.81,MB/s,Add,3868.71,MB/s,Triad,3538.41,MB/s
memory interleaved on 0 2 4,STREAM,Copy,3337.06,MB/s,Scale,4143.52,MB/s,Add,4418.02,MB/s,Triad,3719.15,MB/s
memory interleaved on 1 2 4,STREAM,Copy,3265.99,MB/s,Scale,4314.86,MB/s,Add,4461.46,MB/s,Triad,3913.63,MB/s
memory interleaved on 0 1 2 4,STREAM,Copy,4276.87,MB/s,Scale,3866.03,MB/s,Add,4586.13,MB/s,Triad,3902.83,MB/s
