8 nodes available
memory with no policy,STREAM,Copy,6769.28,MB/s,Scale,6765.29,MB/s,Add,7216.32,MB/s,Triad,7148.93,MB/s
local memory,STREAM,Copy,6768.69,MB/s,Scale,6731.42,MB/s,Add,7176.23,MB/s,Triad,7002.13,MB/s
memory interleaved on all nodes,STREAM,Copy,4620.23,MB/s,Scale,4577.16,MB/s,Add,5535.17,MB/s,Triad,4387.88,MB/s
memory on node 0,STREAM,Copy,3624.11,MB/s,Scale,3632.98,MB/s,Add,3867.00,MB/s,Triad,3411.31,MB/s
memory on node 1,STREAM,Copy,3068.20,MB/s,Scale,3069.27,MB/s,Add,3100.53,MB/s,Triad,3116.47,MB/s
memory on node 2,STREAM,Copy,4118.58,MB/s,Scale,4133.24,MB/s,Add,4349.04,MB/s,Triad,3906.64,MB/s
memory on node 3,STREAM,Copy,3518.48,MB/s,Scale,3516.79,MB/s,Add,3758.65,MB/s,Triad,3429.11,MB/s
memory on node 4,STREAM,Copy,2090.36,MB/s,Scale,2090.11,MB/s,Add,2084.26,MB/s,Triad,2097.63,MB/s
memory on node 5,STREAM,Copy,2993.15,MB/s,Scale,2993.63,MB/s,Add,3021.88,MB/s,Triad,3037.79,MB/s
memory on node 6,STREAM,Copy,4907.41,MB/s,Scale,4913.69,MB/s,Add,5375.69,MB/s,Triad,4694.54,MB/s
memory on node 7,STREAM,Copy,6701.86,MB/s,Scale,6690.51,MB/s,Add,7179.81,MB/s,Triad,7018.96,MB/s
memory interleaved on 0 1,STREAM,Copy,3778.24,MB/s,Scale,3778.57,MB/s,Add,4373.15,MB/s,Triad,3795.85,MB/s
memory interleaved on 0 2,STREAM,Copy,4306.73,MB/s,Scale,4304.39,MB/s,Add,5131.67,MB/s,Triad,3981.73,MB/s
memory interleaved on 1 2,STREAM,Copy,4375.00,MB/s,Scale,4390.30,MB/s,Add,5059.77,MB/s,Triad,4378.63,MB/s
memory interleaved on 0 1 2,STREAM,Copy,3973.21,MB/s,Scale,4503.35,MB/s,Add,5103.70,MB/s,Triad,4129.80,MB/s
memory interleaved on 0 3,STREAM,Copy,3984.26,MB/s,Scale,3997.87,MB/s,Add,4804.82,MB/s,Triad,3625.32,MB/s
memory interleaved on 1 3,STREAM,Copy,4039.52,MB/s,Scale,4027.09,MB/s,Add,4793.73,MB/s,Triad,3918.20,MB/s
