Number of threads: 
Job ID: 2464
Machine: batman 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,4750193,0,none,5,random,1,local,0,1,"0:0",128,128,1.004,44939072,22.35,1.65,38740.545
8,64,4096,8192,8192,8192,1,1,4750193,0,none,5,random,1,local,0,1,"0:0",128,128,1.019,45583095,22.35,1.68,38193.198
8,64,4096,8192,8192,8192,1,1,4750193,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,44822572,22.35,1.65,38841.237
8,64,4096,8192,8192,8192,1,1,4750193,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,44817670,22.35,1.65,38845.486
8,64,4096,8192,8192,8192,1,1,4750193,0,none,5,random,1,local,0,1,"0:0",128,128,1.009,45120876,22.35,1.66,38584.450
8,64,4096,8192,8192,8192,1,1,4746095,0,nta,5,random,1,local,0,1,"0:0",128,128,1.001,45247667,22.12,1.65,38847.800
8,64,4096,8192,8192,8192,1,1,4746095,0,nta,5,random,1,local,0,1,"0:0",128,128,1.006,45459225,22.12,1.66,38667.011
8,64,4096,8192,8192,8192,1,1,4746095,0,nta,5,random,1,local,0,1,"0:0",128,128,1.002,45297296,22.12,1.65,38805.238
8,64,4096,8192,8192,8192,1,1,4746095,0,nta,5,random,1,local,0,1,"0:0",128,128,1.001,45252456,22.12,1.65,38843.689
8,64,4096,8192,8192,8192,1,1,4746095,0,nta,5,random,1,local,0,1,"0:0",128,128,1.014,45828591,22.12,1.67,38355.365
8,64,4096,8192,8192,8192,1,1,4742297,0,t0,5,random,1,local,0,1,"0:0",128,128,1.013,45782115,22.12,1.67,38363.577
8,64,4096,8192,8192,8192,1,1,4742297,0,t0,5,random,1,local,0,1,"0:0",128,128,1.013,45791092,22.12,1.67,38356.057
8,64,4096,8192,8192,8192,1,1,4742297,0,t0,5,random,1,local,0,1,"0:0",128,128,1.008,45568902,22.12,1.66,38543.077
8,64,4096,8192,8192,8192,1,1,4742297,0,t0,5,random,1,local,0,1,"0:0",128,128,1.007,45519741,22.12,1.66,38584.704
