Number of threads: 
Job ID: 2465
Machine: penguin 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,4759871,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,41393432,24.21,1.65,38902.742
8,64,4096,8192,8192,8192,1,1,4759871,0,none,5,random,1,local,0,1,"0:0",128,128,1.003,41440374,24.21,1.65,38858.674
8,64,4096,8192,8192,8192,1,1,4759871,0,none,5,random,1,local,0,1,"0:0",128,128,1.003,41412703,24.21,1.65,38884.639
8,64,4096,8192,8192,8192,1,1,4759871,0,none,5,random,1,local,0,1,"0:0",128,128,1.003,41425460,24.21,1.65,38872.664
8,64,4096,8192,8192,8192,1,1,4759871,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,41398807,24.21,1.65,38897.691
8,64,4096,8192,8192,8192,1,1,4744698,0,nta,5,random,1,local,0,1,"0:0",128,128,0.999,42898757,23.28,1.64,38914.699
8,64,4096,8192,8192,8192,1,1,4744698,0,nta,5,random,1,local,0,1,"0:0",128,128,1.000,42944989,23.28,1.65,38872.805
8,64,4096,8192,8192,8192,1,1,4744698,0,nta,5,random,1,local,0,1,"0:0",128,128,0.999,42903529,23.28,1.64,38910.370
8,64,4096,8192,8192,8192,1,1,4744698,0,nta,5,random,1,local,0,1,"0:0",128,128,1.000,42948838,23.28,1.65,38869.322
8,64,4096,8192,8192,8192,1,1,4744698,0,nta,5,random,1,local,0,1,"0:0",128,128,0.999,42914004,23.28,1.65,38900.872
8,64,4096,8192,8192,8192,1,1,4760707,0,t0,5,random,1,local,0,1,"0:0",128,128,1.003,44881543,22.35,1.65,38876.061
8,64,4096,8192,8192,8192,1,1,4760707,0,t0,5,random,1,local,0,1,"0:0",128,128,1.002,44845798,22.35,1.64,38907.047
8,64,4096,8192,8192,8192,1,1,4760707,0,t0,5,random,1,local,0,1,"0:0",128,128,1.003,44879947,22.35,1.65,38877.442
8,64,4096,8192,8192,8192,1,1,4760707,0,t0,5,random,1,local,0,1,"0:0",128,128,1.002,44848591,22.35,1.65,38904.624
8,64,4096,8192,8192,8192,1,1,4760707,0,t0,5,random,1,local,0,1,"0:0",128,128,1.004,44898844,22.35,1.65,38861.080
8,64,4096,8192,8192,8192,1,1,4750714,0,t1,5,random,1,local,0,1,"0:0",128,128,1.003,38451921,26.08,1.65,38812.590
8,64,4096,8192,8192,8192,1,1,4750714,0,t1,5,random,1,local,0,1,"0:0",128,128,1.002,38412141,26.08,1.65,38852.785
8,64,4096,8192,8192,8192,1,1,4750714,0,t1,5,random,1,local,0,1,"0:0",128,128,1.002,38425852,26.08,1.65,38838.922
8,64,4096,8192,8192,8192,1,1,4750714,0,t1,5,random,1,local,0,1,"0:0",128,128,1.002,38410454,26.08,1.65,38854.491
8,64,4096,8192,8192,8192,1,1,4750714,0,t1,5,random,1,local,0,1,"0:0",128,128,1.003,38444682,26.08,1.65,38819.899
8,64,4096,8192,8192,8192,1,1,4761580,0,t2,5,random,1,local,0,1,"0:0",128,128,1.004,37179064,27.01,1.65,38845.834
8,64,4096,8192,8192,8192,1,1,4761580,0,t2,5,random,1,local,0,1,"0:0",128,128,1.005,37207353,27.01,1.65,38816.299
8,64,4096,8192,8192,8192,1,1,4761580,0,t2,5,random,1,local,0,1,"0:0",128,128,1.004,37161561,27.01,1.65,38864.130
8,64,4096,8192,8192,8192,1,1,4761580,0,t2,5,random,1,local,0,1,"0:0",128,128,1.005,37210274,27.01,1.65,38813.252
8,64,4096,8192,8192,8192,1,1,4761580,0,t2,5,random,1,local,0,1,"0:0",128,128,1.004,37176488,27.01,1.65,38848.525
8,64,4096,8192,8192,8192,1,1,4747239,0,none,5,forward,1,local,0,1,"0:0",128,128,1.001,32576953,30.73,1.65,38842.441
8,64,4096,8192,8192,8192,1,1,4747239,0,none,5,forward,1,local,0,1,"0:0",128,128,1.002,32597784,30.73,1.65,38817.619
8,64,4096,8192,8192,8192,1,1,4747239,0,none,5,forward,1,local,0,1,"0:0",128,128,1.001,32560124,30.73,1.65,38862.517
8,64,4096,8192,8192,8192,1,1,4747239,0,none,5,forward,1,local,0,1,"0:0",128,128,1.001,32586021,30.73,1.65,38831.632
8,64,4096,8192,8192,8192,1,1,4747239,0,none,5,forward,1,local,0,1,"0:0",128,128,1.001,32573826,30.73,1.65,38846.170
8,64,4096,8192,8192,8192,1,1,4760070,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.003,37138059,27.01,1.65,38876.392
8,64,4096,8192,8192,8192,1,1,4760070,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.002,37114407,27.01,1.65,38901.167
8,64,4096,8192,8192,8192,1,1,4760070,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.003,37138635,27.01,1.65,38875.789
8,64,4096,8192,8192,8192,1,1,4760070,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.002,37110962,27.01,1.65,38904.778
8,64,4096,8192,8192,8192,1,1,4760070,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.003,37138344,27.01,1.65,38876.094
8,64,4096,8192,8192,8192,1,1,4752258,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.003,38476347,26.08,1.65,38800.557
8,64,4096,8192,8192,8192,1,1,4752258,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.002,38415069,26.08,1.65,38862.450
8,64,4096,8192,8192,8192,1,1,4752258,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.002,38409110,26.08,1.65,38868.480
8,64,4096,8192,8192,8192,1,1,4752258,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,38380954,26.08,1.65,38896.993
8,64,4096,8192,8192,8192,1,1,4752258,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,38400821,26.08,1.65,38876.869
8,64,4096,8192,8192,8192,1,1,4759373,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.003,44868160,22.35,1.65,38876.759
8,64,4096,8192,8192,8192,1,1,4759373,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.003,44882786,22.35,1.65,38864.090
8,64,4096,8192,8192,8192,1,1,4759373,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,44831903,22.35,1.64,38908.200
8,64,4096,8192,8192,8192,1,1,4759373,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.003,44889185,22.35,1.65,38858.550
