Number of threads: 
Job ID: 3113
Machine: penguin 

/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,4754252,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,43045269,23.28,1.65,38860.339
8,64,4096,8192,8192,8192,1,1,4754252,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,43018412,23.28,1.65,38884.599
8,64,4096,8192,8192,8192,1,1,4754252,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,43047334,23.28,1.65,38858.474
8,64,4096,8192,8192,8192,1,1,4754252,0,none,5,random,1,local,0,1,"0:0",128,128,1.001,43005151,23.28,1.65,38896.590
8,64,4096,8192,8192,8192,1,1,4754252,0,none,5,random,1,local,0,1,"0:0",128,128,1.002,43025997,23.28,1.65,38877.744
8,64,4096,8192,8192,8192,1,1,4761251,0,nta,5,random,1,local,0,1,"0:0",128,128,1.004,43129338,23.28,1.65,38841.687
8,64,4096,8192,8192,8192,1,1,4761251,0,nta,5,random,1,local,0,1,"0:0",128,128,1.005,43149124,23.28,1.65,38823.877
8,64,4096,8192,8192,8192,1,1,4761251,0,nta,5,random,1,local,0,1,"0:0",128,128,1.005,43152744,23.28,1.65,38820.619
8,64,4096,8192,8192,8192,1,1,4761251,0,nta,5,random,1,local,0,1,"0:0",128,128,1.005,43153042,23.28,1.65,38820.352
8,64,4096,8192,8192,8192,1,1,4761251,0,nta,5,random,1,local,0,1,"0:0",128,128,1.005,43148234,23.28,1.65,38824.677
