socket,node,bw
0-1,1,10601.974999999999
0-1,2,7942.0
0-1,3,7890.200000000001
0-1,4,10902.9
0-1,5,7389.975
0-1,6,4774.875
0-1,7,4711.85
0-2,1,7791.049999999999
0-2,2,8461.1
0-2,3,9065.0
0-2,4,10873.4
0-2,5,11438.225
0-2,6,10247.525
0-2,7,8356.349999999999
0-3,1,6560.0
0-3,2,7172.775000000001
0-3,3,7236.150000000001
0-3,4,8292.275000000001
0-3,5,8322.925000000001
0-3,6,7570.9
0-3,7,6891.199999999999
0-4,1,11460.05
0-4,2,11562.175
0-4,3,11293.574999999999
0-4,4,8429.375
0-4,5,7557.974999999999
0-4,6,10589.7
0-4,7,7512.2
0-5,1,7680.875
0-5,2,8204.85
0-5,3,8259.599999999999
0-5,4,7117.099999999999
0-5,5,7038.0
0-5,6,8128.924999999999
0-5,7,7502.975
0-6,1,7500.85
0-6,2,8832.25
0-6,3,10304.275
0-6,4,11028.300000000001
0-6,5,7961.6
0-6,6,8612.625
0-6,7,8110.275
0-7,1,8262.35
0-7,2,13014.9
0-7,3,10334.675
0-7,4,8071.450000000001
0-7,5,10415.699999999999
0-7,6,9697.224999999999
0-7,7,7211.5
1-2,1,8111.6
1-2,2,9284.45
1-2,3,12026.4
1-2,4,10793.724999999999
1-2,5,11192.65
1-2,6,8134.325
1-2,7,11255.425000000001
1-3,1,7830.925
1-3,2,6505.725
1-3,3,8132.6
1-3,4,8286.525000000001
1-3,5,8317.625
1-3,6,6856.775000000001
1-3,7,7676.4
1-4,1,11369.325
1-4,2,11265.75
1-4,3,11505.125
1-4,4,11829.325
1-4,5,8717.25
1-4,6,8171.75
1-4,7,8060.575
1-5,1,7628.75
1-5,2,8271.3
1-5,3,8263.9
1-5,4,8063.700000000001
1-5,5,8030.849999999999
1-5,6,7676.574999999999
1-5,7,8254.974999999999
1-6,1,7588.3
1-6,2,11417.324999999999
1-6,3,11364.974999999999
1-6,4,11257.750000000002
1-6,5,8169.25
1-6,6,7001.775
1-6,7,12205.175
1-7,1,7543.174999999999
1-7,2,10970.325
1-7,3,10336.625
1-7,4,8190.125000000001
1-7,5,10732.775
1-7,6,7949.424999999999
1-7,7,8990.775
2-3,1,4481.925
2-3,2,4738.85
2-3,3,4749.6
2-3,4,4708.85
2-3,5,4731.575
2-3,6,4563.55
2-3,7,4557.025000000001
2-4,1,8132.099999999999
2-4,2,9467.375
2-4,3,10585.199999999999
2-4,4,11224.2
2-4,5,11191.1
2-4,6,11312.150000000001
2-4,7,8085.95
2-5,1,7206.525000000001
2-5,2,7578.275000000001
2-5,3,8053.725
2-5,4,8010.1
2-5,5,8056.225
2-5,6,8077.200000000001
2-5,7,8151.674999999999
2-6,1,7527.825
2-6,2,9740.825
2-6,3,8727.625
2-6,4,11282.95
2-6,5,8270.7
2-6,6,11489.075
2-6,7,11481.425
2-7,1,6453.174999999999
2-7,2,10925.975
2-7,3,9140.125
2-7,4,8158.075
2-7,5,10943.175000000001
2-7,6,11152.625
2-7,7,11417.425
3-4,1,8173.700000000001
3-4,2,8221.224999999999
3-4,3,7411.95
3-4,4,8324.2
3-4,5,8333.074999999999
3-4,6,7699.5
3-4,7,7216.9
3-5,1,7184.674999999999
3-5,2,6987.9
3-5,3,6124.474999999999
3-5,4,7204.525
3-5,5,7147.85
3-5,6,7604.0
3-5,7,7466.375
3-6,1,7574.325
3-6,2,7986.525000000001
3-6,3,6959.125
3-6,4,8319.25
3-6,5,7869.15
3-6,6,7951.799999999999
3-6,7,7954.724999999999
3-7,1,7984.000000000001
3-7,2,8082.324999999999
3-7,3,7410.375
3-7,4,7829.125
3-7,5,8307.275
3-7,6,7936.825
3-7,7,7980.0
4-5,1,4483.625
4-5,2,4714.925
4-5,3,4606.225
4-5,4,4699.575
4-5,5,4678.475
4-5,6,4694.65
4-5,7,4487.625
4-6,1,7936.674999999999
4-6,2,11304.5
4-6,3,10849.675
4-6,4,10939.675
4-6,5,8288.65
4-6,6,11967.75
4-6,7,8066.475
4-7,1,8479.625
4-7,2,11493.8
4-7,3,11177.975
4-7,4,8217.225
4-7,5,11294.874999999998
4-7,6,11386.125
4-7,7,8160.099999999999
5-6,1,7481.125
5-6,2,8151.525
5-6,3,8159.025
5-6,4,7917.325
5-6,5,7390.150000000001
5-6,6,8095.849999999999
5-6,7,8129.450000000001
5-7,1,7726.174999999999
5-7,2,8187.075000000001
5-7,3,8226.575
5-7,4,7307.700000000001
5-7,5,7942.2
5-7,6,8125.424999999999
5-7,7,8113.975
6-7,1,4645.200000000001
6-7,2,8130.575
6-7,3,7595.25
6-7,4,4749.400000000001
6-7,5,4629.85
6-7,6,7931.049999999999
6-7,7,8024.849999999999
