Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1,8562.56666667,9248.1,4110.16666667,4103.03333333,5910.76666667,3878.83333333,2423.36666667,2429.33333333
0-2,5913.66666667,3770.0,7703.93333333,4958.73333333,5990.9,6007.5,4730.03333333,4169.06666667
0-3,4140.7,6082.56666667,7357.33333333,7454.46666667,5960.66666667,5307.63333333,3994.3,4097.4
0-4,6049.0,6028.36666667,6271.7,5805.5,6016.3,4461.56666667,5130.13333333,3967.96666667
0-5,4083.66666667,4095.66666667,6448.53333333,6178.8,6045.86666667,6023.2,6181.46666667,3630.2
0-6,7868.73333333,3688.73333333,6106.06666667,5569.13333333,4671.66666667,4163.96666667,6005.83333333,3806.26666667
0-7,6856.93333333,6151.93333333,8156.23333333,5595.2,3416.23333333,4970.76666667,6211.8,4232.1
1-2,6052.0,4180.7,6786.16666667,7626.33333333,6014.53333333,6034.33333333,3457.9,4691.33333333
1-3,3832.46666667,6047.96666667,4921.86666667,7135.36666667,5984.83333333,5075.06666667,3114.33333333,3398.66666667
1-4,5987.7,5624.8,5414.36666667,6144.1,6053.63333333,4454.83333333,3656.66666667,3428.0
1-5,4057.5,4061.33333333,7594.53333333,5080.23333333,5993.06666667,5978.86666667,4229.63333333,5988.36666667
1-6,7326.76666667,4231.16666667,5381.73333333,5302.13333333,4674.26666667,4139.56666667,4230.4,6154.26666667
1-7,4951.13333333,5635.16666667,6006.03333333,6161.46666667,3435.1,4733.96666667,3582.53333333,5636.53333333
2-3,2380.43333333,2387.76666667,8482.16666667,9249.66666667,6110.76666667,7048.13333333,2411.53333333,2369.5
2-4,4476.03333333,3458.46666667,6215.46666667,6162.46666667,6190.26666667,8581.26666667,6114.46666667,4188.83333333
2-5,3857.2,3114.23333333,7468.76666667,6283.7,6176.33333333,8439.8,5354.76666667,4664.03333333
2-6,4916.9,3763.46666667,6016.0,4501.36666667,4723.13333333,4144.06666667,6113.13333333,6175.7
2-7,6062.26666667,3454.8,7828.3,4857.96666667,3443.86666667,6014.63333333,6091.26666667,6040.76666667
3-4,3394.66666667,4651.7,6170.66666667,5655.46666667,6075.13333333,7654.96666667,4114.43333333,4073.3
3-5,3058.6,4026.6,8570.06666667,6217.63333333,6100.6,7167.1,4103.16666667,3422.76666667
3-6,3607.46666667,4202.23333333,6046.23333333,6073.33333333,4700.96666667,3739.76666667,4166.5,4120.8
3-7,4012.63333333,4640.06666667,7324.0,7378.6,3480.06666667,6058.5,4169.1,4141.83333333
4-5,2382.03333333,2377.1,5664.9,4713.0,8495.36666667,9233.43333333,4122.73333333,2402.23333333
4-6,6102.9,3636.3,6050.56666667,5005.23333333,5892.4,3723.73333333,7867.06666667,3679.6
4-7,5326.23333333,6014.86666667,6224.33333333,5632.06666667,4197.03333333,6052.86666667,7296.73333333,4174.63333333
5-6,4076.86666667,3247.7,5616.06666667,5999.63333333,6091.7,4152.6,6841.13333333,6003.33333333
5-7,4096.5,4073.7,6434.63333333,6231.13333333,3579.8,5539.56666667,4931.93333333,5531.73333333
6-7,4164.76666667,2439.96666667,6128.9,3930.5,2401.96666667,2396.46666667,8559.03333333,9271.1
