Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1,8543.96666667,9284.76666667,4122.4,4114.46666667,5919.03333333,3876.0,2435.43333333,2430.36666667
0-2,6686.86666667,4245.6,7716.26666667,4956.66666667,5955.13333333,5997.0,4726.96666667,4205.43333333
0-3,4159.26666667,6092.46666667,7333.76666667,7419.16666667,6018.56666667,5324.0,3973.66666667,4086.0
0-4,6059.36666667,6094.03333333,6301.33333333,5843.2,6024.93333333,4454.53333333,5150.53333333,3977.16666667
0-5,4113.73333333,4143.7,6448.1,6231.26666667,6010.96666667,5982.33333333,6150.56666667,3608.63333333
0-6,7886.76666667,3676.1,6114.06666667,5560.4,4699.7,4147.06666667,5972.1,3797.83333333
0-7,6856.53333333,6160.96666667,8164.9,5614.86666667,3426.43333333,4946.96666667,6206.66666667,4209.33333333
1-2,6062.33333333,4158.1,6018.5,7624.23333333,6059.73333333,6037.03333333,3464.5,4709.5
1-3,3830.66666667,6054.9,4916.53333333,7139.63333333,5973.4,5057.56666667,3108.1,3431.0
1-4,6038.3,5603.5,5409.9,6182.03333333,6054.3,4472.5,3701.13333333,3435.83333333
1-5,4057.16666667,4046.56666667,7599.73333333,5123.13333333,6091.76666667,5992.0,4231.2,5974.2
1-6,7311.63333333,4229.93333333,5378.53333333,5335.7,4693.56666667,4186.66666667,4234.63333333,6160.63333333
1-7,4936.13333333,5648.83333333,6015.96666667,6124.5,3417.66666667,4681.96666667,3570.0,5645.26666667
2-3,2380.16666667,2404.06666667,8475.5,9261.86666667,6123.2,7002.93333333,2402.8,2378.6
2-4,4488.2,3465.46666667,6213.93333333,6221.3,6203.3,8594.03333333,6166.23333333,4142.13333333
2-5,3863.5,3100.66666667,7473.4,6298.8,6190.13333333,8468.56666667,5356.26666667,4718.03333333
2-6,4903.7,3799.73333333,6028.06666667,4493.1,4718.66666667,4172.93333333,6116.03333333,6115.76666667
2-7,6093.1,3460.7,7826.96666667,4840.13333333,3465.26666667,5980.4,6045.63333333,6093.53333333
3-4,3420.4,4683.73333333,6179.33333333,5679.26666667,6127.06666667,7672.23333333,4146.0,4064.43333333
3-5,3048.86666667,4060.1,8588.3,6263.56666667,6113.56666667,7186.0,4111.8,3418.53333333
3-6,3620.0,4200.6,6056.16666667,6034.36666667,4712.5,3802.93333333,4145.93333333,4121.03333333
3-7,4048.3,4677.3,7313.16666667,7319.36666667,3474.26666667,6020.63333333,4170.8,4144.43333333
4-5,2364.56666667,2386.33333333,5664.36666667,4755.66666667,8476.86666667,9291.26666667,4149.83333333,2412.26666667
4-6,6102.16666667,3608.63333333,6031.4,5046.16666667,5881.83333333,3718.96666667,7862.2,3683.16666667
4-7,5376.03333333,5988.2,6297.46666667,5633.43333333,4206.13333333,6012.76666667,7297.2,4174.6
5-6,4105.3,3284.8,5616.3,5988.96666667,6115.96666667,4178.1,6842.66666667,6009.83333333
5-7,4106.8,4145.03333333,6416.3,6227.33333333,3556.6,5548.23333333,4931.36666667,5557.86666667
6-7,4165.66666667,2438.53333333,6154.53333333,3933.4,2386.83333333,2387.56666667,8546.2,9281.06666667
