socket,node,bw
0-1,1,10575.65
0-1,2,7684.55
0-1,3,7517.0
0-1,4,10217.025000000001
0-1,5,6846.65
0-1,6,4653.275
0-1,7,4592.25
0-2,1,7563.5
0-2,2,8207.65
0-2,3,8600.225
0-2,4,10797.875
0-2,5,11183.724999999999
0-2,6,9955.95
0-2,7,7568.325000000001
0-3,1,8115.999999999999
0-3,2,6710.9
0-3,3,6778.6
0-3,4,8215.4
0-3,5,8251.974999999999
0-3,6,7462.450000000001
0-3,7,5552.5
0-4,1,11628.974999999999
0-4,2,11664.7
0-4,3,11162.075
0-4,4,7917.974999999999
0-4,5,6973.9
0-4,6,10446.025
0-4,7,6501.424999999999
0-5,1,7750.875
0-5,2,7897.625
0-5,3,7966.65
0-5,4,6411.174999999999
0-5,5,6556.924999999999
0-5,6,8120.400000000001
0-5,7,7130.400000000001
0-6,1,6964.475
0-6,2,11949.224999999999
0-6,3,10220.6
0-6,4,10545.05
0-6,5,7877.925
0-6,6,8162.05
0-6,7,7639.825
0-7,1,8197.574999999999
0-7,2,13128.475
0-7,3,10280.1
0-7,4,7818.9
0-7,5,10076.6
0-7,6,9555.099999999999
0-7,7,6798.299999999999
1-2,1,8134.325
1-2,2,8863.275000000001
1-2,3,12031.4
1-2,4,11156.675
1-2,5,11224.875
1-2,6,7123.699999999999
1-2,7,11252.275000000001
1-3,1,7839.224999999999
1-3,2,7571.300000000001
1-3,3,7353.725
1-3,4,8257.525
1-3,5,8237.0
1-3,6,6953.25
1-3,7,7867.175
1-4,1,11419.1
1-4,2,11387.525000000001
1-4,3,11725.825
1-4,4,11677.849999999999
1-4,5,8411.55
1-4,6,7671.7
1-4,7,7299.299999999999
1-5,1,7722.75
1-5,2,8108.775
1-5,3,8104.849999999999
1-5,4,7734.775
1-5,5,7582.775000000001
1-5,6,7611.375000000001
1-5,7,8154.425
1-6,1,7762.5
1-6,2,11429.050000000001
1-6,3,11456.625
1-6,4,10914.675000000001
1-6,5,7987.875
1-6,6,6586.475
1-6,7,12252.825
1-7,1,7505.15
1-7,2,10990.274999999998
1-7,3,10224.775000000001
1-7,4,8109.7
1-7,5,10860.599999999999
1-7,6,7638.349999999999
1-7,7,8534.775000000001
2-3,1,3930.95
2-3,2,4541.6
2-3,3,4548.3
2-3,4,4481.475
2-3,5,4542.45
2-3,6,4254.725
2-3,7,4295.825
2-4,1,6975.174999999999
2-4,2,9205.675
2-4,3,10545.175
2-4,4,10712.4
2-4,5,11029.800000000001
2-4,6,11477.975
2-4,7,7097.125
2-5,1,7157.825000000001
2-5,2,7000.224999999999
2-5,3,7142.150000000001
2-5,4,7291.025000000001
2-5,5,7174.349999999999
2-5,6,7971.25
2-5,7,7407.975
2-6,1,7457.55
2-6,2,9416.55
2-6,3,8591.475
2-6,4,11312.975
2-6,5,8248.975
2-6,6,11689.125000000002
2-6,7,11706.3
2-7,1,7465.0
2-7,2,10857.65
2-7,3,9151.55
2-7,4,8168.8
2-7,5,11091.625000000002
2-7,6,11291.9
2-7,7,11424.525000000001
3-4,1,7993.375000000001
3-4,2,7696.55
3-4,3,6397.025000000001
3-4,4,7400.825000000001
3-4,5,7608.975
3-4,6,7617.575
3-4,7,7022.150000000001
3-5,1,6968.875
3-5,2,6326.224999999999
3-5,3,5843.2
3-5,4,6595.224999999999
3-5,5,6478.7
3-5,6,7670.225
3-5,7,7028.900000000001
3-6,1,7535.025
3-6,2,7778.8
3-6,3,6850.275
3-6,4,8084.674999999999
3-6,5,7618.525000000001
3-6,6,8031.025000000001
3-6,7,8046.325
3-7,1,7991.55
3-7,2,7565.9
3-7,3,7240.575
3-7,4,7574.275
3-7,5,8075.575000000001
3-7,6,8090.6
3-7,7,8012.95
4-5,1,4325.425
4-5,2,4530.3
4-5,3,4531.549999999999
4-5,4,4537.275
4-5,5,4561.6
4-5,6,4464.950000000001
4-5,7,4354.425
4-6,1,8017.824999999999
4-6,2,11550.25
4-6,3,11036.45
4-6,4,10891.525
4-6,5,8242.025
4-6,6,11997.849999999999
4-6,7,7804.6
4-7,1,8515.074999999999
4-7,2,11715.775000000001
4-7,3,11411.325
4-7,4,8314.65
4-7,5,11472.449999999999
4-7,6,11398.25
4-7,7,8127.175
5-6,1,7488.675000000001
5-6,2,8170.675000000001
5-6,3,7977.875
5-6,4,7728.725
5-6,5,6953.25
5-6,6,8092.775000000001
5-6,7,8072.775
5-7,1,7917.450000000001
5-7,2,8060.625
5-7,3,8090.475
5-7,4,7147.775
5-7,5,7831.8
5-7,6,8076.075000000001
5-7,7,7610.65
6-7,1,4486.775
6-7,2,7946.55
6-7,3,7305.474999999999
6-7,4,4505.6
6-7,5,4270.6
6-7,6,7772.725
6-7,7,7616.099999999999
