processor,node,bw
0-1,1,10413.800000000001
0-1,2,7514.249999999999
0-1,3,7014.200000000001
0-1,4,9637.75
0-1,5,6625.825
0-1,6,4555.675
0-1,7,4499.5
0-2,1,7054.825
0-2,2,7721.55
0-2,3,8325.525
0-2,4,10506.05
0-2,5,11271.025000000001
0-2,6,10259.95
0-2,7,7605.325
0-3,1,6583.0
0-3,2,6161.9
0-3,3,6474.35
0-3,4,7898.925000000001
0-3,5,8093.775000000001
0-3,6,6917.825
0-3,7,5870.25
0-4,1,11469.974999999999
0-4,2,11640.224999999999
0-4,3,11102.2
0-4,4,7593.125000000001
0-4,5,6518.3
0-4,6,10454.65
0-4,7,5627.425
0-5,1,7711.475
0-5,2,7877.075
0-5,3,7877.75
0-5,4,6105.625
0-5,5,6294.700000000001
0-5,6,8074.375
0-5,7,7047.85
0-6,1,7529.975
0-6,2,9687.0
0-6,3,9881.075
0-6,4,9718.75
0-6,5,7396.15
0-6,6,7669.825
0-6,7,6915.5
0-7,1,9146.7
0-7,2,12929.474999999999
0-7,3,10231.825
0-7,4,6970.6
0-7,5,9603.8
0-7,6,8750.8
0-7,7,6460.400000000001
1-2,1,6641.775
1-2,2,8546.275
1-2,3,12038.675
1-2,4,11252.3
1-2,5,11285.15
1-2,6,7048.05
1-2,7,11261.3
1-3,1,7366.825000000001
1-3,2,7177.925
1-3,3,7037.275
1-3,4,8268.85
1-3,5,8254.949999999999
1-3,6,5849.1
1-3,7,7851.25
1-4,1,11434.149999999998
1-4,2,11331.125
1-4,3,11666.65
1-4,4,11028.075
1-4,5,8280.5
1-4,6,7925.275
1-4,7,6458.700000000001
1-5,1,7632.400000000001
1-5,2,7603.425
1-5,3,7808.75
1-5,4,7256.575000000001
1-5,5,6980.6
1-5,6,7447.275
1-5,7,7957.625
1-6,1,7825.075
1-6,2,10902.074999999999
1-6,3,11473.349999999999
1-6,4,10008.8
1-6,5,7444.5
1-6,6,6098.824999999999
1-6,7,12105.575
1-7,1,8249.575
1-7,2,10976.05
1-7,3,10400.9
1-7,4,7876.799999999999
1-7,5,10753.95
1-7,6,7659.950000000001
1-7,7,8759.949999999999
2-3,1,3779.325
2-3,2,4494.8
2-3,3,4526.424999999999
2-3,4,4300.025
2-3,5,4536.975
2-3,6,3766.0
2-3,7,3698.125
2-4,1,8058.475
2-4,2,8899.325
2-4,3,10611.125
2-4,4,9248.724999999999
2-4,5,10203.55
2-4,6,11396.85
2-4,7,6596.775
2-5,1,5332.85
2-5,2,6307.875
2-5,3,6642.7
2-5,4,6850.775
2-5,5,6871.6
2-5,6,7522.049999999999
2-5,7,6918.925
2-6,1,6555.5
2-6,2,8954.900000000001
2-6,3,8249.7
2-6,4,11366.55
2-6,5,8342.899999999998
2-6,6,11519.650000000001
2-6,7,11541.55
2-7,1,7765.05
2-7,2,8962.925
2-7,3,8855.925
2-7,4,7788.2
2-7,5,11135.3
2-7,6,11166.525
2-7,7,11092.5
3-4,1,7080.5
3-4,2,7428.775
3-4,3,6216.875
3-4,4,7250.75
3-4,5,7388.5
3-4,6,8000.9
3-4,7,5934.799999999999
3-5,1,5207.700000000001
3-5,2,5691.225
3-5,3,5369.2
3-5,4,5979.174999999999
3-5,5,5888.075
3-5,6,6816.85
3-5,7,6291.724999999999
3-6,1,6374.05
3-6,2,7121.625
3-6,3,6118.325
3-6,4,7974.425
3-6,5,6823.5
3-6,6,7818.1
3-6,7,7756.674999999999
3-7,1,7951.674999999999
3-7,2,7204.849999999999
3-7,3,6779.925
3-7,4,7689.725
3-7,5,7758.625000000001
3-7,6,6172.325000000001
3-7,7,7773.5
4-5,1,3902.9249999999997
4-5,2,4441.075000000001
4-5,3,4175.825000000001
4-5,4,4317.275000000001
4-5,5,4485.9
4-5,6,4212.625
4-5,7,3793.275
4-6,1,8042.200000000001
4-6,2,11514.725
4-6,3,10959.425000000001
4-6,4,10225.15
4-6,5,7652.6
4-6,6,11879.95
4-6,7,6690.55
4-7,1,8490.050000000001
4-7,2,11727.525
4-7,3,11418.775
4-7,4,7891.35
4-7,5,11459.775
4-7,6,11021.425
4-7,7,7079.075000000001
5-6,1,5637.124999999999
5-6,2,7904.0
5-6,3,7763.900000000001
5-6,4,7122.9
5-6,5,6085.95
5-6,6,7984.45
5-6,7,7361.0
5-7,1,7959.450000000001
5-7,2,8132.949999999999
5-7,3,8215.65
5-7,4,6538.450000000001
5-7,5,7322.549999999999
5-7,6,8041.85
5-7,7,7214.425
6-7,1,4099.95
6-7,2,7252.224999999999
6-7,3,7077.875
6-7,4,4273.5
6-7,5,4144.325
6-7,6,7711.6
6-7,7,7155.925
