processor,node,bw
0-1-2-3,1,28120.16
0-1-2-3,2,26561.92
0-1-2-3,3,26941.680000000008
0-1-2-3,4,30700.559999999998
0-1-2-3,5,30386.640000000003
0-1-2-3,6,16748.88
0-1-2-3,7,20549.920000000002
0-1-2-4,1,35775.920000000006
0-1-2-4,2,37366.32
0-1-2-4,3,48191.28
0-1-2-4,4,47788.08000000001
0-1-2-4,5,35736.96
0-1-2-4,6,25243.840000000004
0-1-2-4,7,25310.08
0-1-2-5,1,35775.200000000004
0-1-2-5,2,38585.200000000004
0-1-2-5,3,47385.76
0-1-2-5,4,41413.52
0-1-2-5,5,39231.76
0-1-2-5,6,29949.68
0-1-2-5,7,28436.96
0-1-2-6,1,31391.2
0-1-2-6,2,37896.4
0-1-2-6,3,43102.240000000005
0-1-2-6,4,51579.44
0-1-2-6,5,38427.840000000004
0-1-2-6,6,26742.559999999998
0-1-2-6,7,31056.320000000003
0-1-2-7,1,32822.56
0-1-2-7,2,38297.36
0-1-2-7,3,40759.520000000004
0-1-2-7,4,41697.119999999995
0-1-2-7,5,44128.48
0-1-2-7,6,30156.719999999998
0-1-2-7,7,27663.36
0-1-3-4,1,36903.520000000004
0-1-3-4,2,40644.96
0-1-3-4,3,37416.72
0-1-3-4,4,39297.6
0-1-3-4,5,36025.840000000004
0-1-3-4,6,24274.320000000003
0-1-3-4,7,25158.160000000003
0-1-3-5,1,36044.08
0-1-3-5,2,37284.32
0-1-3-5,3,39402.80000000001
0-1-3-5,4,30969.120000000003
0-1-3-5,5,34712.64000000001
0-1-3-5,6,29470.08
0-1-3-5,7,28274.640000000003
0-1-3-6,1,34650.0
0-1-3-6,2,40661.68000000001
0-1-3-6,3,39488.40000000001
0-1-3-6,4,47540.08
0-1-3-6,5,40555.68
0-1-3-6,6,26287.040000000005
0-1-3-6,7,30051.840000000004
0-1-3-7,1,30539.440000000002
0-1-3-7,2,38268.96
0-1-3-7,3,34599.920000000006
0-1-3-7,4,38345.840000000004
0-1-3-7,5,44940.16
0-1-3-7,6,29833.920000000002
0-1-3-7,7,27246.640000000003
0-1-4-5,1,27024.800000000003
0-1-4-5,2,30576.240000000005
0-1-4-5,3,29848.4
0-1-4-5,4,26464.4
0-1-4-5,5,25954.24
0-1-4-5,6,27039.920000000002
0-1-4-5,7,25636.320000000003
0-1-4-6,1,35882.88
0-1-4-6,2,43992.16
0-1-4-6,3,48382.96
0-1-4-6,4,50109.600000000006
0-1-4-6,5,32664.0
0-1-4-6,6,26836.559999999998
0-1-4-6,7,26555.440000000002
0-1-4-7,1,35146.8
0-1-4-7,2,43629.520000000004
0-1-4-7,3,46113.68
0-1-4-7,4,41312.16
0-1-4-7,5,35713.920000000006
0-1-4-7,6,30025.840000000004
0-1-4-7,7,24515.600000000002
0-1-5-6,1,35058.64
0-1-5-6,2,44904.880000000005
0-1-5-6,3,45083.36
0-1-5-6,4,41025.44
0-1-5-6,5,35725.6
0-1-5-6,6,25943.840000000004
0-1-5-6,7,30806.640000000003
0-1-5-7,1,32939.200000000004
0-1-5-7,2,42452.0
0-1-5-7,3,40665.920000000006
0-1-5-7,4,31219.2
0-1-5-7,5,35866.0
0-1-5-7,6,27925.840000000004
0-1-5-7,7,25112.56
0-1-6-7,1,27021.68
0-1-6-7,2,40464.560000000005
0-1-6-7,3,39533.119999999995
0-1-6-7,4,26532.160000000003
0-1-6-7,5,24509.84
0-1-6-7,6,26836.319999999996
0-1-6-7,7,27302.240000000005
0-2-3-4,1,28918.559999999998
0-2-3-4,2,26612.480000000007
0-2-3-4,3,26474.319999999996
0-2-3-4,4,29701.600000000002
0-2-3-4,5,29098.16
0-2-3-4,6,27701.600000000002
0-2-3-4,7,29591.2
0-2-3-5,1,28893.44
0-2-3-5,2,26266.08
0-2-3-5,3,26288.48
0-2-3-5,4,28397.68
0-2-3-5,5,28757.760000000006
0-2-3-5,6,29725.840000000004
0-2-3-5,7,29031.600000000002
0-2-3-6,1,25173.200000000004
0-2-3-6,2,26472.0
0-2-3-6,3,25788.800000000003
0-2-3-6,4,29108.880000000005
0-2-3-6,5,28046.319999999996
0-2-3-6,6,28684.880000000005
0-2-3-6,7,29592.48
0-2-3-7,1,27028.800000000003
0-2-3-7,2,25002.88
0-2-3-7,3,24741.600000000002
0-2-3-7,4,25563.040000000005
0-2-3-7,5,27072.320000000007
0-2-3-7,6,29458.239999999998
0-2-3-7,7,26678.240000000005
0-2-4-5,1,28523.76
0-2-4-5,2,28540.0
0-2-4-5,3,28099.840000000004
0-2-4-5,4,26499.2
0-2-4-5,5,26288.240000000005
0-2-4-5,6,29966.800000000003
0-2-4-5,7,30071.76
0-2-4-6,1,37651.04
0-2-4-6,2,44742.32000000001
0-2-4-6,3,42760.72
0-2-4-6,4,49208.16
0-2-4-6,5,40139.44
0-2-4-6,6,44191.28
0-2-4-6,7,34554.0
0-2-4-7,1,42496.96000000001
0-2-4-7,2,51770.48
0-2-4-7,3,44483.12
0-2-4-7,4,45745.76
0-2-4-7,5,43898.32
0-2-4-7,6,51184.880000000005
0-2-4-7,7,35662.719999999994
0-2-5-6,1,32839.04
0-2-5-6,2,41522.8
0-2-5-6,3,41256.0
0-2-5-6,4,40592.32000000001
0-2-5-6,5,39300.32
0-2-5-6,6,44326.08000000001
0-2-5-6,7,45953.119999999995
0-2-5-7,1,37088.560000000005
0-2-5-7,2,46091.92
0-2-5-7,3,42881.04000000001
0-2-5-7,4,34345.840000000004
0-2-5-7,5,41083.84
0-2-5-7,6,42113.36
0-2-5-7,7,33674.08
0-2-6-7,1,30067.360000000004
0-2-6-7,2,48419.36
0-2-6-7,3,34848.56
0-2-6-7,4,25912.800000000003
0-2-6-7,5,27213.76
0-2-6-7,6,39554.32000000001
0-2-6-7,7,40065.44
0-3-4-5,1,28082.640000000003
0-3-4-5,2,25888.320000000003
0-3-4-5,3,25394.16
0-3-4-5,4,26204.8
0-3-4-5,5,25890.800000000003
0-3-4-5,6,28767.120000000003
0-3-4-5,7,29297.440000000002
0-3-4-6,1,37206.8
0-3-4-6,2,36654.72
0-3-4-6,3,35811.52
0-3-4-6,4,44000.64000000001
0-3-4-6,5,39241.36
0-3-4-6,6,40884.4
0-3-4-6,7,31935.120000000003
0-3-4-7,1,38637.52
0-3-4-7,2,38734.64000000001
0-3-4-7,3,37848.719999999994
0-3-4-7,4,41246.56
0-3-4-7,5,45439.119999999995
0-3-4-7,6,44803.36
0-3-4-7,7,33866.0
0-3-5-6,1,35451.6
0-3-5-6,2,35466.48
0-3-5-6,3,34766.88
0-3-5-6,4,38316.719999999994
0-3-5-6,5,37406.64
0-3-5-6,6,42163.52
0-3-5-6,7,40432.16
0-3-5-7,1,35268.4
0-3-5-7,2,35993.76
0-3-5-7,3,35391.36
0-3-5-7,4,31279.039999999997
0-3-5-7,5,33737.52000000001
0-3-5-7,6,38282.64000000001
0-3-5-7,7,33894.560000000005
0-3-6-7,1,29907.36
0-3-6-7,2,38961.6
0-3-6-7,3,34402.56
0-3-6-7,4,25716.960000000003
0-3-6-7,5,28883.280000000006
0-3-6-7,6,36960.32
0-3-6-7,7,39017.6
0-4-5-6,1,28076.320000000003
0-4-5-6,2,30413.920000000002
0-4-5-6,3,30154.4
0-4-5-6,4,26751.68
0-4-5-6,5,25863.04
0-4-5-6,6,30260.319999999996
0-4-5-6,7,29569.36
0-4-5-7,1,27593.68
0-4-5-7,2,30392.4
0-4-5-7,3,30125.520000000004
0-4-5-7,4,23701.68
