socket,node,bw
0-1-2-3,0,4605.15
0-1-2-3,1,4625.150000000001
0-1-2-3,2,6577.05
0-1-2-3,3,6157.6
0-1-2-3,4,6929.875
0-1-2-3,5,5612.724999999999
0-1-2-3,6,2846.9500000000003
0-1-2-3,7,3366.225
0-1-2-4,0,7380.700000000001
0-1-2-4,1,5613.299999999999
0-1-2-4,2,6643.35
0-1-2-4,3,6203.0
0-1-2-4,4,7485.525
0-1-2-4,5,5302.0
0-1-2-4,6,4120.5
0-1-2-4,7,3934.275
0-1-2-5,0,6899.575
0-1-2-5,1,5382.775000000001
0-1-2-5,2,7139.025000000001
0-1-2-5,3,5935.1
0-1-2-5,4,7080.025
0-1-2-5,5,6093.625
0-1-2-5,6,4803.625
0-1-2-5,7,4792.25
0-1-2-6,0,7390.349999999999
0-1-2-6,1,5386.2
0-1-2-6,2,6611.975
0-1-2-6,3,6359.575000000001
0-1-2-6,4,6839.975
0-1-2-6,5,5303.75
0-1-2-6,6,4589.25
0-1-2-6,7,4767.25
0-1-2-7,0,6383.75
0-1-2-7,1,5725.375
0-1-2-7,2,6836.924999999999
0-1-2-7,3,6352.15
0-1-2-7,4,5627.525
0-1-2-7,5,5563.299999999999
0-1-2-7,6,4683.475
0-1-2-7,7,4810.825
0-1-3-4,0,5230.450000000001
0-1-3-4,1,7180.349999999999
0-1-3-4,2,6234.05
0-1-3-4,3,6670.825000000001
0-1-3-4,4,7529.125
0-1-3-4,5,5342.35
0-1-3-4,6,3829.625
0-1-3-4,7,3939.075
0-1-3-5,0,4711.175
0-1-3-5,1,6285.475
0-1-3-5,2,5999.5
0-1-3-5,3,6742.075
0-1-3-5,4,7070.5
0-1-3-5,5,6597.200000000001
0-1-3-5,6,4688.025
0-1-3-5,7,4776.2
0-1-3-6,0,5260.849999999999
0-1-3-6,1,5028.45
0-1-3-6,2,6220.900000000001
0-1-3-6,3,6580.150000000001
0-1-3-6,4,6841.75
0-1-3-6,5,5217.825000000001
0-1-3-6,6,4504.65
0-1-3-6,7,4396.725
0-1-3-7,0,5960.475
0-1-3-7,1,7194.9
0-1-3-7,2,6225.025
0-1-3-7,3,6558.275
0-1-3-7,4,5601.325
0-1-3-7,5,6110.925
0-1-3-7,6,4510.525
0-1-3-7,7,4792.375
0-1-4-5,0,4972.025
0-1-4-5,1,4296.825
0-1-4-5,2,6468.625
0-1-4-5,3,6412.825
0-1-4-5,4,7589.799999999999
0-1-4-5,5,5472.3
0-1-4-5,6,4788.849999999999
0-1-4-5,7,3792.3250000000003
0-1-4-6,0,7380.575
0-1-4-6,1,5527.0
0-1-4-6,2,6465.775
0-1-4-6,3,6129.325000000001
0-1-4-6,4,7264.625
0-1-4-6,5,5031.950000000001
0-1-4-6,6,4601.5
0-1-4-6,7,4419.375
0-1-4-7,0,6568.299999999999
0-1-4-7,1,7372.950000000001
0-1-4-7,2,6127.225
0-1-4-7,3,6119.150000000001
0-1-4-7,4,6088.75
0-1-4-7,5,5263.625
0-1-4-7,6,4689.95
0-1-4-7,7,4289.75
0-1-5-6,0,6907.45
0-1-5-6,1,5367.075
0-1-5-6,2,6439.175
0-1-5-6,3,6138.35
0-1-5-6,4,6887.75
0-1-5-6,5,5580.725
0-1-5-6,6,4850.725
0-1-5-6,7,4700.3
0-1-5-7,0,5660.225
0-1-5-7,1,6111.075
0-1-5-7,2,6730.174999999999
0-1-5-7,3,6161.575
0-1-5-7,4,5425.150000000001
0-1-5-7,5,6582.85
0-1-5-7,6,4881.875
0-1-5-7,7,4802.8
0-1-6-7,0,6077.975
0-1-6-7,1,4954.725
0-1-6-7,2,6433.200000000001
0-1-6-7,3,5635.075
0-1-6-7,4,4072.2749999999996
0-1-6-7,5,3725.8
0-1-6-7,6,4637.125
0-1-6-7,7,4308.6
0-2-3-4,0,4515.325
0-2-3-4,1,4699.275
0-2-3-4,2,7694.1
0-2-3-4,3,7413.35
0-2-3-4,4,7527.0
0-2-3-4,5,5439.875
0-2-3-4,6,4759.8
0-2-3-4,7,4813.925
0-2-3-5,0,4442.65
0-2-3-5,1,4542.5
0-2-3-5,2,7872.15
0-2-3-5,3,5948.724999999999
0-2-3-5,4,7091.825
0-2-3-5,5,6971.525
0-2-3-5,6,4181.7
0-2-3-5,7,4236.85
0-2-3-6,0,4464.3
0-2-3-6,1,4274.025
0-2-3-6,2,7670.0
0-2-3-6,3,6204.825000000001
0-2-3-6,4,6527.9
0-2-3-6,5,5520.95
0-2-3-6,6,4592.799999999999
0-2-3-6,7,4695.4
0-2-3-7,0,4618.475
0-2-3-7,1,4674.849999999999
0-2-3-7,2,7936.525
0-2-3-7,3,6669.1
0-2-3-7,4,5612.950000000001
0-2-3-7,5,6473.5
0-2-3-7,6,4372.174999999999
0-2-3-7,7,4300.5
0-2-4-5,0,4701.675
0-2-4-5,1,4327.799999999999
0-2-4-5,2,7603.825000000001
0-2-4-5,3,5918.124999999999
0-2-4-5,4,7629.75
0-2-4-5,5,5731.575
0-2-4-5,6,6447.65
0-2-4-5,7,4795.375
0-2-4-6,0,7154.075
0-2-4-6,1,5048.2
0-2-4-6,2,7564.775000000001
0-2-4-6,3,6000.1
0-2-4-6,4,7284.9
0-2-4-6,5,5548.15
0-2-4-6,6,7268.549999999999
0-2-4-6,7,5033.275
0-2-4-7,0,7071.55
0-2-4-7,1,5518.025
0-2-4-7,2,7514.875
0-2-4-7,3,5925.375
0-2-4-7,4,6103.775000000001
0-2-4-7,5,5428.8
0-2-4-7,6,6949.9
0-2-4-7,7,5367.75
0-2-5-6,0,6431.425
0-2-5-6,1,4469.8
0-2-5-6,2,7599.725
0-2-5-6,3,6049.85
0-2-5-6,4,6912.25
0-2-5-6,5,5922.8
0-2-5-6,6,7108.874999999999
0-2-5-6,7,4815.075
0-2-5-7,0,6628.700000000001
0-2-5-7,1,5352.025
0-2-5-7,2,7901.875
0-2-5-7,3,6095.875000000001
0-2-5-7,4,5442.325
0-2-5-7,5,6668.400000000001
0-2-5-7,6,6252.650000000001
0-2-5-7,7,6391.449999999999
0-2-6-7,0,6972.7
0-2-6-7,1,4712.675
0-2-6-7,2,7533.450000000001
0-2-6-7,3,5404.85
0-2-6-7,4,4081.225
0-2-6-7,5,4099.35
0-2-6-7,6,7450.500000000001
0-2-6-7,7,5167.875
0-3-4-5,0,4275.5
0-3-4-5,1,4573.7
0-3-4-5,2,6990.225
0-3-4-5,3,6700.700000000001
0-3-4-5,4,7662.025
0-3-4-5,5,6735.875
0-3-4-5,6,5702.300000000001
0-3-4-5,7,4658.675
0-3-4-6,0,6029.4
0-3-4-6,1,4687.65
0-3-4-6,2,7102.0
0-3-4-6,3,6719.35
0-3-4-6,4,7239.775
0-3-4-6,5,5204.799999999999
0-3-4-6,6,6530.875000000001
0-3-4-6,7,4199.675
0-3-4-7,0,6064.7
0-3-4-7,1,6903.849999999999
0-3-4-7,2,7094.424999999999
0-3-4-7,3,6694.8
0-3-4-7,4,5993.975
0-3-4-7,5,6399.925000000001
0-3-4-7,6,6107.2
0-3-4-7,7,4852.425
0-3-5-6,0,5548.449999999999
0-3-5-6,1,4471.45
0-3-5-6,2,6954.424999999999
0-3-5-6,3,6783.425
0-3-5-6,4,6905.8
0-3-5-6,5,6336.675
0-3-5-6,6,6685.425
0-3-5-6,7,4506.225
0-3-5-7,0,5563.275
0-3-5-7,1,6149.674999999999
0-3-5-7,2,7293.75
0-3-5-7,3,6796.15
0-3-5-7,4,5463.5
0-3-5-7,5,6874.75
0-3-5-7,6,5870.675
0-3-5-7,7,6323.375
0-3-6-7,0,5876.975
0-3-6-7,1,4661.700000000001
0-3-6-7,2,7098.325
0-3-6-7,3,6136.375
0-3-6-7,4,4072.425
0-3-6-7,5,4353.375
0-3-6-7,6,6952.75
0-3-6-7,7,4594.700000000001
0-4-5-6,0,4666.4
0-4-5-6,1,4396.125
0-4-5-6,2,7011.150000000001
0-4-5-6,3,6198.125
0-4-5-6,4,7413.275
0-4-5-6,5,5733.1
0-4-5-6,6,6991.9
0-4-5-6,7,4748.6
0-4-5-7,0,4811.975
0-4-5-7,1,4408.075000000001
0-4-5-7,2,6598.5
0-4-5-7,3,6207.95
0-4-5-7,4,5516.425
0-4-5-7,5,6703.225
0-4-5-7,6,5981.675
0-4-5-7,7,4412.825
0-4-6-7,0,6308.075
0-4-6-7,1,4599.375
0-4-6-7,2,6931.325
0-4-6-7,3,5673.075000000001
0-4-6-7,4,4491.275
0-4-6-7,5,4570.975
0-4-6-7,6,7432.099999999999
0-4-6-7,7,5484.125
0-5-6-7,0,6013.349999999999
0-5-6-7,1,4477.025
0-5-6-7,2,7005.65
0-5-6-7,3,5756.625
0-5-6-7,4,4653.825
0-5-6-7,5,4938.15
0-5-6-7,6,6444.2
0-5-6-7,7,5795.400000000001
1-2-3-4,0,4675.825000000001
1-2-3-4,1,4134.299999999999
1-2-3-4,2,6284.475
1-2-3-4,3,7425.975
1-2-3-4,4,7492.825000000001
1-2-3-4,5,5448.45
1-2-3-4,6,3680.0249999999996
1-2-3-4,7,4242.65
1-2-3-5,0,4529.4
1-2-3-5,1,3903.425
1-2-3-5,2,6913.449999999999
1-2-3-5,3,7418.3
1-2-3-5,4,7086.5
1-2-3-5,5,6973.799999999999
1-2-3-5,6,4347.125
1-2-3-5,7,4779.975
1-2-3-6,0,4673.299999999999
1-2-3-6,1,3943.0
1-2-3-6,2,6167.6
1-2-3-6,3,6764.325000000001
1-2-3-6,4,6866.875
1-2-3-6,5,5530.45
1-2-3-6,6,4308.85
1-2-3-6,7,5036.299999999999
1-2-3-7,0,4517.549999999999
1-2-3-7,1,4128.375
1-2-3-7,2,6532.45
1-2-3-7,3,7424.475
1-2-3-7,4,5643.875
1-2-3-7,5,6479.775
1-2-3-7,6,4209.075
1-2-3-7,7,4762.975
1-2-4-5,0,4336.150000000001
1-2-4-5,1,3799.85
1-2-4-5,2,7315.125
1-2-4-5,3,6931.450000000001
1-2-4-5,4,7606.175
1-2-4-5,5,6089.674999999999
1-2-4-5,6,6136.299999999999
1-2-4-5,7,4739.65
1-2-4-6,0,6889.1
1-2-4-6,1,5710.7
1-2-4-6,2,7188.65
1-2-4-6,3,6397.950000000001
1-2-4-6,4,7202.525
1-2-4-6,5,5486.875
1-2-4-6,6,6139.425
1-2-4-6,7,4641.5
1-2-4-7,0,6019.875
1-2-4-7,1,5800.625
1-2-4-7,2,7200.349999999999
1-2-4-7,3,6410.150000000001
1-2-4-7,4,6107.875
1-2-4-7,5,5420.675
1-2-4-7,6,5521.275
1-2-4-7,7,6366.599999999999
1-2-5-6,0,6055.85
1-2-5-6,1,5463.05
1-2-5-6,2,7475.099999999999
1-2-5-6,3,5436.725
1-2-5-6,4,6932.775
1-2-5-6,5,5963.700000000001
1-2-5-6,6,6160.875
1-2-5-6,7,6907.549999999999
1-2-5-7,0,5682.200000000001
1-2-5-7,1,5123.35
1-2-5-7,2,7340.724999999999
1-2-5-7,3,5880.75
1-2-5-7,4,5492.125
1-2-5-7,5,6665.5
1-2-5-7,6,5658.549999999999
1-2-5-7,7,7054.200000000001
1-2-6-7,0,5982.549999999999
1-2-6-7,1,4484.175
1-2-6-7,2,7190.549999999999
1-2-6-7,3,5318.125
1-2-6-7,4,4086.375
1-2-6-7,5,4120.650000000001
1-2-6-7,6,5125.200000000001
1-2-6-7,7,7209.35
1-3-4-5,0,4185.75
1-3-4-5,1,4364.3
1-3-4-5,2,6030.6
1-3-4-5,3,7183.0
1-3-4-5,4,7618.975
1-3-4-5,5,6758.875
1-3-4-5,6,5786.75
1-3-4-5,7,4724.875
1-3-4-6,0,5582.3
1-3-4-6,1,6478.25
1-3-4-6,2,6769.25
1-3-4-6,3,6928.225
1-3-4-6,4,7276.375
1-3-4-6,5,5127.45
1-3-4-6,6,5583.45
