processor,node,bw
0-1-2-3,0,14736.48
0-1-2-3,1,14800.480000000003
0-1-2-3,2,21046.56
0-1-2-3,3,19704.320000000003
0-1-2-3,4,22175.600000000002
0-1-2-3,5,17960.719999999998
0-1-2-3,6,9110.240000000002
0-1-2-3,7,10771.92
0-1-2-4,0,23618.240000000005
0-1-2-4,1,17962.559999999998
0-1-2-4,2,21258.72
0-1-2-4,3,19849.600000000002
0-1-2-4,4,23953.68
0-1-2-4,5,16966.4
0-1-2-4,6,13185.6
0-1-2-4,7,12589.68
0-1-2-5,0,22078.64
0-1-2-5,1,17224.88
0-1-2-5,2,22844.880000000005
0-1-2-5,3,18992.320000000003
0-1-2-5,4,22656.08
0-1-2-5,5,19499.600000000002
0-1-2-5,6,15371.6
0-1-2-5,7,15335.2
0-1-2-6,0,23649.12
0-1-2-6,1,17235.84
0-1-2-6,2,21158.320000000003
0-1-2-6,3,20350.640000000003
0-1-2-6,4,21887.920000000002
0-1-2-6,5,16972.0
0-1-2-6,6,14685.6
0-1-2-6,7,15255.2
0-1-2-7,0,20428.0
0-1-2-7,1,18321.2
0-1-2-7,2,21878.16
0-1-2-7,3,20326.88
0-1-2-7,4,18008.079999999998
0-1-2-7,5,17802.559999999998
0-1-2-7,6,14987.120000000003
0-1-2-7,7,15394.64
0-1-3-4,0,16737.440000000002
0-1-3-4,1,22977.12
0-1-3-4,2,19948.960000000003
0-1-3-4,3,21346.640000000003
0-1-3-4,4,24093.2
0-1-3-4,5,17095.52
0-1-3-4,6,12254.800000000001
0-1-3-4,7,12605.04
0-1-3-5,0,15075.760000000002
0-1-3-5,1,20113.520000000004
0-1-3-5,2,19198.4
0-1-3-5,3,21574.64
0-1-3-5,4,22625.600000000002
0-1-3-5,5,21111.040000000005
0-1-3-5,6,15001.68
0-1-3-5,7,15283.84
0-1-3-6,0,16834.719999999998
0-1-3-6,1,16091.04
0-1-3-6,2,19906.880000000005
0-1-3-6,3,21056.480000000003
0-1-3-6,4,21893.600000000002
0-1-3-6,5,16697.040000000005
0-1-3-6,6,14414.88
0-1-3-6,7,14069.520000000002
0-1-3-7,0,19073.52
0-1-3-7,1,23023.68
0-1-3-7,2,19920.08
0-1-3-7,3,20986.48
0-1-3-7,4,17924.24
