socket,node,bw
0-1-2-3,0,4586.55
0-1-2-3,1,4639.3
0-1-2-3,2,6534.05
0-1-2-3,3,6132.9
0-1-2-3,4,6884.924999999999
0-1-2-3,5,5581.925000000001
0-1-2-3,6,2805.175
0-1-2-3,7,3348.0
0-1-2-4,0,7321.875
0-1-2-4,1,5714.575000000001
0-1-2-4,2,6630.025
0-1-2-4,3,6201.625
0-1-2-4,4,7441.625
0-1-2-4,5,5325.275
0-1-2-4,6,4105.675
0-1-2-4,7,3916.325
0-1-2-5,0,6850.650000000001
0-1-2-5,1,5418.675
0-1-2-5,2,7090.6
0-1-2-5,3,6028.1
0-1-2-5,4,6692.8
0-1-2-5,5,6077.0
0-1-2-5,6,4788.25
0-1-2-5,7,4779.25
0-1-2-6,0,7329.075
0-1-2-6,1,5387.25
0-1-2-6,2,6569.925
0-1-2-6,3,6364.025000000001
0-1-2-6,4,6821.125
0-1-2-6,5,5295.45
0-1-2-6,6,4576.674999999999
0-1-2-6,7,4760.25
0-1-2-7,0,6577.85
0-1-2-7,1,5729.299999999999
0-1-2-7,2,6792.425
0-1-2-7,3,6362.75
0-1-2-7,4,5639.175
0-1-2-7,5,5573.65
0-1-2-7,6,4661.35
0-1-2-7,7,4798.3
0-1-3-4,0,5526.9
0-1-3-4,1,7148.225
0-1-3-4,2,6229.25
0-1-3-4,3,6666.75
0-1-3-4,4,7481.1
0-1-3-4,5,5318.625
0-1-3-4,6,3833.975
0-1-3-4,7,3926.5
0-1-3-5,0,4757.725
0-1-3-5,1,6271.75
0-1-3-5,2,5981.95
0-1-3-5,3,6745.150000000001
0-1-3-5,4,7023.875000000001
0-1-3-5,5,6586.9
0-1-3-5,6,4701.55
0-1-3-5,7,4792.700000000001
0-1-3-6,0,5233.625
0-1-3-6,1,5010.0
0-1-3-6,2,6205.45
0-1-3-6,3,6579.275
0-1-3-6,4,6811.625
0-1-3-6,5,5214.4
0-1-3-6,6,4498.45
0-1-3-6,7,4405.2
0-1-3-7,0,5759.5
0-1-3-7,1,7167.575
0-1-3-7,2,6216.775
0-1-3-7,3,6585.75
0-1-3-7,4,5619.725
0-1-3-7,5,6109.200000000001
0-1-3-7,6,4497.5
0-1-3-7,7,4781.425
0-1-4-5,0,5103.9
0-1-4-5,1,4505.975
0-1-4-5,2,6437.625
0-1-4-5,3,6407.7
0-1-4-5,4,7552.150000000001
0-1-4-5,5,5508.875
0-1-4-5,6,4779.900000000001
0-1-4-5,7,3780.85
0-1-4-6,0,7538.75
0-1-4-6,1,5685.375
0-1-4-6,2,6424.875
0-1-4-6,3,6116.6
0-1-4-6,4,7219.175000000001
0-1-4-6,5,5009.7
0-1-4-6,6,4569.025
0-1-4-6,7,4395.25
0-1-4-7,0,6519.4
0-1-4-7,1,7335.525
0-1-4-7,2,6422.3
0-1-4-7,3,6122.05
0-1-4-7,4,6068.325
0-1-4-7,5,5279.6
0-1-4-7,6,4656.9
0-1-4-7,7,4302.174999999999
0-1-5-6,0,6691.2
0-1-5-6,1,5391.05
0-1-5-6,2,6399.05
0-1-5-6,3,6137.65
0-1-5-6,4,6852.225
0-1-5-6,5,5579.025
0-1-5-6,6,4811.025
0-1-5-6,7,4668.85
0-1-5-7,0,5667.025000000001
0-1-5-7,1,6065.975
0-1-5-7,2,6705.9
0-1-5-7,3,6152.625000000001
0-1-5-7,4,5425.025000000001
0-1-5-7,5,6559.275
0-1-5-7,6,4863.3
0-1-5-7,7,4815.349999999999
0-1-6-7,0,6643.075
0-1-6-7,1,4433.275000000001
0-1-6-7,2,6405.125
0-1-6-7,3,5372.775
0-1-6-7,4,4071.4
0-1-6-7,5,3710.625
0-1-6-7,6,4620.75
0-1-6-7,7,4290.175
0-2-3-4,0,4738.65
0-2-3-4,1,4693.625
0-2-3-4,2,7647.200000000001
0-2-3-4,3,7439.875
0-2-3-4,4,7502.525
0-2-3-4,5,5219.125
0-2-3-4,6,4202.8
0-2-3-4,7,4794.075
0-2-3-5,0,4881.35
0-2-3-5,1,4531.7
0-2-3-5,2,7828.275
0-2-3-5,3,6357.700000000001
0-2-3-5,4,7056.549999999999
0-2-3-5,5,6958.525
0-2-3-5,6,4171.424999999999
0-2-3-5,7,4263.0
0-2-3-6,0,4495.025
0-2-3-6,1,4287.025
0-2-3-6,2,7616.275
0-2-3-6,3,6681.65
0-2-3-6,4,6835.85
0-2-3-6,5,5516.35
0-2-3-6,6,4768.25
0-2-3-6,7,4374.05
0-2-3-7,0,4640.175
0-2-3-7,1,4703.674999999999
0-2-3-7,2,7900.224999999999
0-2-3-7,3,6673.849999999999
0-2-3-7,4,5598.924999999999
0-2-3-7,5,6453.975
0-2-3-7,6,4533.75
0-2-3-7,7,4501.95
0-2-4-5,0,4483.35
0-2-4-5,1,4319.225
0-2-4-5,2,7589.225
0-2-4-5,3,5932.475
0-2-4-5,4,7576.5
0-2-4-5,5,6047.099999999999
0-2-4-5,6,6412.15
0-2-4-5,7,4772.9
0-2-4-6,0,7118.849999999999
0-2-4-6,1,5054.45
0-2-4-6,2,7510.525
0-2-4-6,3,6350.375
0-2-4-6,4,7249.625
0-2-4-6,5,5476.975
0-2-4-6,6,7232.3
0-2-4-6,7,5063.925
0-2-4-7,0,7029.325000000001
0-2-4-7,1,5524.549999999999
0-2-4-7,2,7470.875
0-2-4-7,3,6346.55
0-2-4-7,4,6061.225
0-2-4-7,5,5161.875
0-2-4-7,6,6919.2
0-2-4-7,7,5457.925
0-2-5-6,0,6414.200000000001
0-2-5-6,1,4702.95
0-2-5-6,2,7406.675
0-2-5-6,3,6073.625000000001
0-2-5-6,4,6882.349999999999
0-2-5-6,5,5934.424999999999
0-2-5-6,6,7082.675
0-2-5-6,7,4806.9
0-2-5-7,0,6613.4
0-2-5-7,1,5357.15
0-2-5-7,2,7833.150000000001
0-2-5-7,3,6088.875
0-2-5-7,4,5160.575000000001
0-2-5-7,5,6636.975
0-2-5-7,6,5751.674999999999
0-2-5-7,7,6397.200000000001
0-2-6-7,0,6929.175
0-2-6-7,1,4706.325000000001
0-2-6-7,2,6980.75
0-2-6-7,3,5393.275
0-2-6-7,4,4058.8
0-2-6-7,5,4088.0249999999996
0-2-6-7,6,7386.525
0-2-6-7,7,5182.95
0-3-4-5,0,4096.275
0-3-4-5,1,4561.825000000001
0-3-4-5,2,6952.775
0-3-4-5,3,6707.4
0-3-4-5,4,7607.675
0-3-4-5,5,6444.375
0-3-4-5,6,5657.025000000001
0-3-4-5,7,4676.700000000001
0-3-4-6,0,6027.375
0-3-4-6,1,4661.15
0-3-4-6,2,7049.550000000001
0-3-4-6,3,6715.325000000001
0-3-4-6,4,7207.925
0-3-4-6,5,5425.475
0-3-4-6,6,6484.324999999999
0-3-4-6,7,4206.0
0-3-4-7,0,5880.2
0-3-4-7,1,6879.8
0-3-4-7,2,7061.175
0-3-4-7,3,6711.0
0-3-4-7,4,5973.049999999999
0-3-4-7,5,6385.924999999999
0-3-4-7,6,6089.75
0-3-4-7,7,5032.25
0-3-5-6,0,5552.675
0-3-5-6,1,4454.875
0-3-5-6,2,6903.500000000001
0-3-5-6,3,6785.325000000001
0-3-5-6,4,6861.599999999999
0-3-5-6,5,6339.575000000001
0-3-5-6,6,6661.125
