processor,node,bw
0-1-2-3,1,28470.800000000003
0-1-2-3,2,26353.040000000005
0-1-2-3,3,26351.76
0-1-2-3,4,29724.320000000003
0-1-2-3,5,30531.76
0-1-2-3,6,18854.88
0-1-2-3,7,21145.120000000003
0-1-2-4,1,36171.36
0-1-2-4,2,37127.36
0-1-2-4,3,48446.0
0-1-2-4,4,46101.68
0-1-2-4,5,34347.44
0-1-2-4,6,26827.040000000005
0-1-2-4,7,25550.640000000003
0-1-2-5,1,35815.92
0-1-2-5,2,38008.08
0-1-2-5,3,47675.67999999999
0-1-2-5,4,36767.44
0-1-2-5,5,34969.76
0-1-2-5,6,29553.519999999997
0-1-2-5,7,28837.2
0-1-2-6,1,31444.08
0-1-2-6,2,36394.08
0-1-2-6,3,41170.72
0-1-2-6,4,50260.240000000005
0-1-2-6,5,37384.8
0-1-2-6,6,26993.840000000004
0-1-2-6,7,30181.2
0-1-2-7,1,34095.44
0-1-2-7,2,36391.44
0-1-2-7,3,40858.16
0-1-2-7,4,41873.200000000004
0-1-2-7,5,43643.12
0-1-2-7,6,29456.0
0-1-2-7,7,27389.360000000004
0-1-3-4,1,35896.240000000005
0-1-3-4,2,40075.76
0-1-3-4,3,36447.6
0-1-3-4,4,33894.96000000001
0-1-3-4,5,35495.200000000004
0-1-3-4,6,24982.800000000003
0-1-3-4,7,25079.36
0-1-3-5,1,34288.72
0-1-3-5,2,37162.4
0-1-3-5,3,38402.48
0-1-3-5,4,31291.28
0-1-3-5,5,33359.920000000006
0-1-3-5,6,29061.600000000002
0-1-3-5,7,27256.559999999998
0-1-3-6,1,33394.8
0-1-3-6,2,38722.159999999996
0-1-3-6,3,37798.96
0-1-3-6,4,43579.600000000006
0-1-3-6,5,39201.36
0-1-3-6,6,26214.4
0-1-3-6,7,29171.519999999997
0-1-3-7,1,30214.72
0-1-3-7,2,34622.0
0-1-3-7,3,32507.280000000006
0-1-3-7,4,38648.159999999996
0-1-3-7,5,43347.28
0-1-3-7,6,29284.320000000003
0-1-3-7,7,25918.64
0-1-4-5,1,24938.72
0-1-4-5,2,31818.0
0-1-4-5,3,29583.92
0-1-4-5,4,24884.0
0-1-4-5,5,25543.440000000002
0-1-4-5,6,26567.440000000002
0-1-4-5,7,24522.96
0-1-4-6,1,35684.56
0-1-4-6,2,43104.0
0-1-4-6,3,47648.48
0-1-4-6,4,49180.56
0-1-4-6,5,31437.680000000008
0-1-4-6,6,27044.48
0-1-4-6,7,26918.4
0-1-4-7,1,38962.159999999996
0-1-4-7,2,42428.0
0-1-4-7,3,45248.880000000005
0-1-4-7,4,41124.72
0-1-4-7,5,34999.44
0-1-4-7,6,29648.72
0-1-4-7,7,25601.76
0-1-5-6,1,32780.32
0-1-5-6,2,43922.0
0-1-5-6,3,44439.04000000001
0-1-5-6,4,39280.08
0-1-5-6,5,34296.56
0-1-5-6,6,26547.2
0-1-5-6,7,30409.840000000004
0-1-5-7,1,33913.28
0-1-5-7,2,40697.76
0-1-5-7,3,40368.08
0-1-5-7,4,30620.48
0-1-5-7,5,33417.04
0-1-5-7,6,27560.640000000003
0-1-5-7,7,24794.0
0-1-6-7,1,27470.72
0-1-6-7,2,39620.08
0-1-6-7,3,38045.840000000004
0-1-6-7,4,27112.0
0-1-6-7,5,25477.2
0-1-6-7,6,25502.32
0-1-6-7,7,26304.240000000005
0-2-3-4,1,26560.88
0-2-3-4,2,26671.68
0-2-3-4,3,28478.320000000003
0-2-3-4,4,29973.68
0-2-3-4,5,29882.560000000005
0-2-3-4,6,27286.719999999998
0-2-3-4,7,24176.96
0-2-3-5,1,28924.240000000005
0-2-3-5,2,26373.92000000001
0-2-3-5,3,26170.320000000003
0-2-3-5,4,28474.480000000007
0-2-3-5,5,28805.440000000002
0-2-3-5,6,29891.040000000005
0-2-3-5,7,28953.36
0-2-3-6,1,24930.320000000003
0-2-3-6,2,26630.240000000005
0-2-3-6,3,26263.440000000002
0-2-3-6,4,29346.559999999998
0-2-3-6,5,29200.96
0-2-3-6,6,25596.240000000005
0-2-3-6,7,28355.92
0-2-3-7,1,26758.4
0-2-3-7,2,24766.24
0-2-3-7,3,23606.56
0-2-3-7,4,25710.320000000003
0-2-3-7,5,26746.080000000005
0-2-3-7,6,30483.68
0-2-3-7,7,24811.84
0-2-4-5,1,29178.640000000003
0-2-4-5,2,27188.320000000003
0-2-4-5,3,26912.4
0-2-4-5,4,25858.08
0-2-4-5,5,25858.16
0-2-4-5,6,28438.719999999998
0-2-4-5,7,29195.92
0-2-4-6,1,36648.48
0-2-4-6,2,44522.96
0-2-4-6,3,41477.36
0-2-4-6,4,45432.880000000005
0-2-4-6,5,38436.64000000001
0-2-4-6,6,43422.880000000005
0-2-4-6,7,33670.8
0-2-4-7,1,42193.04000000001
0-2-4-7,2,50076.56
0-2-4-7,3,44626.72
0-2-4-7,4,45443.36000000001
0-2-4-7,5,43591.04000000001
0-2-4-7,6,50995.920000000006
0-2-4-7,7,35663.200000000004
0-2-5-6,1,30489.040000000005
0-2-5-6,2,40352.880000000005
0-2-5-6,3,39018.240000000005
0-2-5-6,4,39117.44
0-2-5-6,5,38072.8
0-2-5-6,6,44114.48000000001
0-2-5-6,7,45389.12
0-2-5-7,1,36719.76
0-2-5-7,2,44920.72
0-2-5-7,3,43140.240000000005
0-2-5-7,4,35070.88
0-2-5-7,5,39935.920000000006
0-2-5-7,6,36564.08000000001
0-2-5-7,7,34939.520000000004
0-2-6-7,1,29329.120000000003
0-2-6-7,2,46380.4
0-2-6-7,3,34164.32
0-2-6-7,4,26881.600000000002
0-2-6-7,5,28221.28
0-2-6-7,6,38906.96
0-2-6-7,7,38038.880000000005
0-3-4-5,1,28603.2
0-3-4-5,2,24324.000000000004
0-3-4-5,3,23351.600000000002
0-3-4-5,4,24042.239999999998
0-3-4-5,5,25249.2
0-3-4-5,6,32236.800000000003
0-3-4-5,7,29106.559999999998
0-3-4-6,1,36445.28
0-3-4-6,2,36238.560000000005
0-3-4-6,3,35927.44
0-3-4-6,4,41790.16
0-3-4-6,5,38493.840000000004
0-3-4-6,6,40620.16
0-3-4-6,7,31447.920000000002
0-3-4-7,1,37792.159999999996
0-3-4-7,2,36950.079999999994
0-3-4-7,3,36997.12
0-3-4-7,4,39472.4
0-3-4-7,5,43974.16
0-3-4-7,6,44518.72
0-3-4-7,7,34076.159999999996
0-3-5-6,1,32573.840000000004
0-3-5-6,2,34798.08000000001
0-3-5-6,3,33582.4
0-3-5-6,4,36135.600000000006
0-3-5-6,5,35235.119999999995
0-3-5-6,6,38077.76
0-3-5-6,7,37031.280000000006
0-3-5-7,1,36141.920000000006
0-3-5-7,2,35132.719999999994
0-3-5-7,3,34338.96
0-3-5-7,4,31262.559999999998
0-3-5-7,5,29761.119999999995
0-3-5-7,6,35219.92
0-3-5-7,7,34016.159999999996
0-3-6-7,1,29474.0
0-3-6-7,2,36597.280000000006
0-3-6-7,3,33687.76
0-3-6-7,4,25791.36
0-3-6-7,5,29189.600000000002
0-3-6-7,6,35845.6
0-3-6-7,7,36675.04
0-4-5-6,1,23902.800000000003
0-4-5-6,2,30012.4
0-4-5-6,3,28900.320000000003
0-4-5-6,4,25329.2
0-4-5-6,5,25382.08
0-4-5-6,6,29332.319999999996
0-4-5-6,7,28342.239999999998
0-4-5-7,1,29704.320000000003
0-4-5-7,2,29686.240000000005
0-4-5-7,3,29234.480000000007
0-4-5-7,4,22217.440000000002
0-4-5-7,5,25827.760000000006
0-4-5-7,6,28683.840000000004
0-4-5-7,7,28717.920000000002
0-4-6-7,1,29447.039999999997
0-4-6-7,2,46782.560000000005
0-4-6-7,3,42982.8
0-4-6-7,4,29715.680000000008
0-4-6-7,5,28976.16
0-4-6-7,6,36967.36
0-4-6-7,7,31394.079999999994
0-5-6-7,1,29868.160000000003
0-5-6-7,2,43346.4
0-5-6-7,3,42311.840000000004
0-5-6-7,4,26790.72
0-5-6-7,5,29839.520000000004
0-5-6-7,6,33710.64000000001
0-5-6-7,7,34304.240000000005
1-2-3-4,1,25617.600000000002
1-2-3-4,2,28631.840000000004
1-2-3-4,3,30065.040000000005
1-2-3-4,4,29419.440000000002
1-2-3-4,5,29811.120000000003
1-2-3-4,6,23691.12
1-2-3-4,7,26412.08
1-2-3-5,1,24075.040000000005
1-2-3-5,2,27426.319999999996
1-2-3-5,3,28636.88
1-2-3-5,4,28183.680000000008
1-2-3-5,5,28434.800000000003
1-2-3-5,6,25911.12
1-2-3-5,7,25518.08
1-2-3-6,1,26170.88
1-2-3-6,2,29413.44
1-2-3-6,3,29872.719999999998
1-2-3-6,4,29620.480000000007
1-2-3-6,5,30474.240000000005
1-2-3-6,6,22121.440000000002
1-2-3-6,7,29264.16
1-2-3-7,1,25471.440000000002
1-2-3-7,2,26199.520000000004
1-2-3-7,3,27037.36
1-2-3-7,4,25239.520000000004
1-2-3-7,5,26244.080000000005
1-2-3-7,6,28056.0
1-2-3-7,7,25464.64
1-2-4-5,1,24026.559999999998
1-2-4-5,2,28632.4
1-2-4-5,3,27640.240000000005
1-2-4-5,4,28236.559999999998
1-2-4-5,5,28781.440000000002
1-2-4-5,6,28768.72
1-2-4-5,7,26300.0
1-2-4-6,1,35353.12000000001
1-2-4-6,2,48674.0
1-2-4-6,3,49818.64000000001
1-2-4-6,4,53791.92
1-2-4-6,5,40984.32000000001
1-2-4-6,6,36515.6
1-2-4-6,7,39647.68000000001
1-2-4-7,1,34112.64000000001
1-2-4-7,2,44181.28
1-2-4-7,3,46052.8
1-2-4-7,4,40884.240000000005
1-2-4-7,5,46667.04
1-2-4-7,6,44381.36
1-2-4-7,7,43841.12000000001
1-2-5-6,1,33604.08
1-2-5-6,2,44767.119999999995
1-2-5-6,3,44669.280000000006
1-2-5-6,4,45882.880000000005
1-2-5-6,5,43432.72
1-2-5-6,6,38223.04
1-2-5-6,7,46325.280000000006
1-2-5-7,1,32289.920000000002
1-2-5-7,2,38100.48
1-2-5-7,3,34473.439999999995
1-2-5-7,4,34067.920000000006
1-2-5-7,5,36733.36
1-2-5-7,6,40315.520000000004
1-2-5-7,7,43035.600000000006
1-2-6-7,1,27710.88
1-2-6-7,2,40673.12
1-2-6-7,3,34646.48
1-2-6-7,4,27378.0
1-2-6-7,5,27917.68
1-2-6-7,6,41025.92
1-2-6-7,7,44674.4
1-3-4-5,1,23403.76
1-3-4-5,2,27914.559999999998
1-3-4-5,3,25925.920000000002
1-3-4-5,4,27340.48
1-3-4-5,5,28383.76
1-3-4-5,6,28874.160000000003
1-3-4-5,7,25496.800000000003
1-3-4-6,1,40111.68000000001
1-3-4-6,2,46247.44
1-3-4-6,3,45810.96
1-3-4-6,4,46656.96
1-3-4-6,5,43319.920000000006
1-3-4-6,6,33772.159999999996
1-3-4-6,7,35992.48
1-3-4-7,1,34805.76
1-3-4-7,2,39050.64
1-3-4-7,3,39463.36
1-3-4-7,4,35245.36000000001
1-3-4-7,5,39167.520000000004
1-3-4-7,6,42966.32000000001
1-3-4-7,7,41478.8
1-3-5-6,1,35880.240000000005
1-3-5-6,2,43487.840000000004
1-3-5-6,3,42837.68
1-3-5-6,4,41396.08
1-3-5-6,5,40482.88
1-3-5-6,6,36678.24
1-3-5-6,7,41242.0
1-3-5-7,1,29939.2
1-3-5-7,2,33214.64000000001
1-3-5-7,3,33443.920000000006
1-3-5-7,4,29459.68
1-3-5-7,5,30569.120000000003
1-3-5-7,6,37733.52000000001
1-3-5-7,7,35545.76
1-3-6-7,1,27881.040000000005
1-3-6-7,2,39679.600000000006
1-3-6-7,3,38937.520000000004
1-3-6-7,4,26430.480000000007
1-3-6-7,5,28772.88
1-3-6-7,6,38465.68
1-3-6-7,7,40987.76000000001
1-4-5-6,1,22901.76
1-4-5-6,2,29518.719999999998
1-4-5-6,3,28125.920000000002
1-4-5-6,4,29294.800000000003
1-4-5-6,5,28938.88
1-4-5-6,6,29985.2
1-4-5-6,7,27800.320000000003
1-4-5-7,1,28592.96
1-4-5-7,2,29158.48
1-4-5-7,3,29361.920000000002
1-4-5-7,4,23732.4
1-4-5-7,5,29010.16
1-4-5-7,6,30128.16
1-4-5-7,7,24755.68
1-4-6-7,1,28538.72000000001
1-4-6-7,2,47749.52000000001
1-4-6-7,3,47819.840000000004
1-4-6-7,4,30469.36
1-4-6-7,5,29368.319999999996
1-4-6-7,6,41069.28
1-4-6-7,7,41897.36
1-5-6-7,1,26527.68
1-5-6-7,2,44509.52
1-5-6-7,3,44383.92000000001
1-5-6-7,4,29481.119999999995
1-5-6-7,5,29511.840000000004
1-5-6-7,6,38291.920000000006
1-5-6-7,7,44660.48
2-3-4-5,1,17445.120000000003
2-3-4-5,2,18702.0
2-3-4-5,3,19385.760000000002
2-3-4-5,4,19232.0
2-3-4-5,5,18956.559999999998
2-3-4-5,6,21615.2
2-3-4-5,7,23110.72
2-3-4-6,1,23725.120000000003
2-3-4-6,2,25966.24
2-3-4-6,3,24664.72
2-3-4-6,4,27210.08
2-3-4-6,5,25581.840000000004
2-3-4-6,6,28430.48
2-3-4-6,7,25473.680000000004
2-3-4-7,1,25548.08
2-3-4-7,2,27341.28
2-3-4-7,3,25960.559999999998
2-3-4-7,4,26580.320000000003
2-3-4-7,5,27164.96
2-3-4-7,6,29855.600000000002
2-3-4-7,7,29167.920000000002
2-3-5-6,1,22019.52
2-3-5-6,2,25018.96
2-3-5-6,3,23902.64
2-3-5-6,4,25541.600000000002
2-3-5-6,5,24990.0
2-3-5-6,6,27058.96
2-3-5-6,7,26092.16
2-3-5-7,1,24913.600000000002
2-3-5-7,2,25771.760000000002
2-3-5-7,3,25436.88
2-3-5-7,4,24831.440000000002
2-3-5-7,5,25888.559999999998
2-3-5-7,6,29682.88
2-3-5-7,7,25084.16
2-3-6-7,1,23713.84
2-3-6-7,2,26573.120000000003
2-3-6-7,3,24130.08
2-3-6-7,4,24225.440000000002
2-3-6-7,5,24920.88
2-3-6-7,6,27888.16
2-3-6-7,7,28564.559999999998
2-4-5-6,1,25728.0
2-4-5-6,2,26865.039999999997
2-4-5-6,3,28043.2
2-4-5-6,4,28365.76
2-4-5-6,5,29089.2
2-4-5-6,6,28270.16
2-4-5-6,7,28225.840000000004
2-4-5-7,1,26600.0
2-4-5-7,2,32319.76
2-4-5-7,3,28517.68
2-4-5-7,4,24155.36
2-4-5-7,5,28752.16
2-4-5-7,6,28487.920000000002
2-4-5-7,7,29077.28
2-4-6-7,1,29808.559999999998
2-4-6-7,2,44160.16
2-4-6-7,3,34842.64000000001
2-4-6-7,4,30290.960000000006
2-4-6-7,5,28930.88
2-4-6-7,6,45716.0
2-4-6-7,7,39693.92000000001
2-5-6-7,1,29482.88
2-5-6-7,2,41544.32000000001
2-5-6-7,3,36051.280000000006
2-5-6-7,4,29619.040000000005
2-5-6-7,5,30691.600000000002
2-5-6-7,6,41480.48
2-5-6-7,7,41467.280000000006
3-4-5-6,1,26334.08
3-4-5-6,2,23916.320000000003
3-4-5-6,3,22914.72
3-4-5-6,4,24409.520000000004
3-4-5-6,5,25273.92
