processor,node,bw
0-1-2-3,1,8544.900000000001
0-1-2-3,2,8196.575
0-1-2-3,3,8240.575
0-1-2-3,4,9022.425
0-1-2-3,5,9428.65
0-1-2-3,6,5599.674999999999
0-1-2-3,7,6537.449999999999
0-1-2-4,1,10009.4
0-1-2-4,2,11526.1
0-1-2-4,3,14914.7
0-1-2-4,4,14038.224999999999
0-1-2-4,5,10735.6
0-1-2-4,6,8229.099999999999
0-1-2-4,7,7986.75
0-1-2-5,1,10476.2
0-1-2-5,2,11835.825
0-1-2-5,3,14412.699999999999
0-1-2-5,4,11623.1
0-1-2-5,5,11337.75
0-1-2-5,6,9374.05
0-1-2-5,7,8752.75
0-1-2-6,1,9742.9
0-1-2-6,2,11336.725
0-1-2-6,3,13209.6
0-1-2-6,4,16011.35
0-1-2-6,5,11714.725000000002
0-1-2-6,6,8307.7
0-1-2-6,7,9522.150000000001
0-1-2-7,1,10679.2
0-1-2-7,2,11254.3
0-1-2-7,3,12109.6
0-1-2-7,4,12905.375
0-1-2-7,5,13681.525000000001
0-1-2-7,6,9152.025
0-1-2-7,7,8499.650000000001
0-1-3-4,1,11343.125
0-1-3-4,2,12068.1
0-1-3-4,3,11288.825
0-1-3-4,4,11977.425
0-1-3-4,5,10721.05
0-1-3-4,6,7707.95
0-1-3-4,7,7880.9
0-1-3-5,1,10392.25
0-1-3-5,2,11126.275
0-1-3-5,3,11534.55
0-1-3-5,4,9732.25
0-1-3-5,5,9600.2
0-1-3-5,6,8839.825
0-1-3-5,7,8604.849999999999
0-1-3-6,1,10557.6
0-1-3-6,2,12583.575
0-1-3-6,3,11880.875
0-1-3-6,4,13571.1
0-1-3-6,5,12084.149999999998
0-1-3-6,6,8023.775
0-1-3-6,7,8970.1
0-1-3-7,1,9237.475
0-1-3-7,2,11541.8
0-1-3-7,3,10205.400000000001
0-1-3-7,4,11571.575
0-1-3-7,5,12764.775000000001
0-1-3-7,6,9089.65
0-1-3-7,7,8042.075
0-1-4-5,1,8157.65
0-1-4-5,2,9307.95
0-1-4-5,3,9395.1
0-1-4-5,4,7979.925
0-1-4-5,5,7920.95
0-1-4-5,6,8412.4
0-1-4-5,7,7139.349999999999
0-1-4-6,1,11202.650000000001
0-1-4-6,2,13452.2
0-1-4-6,3,14964.625
0-1-4-6,4,14909.9
0-1-4-6,5,9805.85
0-1-4-6,6,8434.1
0-1-4-6,7,8448.0
0-1-4-7,1,10787.1
0-1-4-7,2,13418.3
0-1-4-7,3,13885.525
0-1-4-7,4,12768.824999999999
0-1-4-7,5,10853.075
0-1-4-7,6,8996.5
0-1-4-7,7,7406.700000000001
0-1-5-6,1,9539.3
0-1-5-6,2,13676.975000000002
0-1-5-6,3,13621.725
0-1-5-6,4,12162.2
0-1-5-6,5,10891.45
0-1-5-6,6,7973.325
0-1-5-6,7,9529.95
0-1-5-7,1,10079.25
0-1-5-7,2,12831.3
0-1-5-7,3,12517.45
0-1-5-7,4,9257.675
0-1-5-7,5,10425.7
0-1-5-7,6,8808.15
0-1-5-7,7,7692.525
0-1-6-7,1,8034.775
0-1-6-7,2,12351.225
0-1-6-7,3,12069.825
0-1-6-7,4,8531.75
0-1-6-7,5,7973.875
0-1-6-7,6,8266.849999999999
0-1-6-7,7,8356.65
0-2-3-4,1,8418.400000000001
0-2-3-4,2,8303.275000000001
0-2-3-4,3,8148.375
0-2-3-4,4,9292.3
0-2-3-4,5,9279.974999999999
0-2-3-4,6,8923.525000000001
0-2-3-4,7,9201.574999999999
0-2-3-5,1,7886.025000000001
0-2-3-5,2,8146.125
0-2-3-5,3,8043.075
0-2-3-5,4,8816.575
0-2-3-5,5,8902.425
0-2-3-5,6,8680.625
0-2-3-5,7,8135.45
0-2-3-6,1,8907.975
0-2-3-6,2,8243.75
0-2-3-6,3,7941.275000000001
0-2-3-6,4,9352.275
0-2-3-6,5,9134.15
0-2-3-6,6,9794.1
0-2-3-6,7,9147.724999999999
0-2-3-7,1,8464.75
0-2-3-7,2,7624.075000000001
0-2-3-7,3,7380.125
0-2-3-7,4,8299.75
0-2-3-7,5,8458.925
0-2-3-7,6,9124.25
0-2-3-7,7,7515.35
0-2-4-5,1,7910.400000000001
0-2-4-5,2,8128.875
0-2-4-5,3,8197.25
0-2-4-5,4,7896.325
0-2-4-5,5,7872.975
0-2-4-5,6,9182.599999999999
0-2-4-5,7,10586.75
0-2-4-6,1,11553.05
0-2-4-6,2,13509.425
0-2-4-6,3,12718.6
0-2-4-6,4,14690.425
0-2-4-6,5,12137.475
0-2-4-6,6,13734.849999999999
0-2-4-6,7,10678.55
0-2-4-7,1,13338.875
0-2-4-7,2,15868.45
0-2-4-7,3,13922.95
0-2-4-7,4,13775.55
0-2-4-7,5,13660.6
0-2-4-7,6,15884.675000000001
0-2-4-7,7,11121.775000000001
0-2-5-6,1,10463.05
0-2-5-6,2,12413.3
0-2-5-6,3,12345.325
0-2-5-6,4,12355.475000000002
0-2-5-6,5,11858.45
0-2-5-6,6,14039.525000000001
0-2-5-6,7,14114.475
0-2-5-7,1,12281.8
0-2-5-7,2,14467.275
0-2-5-7,3,13575.150000000001
0-2-5-7,4,10776.775000000001
0-2-5-7,5,11872.075
0-2-5-7,6,13369.150000000001
0-2-5-7,7,11096.425
0-2-6-7,1,9384.75
0-2-6-7,2,14820.775
0-2-6-7,3,10824.45
0-2-6-7,4,8564.65
0-2-6-7,5,8943.65
0-2-6-7,6,12122.625
0-2-6-7,7,12453.199999999999
0-3-4-5,1,9091.800000000001
0-3-4-5,2,7590.099999999999
0-3-4-5,3,7159.1
0-3-4-5,4,7594.15
0-3-4-5,5,7520.275
0-3-4-5,6,8443.0
0-3-4-5,7,8461.474999999999
0-3-4-6,1,11103.300000000001
0-3-4-6,2,11208.900000000001
0-3-4-6,3,10711.75
0-3-4-6,4,13036.125
0-3-4-6,5,11730.9
0-3-4-6,6,12592.975000000002
0-3-4-6,7,8546.974999999999
0-3-4-7,1,11776.400000000001
0-3-4-7,2,11784.975
0-3-4-7,3,11519.999999999998
0-3-4-7,4,11835.375
0-3-4-7,5,12597.8
0-3-4-7,6,13746.4
0-3-4-7,7,10085.575
0-3-5-6,1,10102.75
0-3-5-6,2,10592.125
0-3-5-6,3,10300.224999999999
0-3-5-6,4,11231.3
0-3-5-6,5,11249.85
0-3-5-6,6,13010.45
0-3-5-6,7,12277.775000000001
0-3-5-7,1,10657.9
0-3-5-7,2,10728.8
0-3-5-7,3,10770.075
0-3-5-7,4,9405.35
0-3-5-7,5,10114.325
0-3-5-7,6,12586.275000000001
0-3-5-7,7,9981.4
0-3-6-7,1,8749.5
0-3-6-7,2,11837.599999999999
0-3-6-7,3,10424.775000000001
0-3-6-7,4,8265.025
0-3-6-7,5,9329.099999999999
0-3-6-7,6,11004.775000000001
0-3-6-7,7,11678.900000000001
0-4-5-6,1,8044.45
0-4-5-6,2,9190.675
0-4-5-6,3,8785.875
0-4-5-6,4,8069.85
0-4-5-6,5,7861.575000000001
0-4-5-6,6,9395.125
0-4-5-6,7,8517.9
0-4-5-7,1,9001.65
0-4-5-7,2,9044.75
0-4-5-7,3,8783.525
0-4-5-7,4,7295.424999999999
0-4-5-7,5,8032.6
0-4-5-7,6,8935.650000000001
0-4-5-7,7,8802.8
0-4-6-7,1,9421.2
0-4-6-7,2,14847.125
0-4-6-7,3,13565.2
0-4-6-7,4,9386.425
0-4-6-7,5,8888.800000000001
0-4-6-7,6,11341.975
0-4-6-7,7,10022.75
0-5-6-7,1,8810.949999999999
0-5-6-7,2,13394.675
0-5-6-7,3,13134.474999999999
0-5-6-7,4,8753.400000000001
0-5-6-7,5,9338.525
0-5-6-7,6,10321.425000000001
0-5-6-7,7,10770.625
1-2-3-4,1,8851.875
1-2-3-4,2,8785.1
1-2-3-4,3,9258.25
1-2-3-4,4,9072.225
1-2-3-4,5,9312.175
1-2-3-4,6,8295.7
1-2-3-4,7,8861.2
1-2-3-5,1,7860.575
1-2-3-5,2,8675.85
1-2-3-5,3,9001.8
1-2-3-5,4,8877.325
1-2-3-5,5,8944.7
1-2-3-5,6,8200.9
1-2-3-5,7,8666.0
1-2-3-6,1,8065.775
1-2-3-6,2,8879.075
1-2-3-6,3,9257.35
1-2-3-6,4,8969.025
1-2-3-6,5,9207.275
1-2-3-6,6,7536.349999999999
1-2-3-6,7,8853.224999999999
1-2-3-7,1,8380.45
1-2-3-7,2,8477.6
1-2-3-7,3,8619.65
1-2-3-7,4,8090.75
1-2-3-7,5,8406.7
1-2-3-7,6,9057.475
1-2-3-7,7,9257.65
1-2-4-5,1,7330.55
1-2-4-5,2,8710.025
1-2-4-5,3,8619.15
1-2-4-5,4,9056.825
1-2-4-5,5,9118.9
1-2-4-5,6,9343.725
1-2-4-5,7,8337.7
1-2-4-6,1,10959.75
1-2-4-6,2,14495.824999999999
1-2-4-6,3,15203.0
1-2-4-6,4,16348.474999999999
1-2-4-6,5,12488.5
1-2-4-6,6,11053.775000000001
1-2-4-6,7,12407.074999999999
1-2-4-7,1,11048.925
1-2-4-7,2,14124.125
1-2-4-7,3,15061.95
1-2-4-7,4,14081.875
1-2-4-7,5,15151.225
1-2-4-7,6,14910.375
1-2-4-7,7,13832.05
1-2-5-6,1,10455.625
1-2-5-6,2,13795.925
1-2-5-6,3,13833.8
1-2-5-6,4,14318.900000000001
1-2-5-6,5,13008.75
1-2-5-6,6,11468.45
1-2-5-6,7,14451.15
1-2-5-7,1,11326.724999999999
1-2-5-7,2,12524.525
1-2-5-7,3,12476.849999999999
1-2-5-7,4,11060.025000000001
1-2-5-7,5,11797.5
1-2-5-7,6,13215.2
1-2-5-7,7,13273.050000000001
1-2-6-7,1,8577.95
1-2-6-7,2,13526.375
1-2-6-7,3,11163.25
1-2-6-7,4,8547.75
1-2-6-7,5,8779.800000000001
1-2-6-7,6,12536.350000000002
1-2-6-7,7,14252.475
1-3-4-5,1,7487.400000000001
1-3-4-5,2,8542.725
1-3-4-5,3,8159.825
1-3-4-5,4,8849.925
1-3-4-5,5,8607.5
1-3-4-5,6,8986.975
1-3-4-5,7,8426.825
1-3-4-6,1,12292.55
1-3-4-6,2,14378.375
1-3-4-6,3,13839.7
1-3-4-6,4,14445.350000000002
1-3-4-6,5,13362.325
1-3-4-6,6,10783.25
1-3-4-6,7,10510.050000000001
1-3-4-7,1,11015.175
1-3-4-7,2,12689.625
1-3-4-7,3,12375.649999999998
1-3-4-7,4,11372.4
1-3-4-7,5,12439.15
1-3-4-7,6,13256.824999999999
1-3-4-7,7,12798.85
1-3-5-6,1,11119.45
1-3-5-6,2,13423.5
1-3-5-6,3,13228.575
1-3-5-6,4,13193.875
1-3-5-6,5,12525.175000000001
1-3-5-6,6,11627.2
1-3-5-6,7,13939.399999999998
1-3-5-7,1,10098.575
1-3-5-7,2,10383.875
1-3-5-7,3,10507.35
1-3-5-7,4,9545.525
1-3-5-7,5,9768.45
1-3-5-7,6,11796.675
1-3-5-7,7,11526.45
1-3-6-7,1,8537.9
1-3-6-7,2,12187.875
1-3-6-7,3,11942.724999999999
1-3-6-7,4,8241.7
1-3-6-7,5,8981.425
1-3-6-7,6,11587.475000000002
1-3-6-7,7,12906.249999999998
1-4-5-6,1,6829.499999999999
1-4-5-6,2,9268.175
1-4-5-6,3,8783.625
1-4-5-6,4,9091.425000000001
1-4-5-6,5,8872.925
1-4-5-6,6,10502.275000000001
1-4-5-6,7,10160.5
1-4-5-7,1,9023.6
1-4-5-7,2,9213.575
1-4-5-7,3,9070.275000000001
1-4-5-7,4,8125.675
1-4-5-7,5,9284.15
1-4-5-7,6,9413.75
1-4-5-7,7,8617.675
1-4-6-7,1,8775.125
1-4-6-7,2,15010.125
1-4-6-7,3,14963.675000000001
1-4-6-7,4,9434.25
1-4-6-7,5,9029.375
1-4-6-7,6,12423.75
1-4-6-7,7,13630.425
1-5-6-7,1,8313.949999999999
1-5-6-7,2,13714.625
1-5-6-7,3,13273.175
1-5-6-7,4,9079.425
1-5-6-7,5,9212.474999999999
1-5-6-7,6,11554.4
1-5-6-7,7,13559.075
2-3-4-5,1,5069.65
2-3-4-5,2,5813.825000000001
2-3-4-5,3,5522.025
2-3-4-5,4,5886.95
2-3-4-5,5,5854.4
2-3-4-5,6,6645.450000000001
2-3-4-5,7,6341.375
2-3-4-6,1,7136.475
2-3-4-6,2,8023.575
2-3-4-6,3,7507.025
2-3-4-6,4,8529.824999999999
2-3-4-6,5,8066.825
2-3-4-6,6,8899.75
2-3-4-6,7,8234.6
2-3-4-7,1,7874.05
2-3-4-7,2,8576.2
2-3-4-7,3,8061.725
2-3-4-7,4,8176.575000000001
2-3-4-7,5,8478.625
2-3-4-7,6,9257.125
2-3-4-7,7,8630.225
2-3-5-6,1,7071.7
2-3-5-6,2,7793.349999999999
2-3-5-6,3,7375.575
2-3-5-6,4,7996.650000000001
2-3-5-6,5,7878.724999999999
2-3-5-6,6,8777.575
2-3-5-6,7,8625.85
2-3-5-7,1,7040.574999999999
2-3-5-7,2,8238.275
2-3-5-7,3,7755.474999999999
2-3-5-7,4,7458.275
2-3-5-7,5,8025.775
2-3-5-7,6,8642.025000000001
2-3-5-7,7,8585.375
2-3-6-7,1,7190.875
2-3-6-7,2,8173.825
2-3-6-7,3,7540.525
2-3-6-7,4,7420.75
2-3-6-7,5,7536.475
2-3-6-7,6,8693.525000000001
2-3-6-7,7,9008.325
