processor,node,bw
0-1-2-3,0,4991.575000000001
0-1-2-3,1,4797.974999999999
0-1-2-3,2,6626.474999999999
0-1-2-3,3,6297.975
0-1-2-3,4,6901.55
0-1-2-3,5,5588.5
0-1-2-3,6,2962.1500000000005
0-1-2-3,7,3311.0
0-1-2-4,0,7345.15
0-1-2-4,1,5945.55
0-1-2-4,2,6527.25
0-1-2-4,3,6187.725
0-1-2-4,4,7468.950000000001
0-1-2-4,5,5586.075000000001
0-1-2-4,6,4138.85
0-1-2-4,7,3922.1
0-1-2-5,0,6856.85
0-1-2-5,1,5353.075000000001
0-1-2-5,2,7139.625
0-1-2-5,3,5915.875
0-1-2-5,4,7056.0
0-1-2-5,5,6077.75
0-1-2-5,6,4622.575
0-1-2-5,7,4810.674999999999
0-1-2-6,0,7328.474999999999
0-1-2-6,1,5366.549999999999
0-1-2-6,2,6854.65
0-1-2-6,3,6039.825000000001
0-1-2-6,4,6822.4
0-1-2-6,5,5343.05
0-1-2-6,6,4813.45
0-1-2-6,7,4907.049999999999
0-1-2-7,0,6518.775000000001
0-1-2-7,1,5978.549999999999
0-1-2-7,2,6780.65
0-1-2-7,3,6355.300000000001
0-1-2-7,4,5618.325
0-1-2-7,5,5565.324999999999
0-1-2-7,6,4681.175
0-1-2-7,7,4813.15
0-1-3-4,0,5399.475
0-1-3-4,1,6868.9
0-1-3-4,2,6228.85
0-1-3-4,3,6672.9
0-1-3-4,4,7790.1
0-1-3-4,5,5569.7
0-1-3-4,6,3829.6
0-1-3-4,7,4147.95
0-1-3-5,0,4780.275
0-1-3-5,1,6241.049999999999
0-1-3-5,2,6188.450000000001
0-1-3-5,3,6582.25
0-1-3-5,4,7045.950000000001
0-1-3-5,5,6550.225
0-1-3-5,6,4719.025
0-1-3-5,7,4797.25
0-1-3-6,0,5121.875
0-1-3-6,1,5264.575
0-1-3-6,2,6220.325
0-1-3-6,3,6705.825
0-1-3-6,4,6841.9
0-1-3-6,5,5208.95
0-1-3-6,6,4708.575
0-1-3-6,7,4657.475
0-1-3-7,0,5951.6
0-1-3-7,1,7171.325000000001
0-1-3-7,2,6295.75
0-1-3-7,3,6566.974999999999
0-1-3-7,4,5622.45
0-1-3-7,5,6105.4
0-1-3-7,6,4959.925
0-1-3-7,7,5225.225
0-1-4-5,0,5073.325
0-1-4-5,1,4704.675
0-1-4-5,2,6443.95
0-1-4-5,3,6408.5
0-1-4-5,4,7424.199999999999
0-1-4-5,5,5645.950000000001
0-1-4-5,6,4771.125
0-1-4-5,7,3906.2999999999997
0-1-4-6,0,7563.5
0-1-4-6,1,5727.799999999999
0-1-4-6,2,6436.475
0-1-4-6,3,6115.575
0-1-4-6,4,7245.2
0-1-4-6,5,5019.875
0-1-4-6,6,4884.75
0-1-4-6,7,4373.6
0-1-4-7,0,6398.224999999999
0-1-4-7,1,7511.8
0-1-4-7,2,6445.950000000001
0-1-4-7,3,6115.450000000001
0-1-4-7,4,6363.25
0-1-4-7,5,5253.225
0-1-4-7,6,4998.924999999999
0-1-4-7,7,4781.099999999999
0-1-5-6,0,6668.25
0-1-5-6,1,5734.6
0-1-5-6,2,6419.475
0-1-5-6,3,6143.900000000001
0-1-5-6,4,6866.324999999999
0-1-5-6,5,5746.475
0-1-5-6,6,4837.924999999999
0-1-5-6,7,4929.175
0-1-5-7,0,5939.675
0-1-5-7,1,6078.650000000001
0-1-5-7,2,6725.65
0-1-5-7,3,6151.099999999999
0-1-5-7,4,5230.425
0-1-5-7,5,6682.049999999999
0-1-5-7,6,4748.799999999999
0-1-5-7,7,5014.125
0-1-6-7,0,6548.925000000001
0-1-6-7,1,4887.75
0-1-6-7,2,6441.7
0-1-6-7,3,5681.125
0-1-6-7,4,4077.9750000000004
0-1-6-7,5,3741.35
0-1-6-7,6,4937.475
0-1-6-7,7,4857.7
0-2-3-4,0,5061.674999999999
0-2-3-4,1,4667.2
0-2-3-4,2,7657.725
0-2-3-4,3,7445.874999999999
0-2-3-4,4,7515.749999999999
0-2-3-4,5,5418.950000000001
0-2-3-4,6,4611.05
0-2-3-4,7,4743.375
0-2-3-5,0,4589.775
0-2-3-5,1,4950.1
0-2-3-5,2,7803.475
0-2-3-5,3,6665.025
0-2-3-5,4,7068.85
0-2-3-5,5,7085.7
0-2-3-5,6,4628.625
0-2-3-5,7,4422.325
0-2-3-6,0,5081.975
0-2-3-6,1,4379.65
0-2-3-6,2,7668.475
0-2-3-6,3,6777.25
0-2-3-6,4,6610.474999999999
0-2-3-6,5,5533.425
0-2-3-6,6,6251.425
0-2-3-6,7,4733.75
0-2-3-7,0,4697.975
0-2-3-7,1,4997.425
0-2-3-7,2,7948.5
0-2-3-7,3,6803.475
0-2-3-7,4,5599.799999999999
0-2-3-7,5,6261.45
0-2-3-7,6,4575.475
0-2-3-7,7,4809.175
0-2-4-5,0,5017.549999999999
0-2-4-5,1,4823.8
0-2-4-5,2,7596.900000000001
0-2-4-5,3,6392.875
0-2-4-5,4,7445.825
0-2-4-5,5,6043.924999999999
0-2-4-5,6,6171.375
0-2-4-5,7,4775.425
0-2-4-6,0,7131.349999999999
0-2-4-6,1,5511.275
0-2-4-6,2,7598.5
0-2-4-6,3,6349.825000000001
0-2-4-6,4,7259.799999999999
0-2-4-6,5,5596.925
0-2-4-6,6,7327.25
0-2-4-6,7,4912.75
0-2-4-7,0,7036.9
0-2-4-7,1,5910.775000000001
0-2-4-7,2,7495.1
0-2-4-7,3,6289.35
0-2-4-7,4,6411.15
0-2-4-7,5,5415.025
0-2-4-7,6,6938.250000000001
0-2-4-7,7,5353.225
0-2-5-6,0,6679.474999999999
0-2-5-6,1,4608.375
0-2-5-6,2,7394.95
0-2-5-6,3,5997.075000000001
0-2-5-6,4,6889.825
0-2-5-6,5,6879.125
0-2-5-6,6,7097.425
0-2-5-6,7,5127.2
0-2-5-7,0,6602.950000000001
0-2-5-7,1,5280.525
0-2-5-7,2,7750.475
0-2-5-7,3,6059.900000000001
0-2-5-7,4,5411.775
0-2-5-7,5,6433.575
0-2-5-7,6,6398.525
0-2-5-7,7,6403.575000000001
0-2-6-7,0,6938.025000000001
0-2-6-7,1,4708.099999999999
0-2-6-7,2,7424.674999999999
0-2-6-7,3,5371.599999999999
0-2-6-7,4,4081.35
0-2-6-7,5,4494.25
0-2-6-7,6,7423.275
0-2-6-7,7,5163.375
0-3-4-5,0,4511.1
0-3-4-5,1,5146.95
0-3-4-5,2,6654.15
0-3-4-5,3,6683.825
0-3-4-5,4,7629.325000000001
0-3-4-5,5,6924.074999999999
0-3-4-5,6,5684.225
0-3-4-5,7,4662.275000000001
0-3-4-6,0,6369.249999999999
0-3-4-6,1,5579.775
0-3-4-6,2,7080.55
0-3-4-6,3,6856.375
0-3-4-6,4,7210.35
0-3-4-6,5,5517.950000000001
0-3-4-6,6,6519.9
0-3-4-6,7,4272.45
0-3-4-7,0,6531.75
0-3-4-7,1,6886.025
0-3-4-7,2,7084.775000000001
0-3-4-7,3,6721.625
0-3-4-7,4,6222.924999999999
0-3-4-7,5,6367.0
0-3-4-7,6,6108.825000000001
0-3-4-7,7,5280.1
0-3-5-6,0,5952.975
0-3-5-6,1,4965.05
0-3-5-6,2,6924.075
0-3-5-6,3,6793.275
0-3-5-6,4,6870.525000000001
0-3-5-6,5,6640.6
0-3-5-6,6,6668.9
0-3-5-6,7,4501.525
0-3-5-7,0,5627.750000000001
0-3-5-7,1,6134.7
0-3-5-7,2,7275.575000000001
0-3-5-7,3,6794.275
0-3-5-7,4,5205.5
0-3-5-7,5,6857.75
0-3-5-7,6,5671.125
0-3-5-7,7,6458.5
0-3-6-7,0,5940.175000000001
0-3-6-7,1,5518.15
0-3-6-7,2,7186.400000000001
0-3-6-7,3,6271.375
0-3-6-7,4,4058.1000000000004
0-3-6-7,5,4370.425
0-3-6-7,6,6739.175000000001
0-3-6-7,7,5128.175000000001
0-4-5-6,0,4863.550000000001
0-4-5-6,1,4753.225
0-4-5-6,2,6979.1
0-4-5-6,3,6187.025
0-4-5-6,4,7392.3
0-4-5-6,5,5841.3
0-4-5-6,6,6956.05
0-4-5-6,7,4849.55
