processor,node,bw
0-1-2-3,0,5464.3
0-1-2-3,1,5067.45
0-1-2-3,2,6623.775000000001
0-1-2-3,3,6572.775
0-1-2-3,4,6912.7
0-1-2-3,5,6003.475
0-1-2-3,6,3048.35
0-1-2-3,7,3474.6250000000005
0-1-2-4,0,7779.05
0-1-2-4,1,6367.325
0-1-2-4,2,6879.25
0-1-2-4,3,6200.2
0-1-2-4,4,7512.8
0-1-2-4,5,5912.15
0-1-2-4,6,4067.125
0-1-2-4,7,4145.4
0-1-2-5,0,6701.725
0-1-2-5,1,5750.700000000001
0-1-2-5,2,7305.9
0-1-2-5,3,5943.150000000001
0-1-2-5,4,7051.324999999999
0-1-2-5,5,6257.675000000001
0-1-2-5,6,4796.675
0-1-2-5,7,4783.25
0-1-2-6,0,7440.05
0-1-2-6,1,5581.725
0-1-2-6,2,6868.625
0-1-2-6,3,6271.200000000001
0-1-2-6,4,6642.775
0-1-2-6,5,5826.7
0-1-2-6,6,5945.675
0-1-2-6,7,5505.675
0-1-2-7,0,6754.799999999999
0-1-2-7,1,5625.625
0-1-2-7,2,7082.349999999999
0-1-2-7,3,6392.15
0-1-2-7,4,5381.200000000001
0-1-2-7,5,5984.025
0-1-2-7,6,5143.65
0-1-2-7,7,5536.625
0-1-3-4,0,5613.450000000001
0-1-3-4,1,6778.825000000001
0-1-3-4,2,6196.475
0-1-3-4,3,6798.6
0-1-3-4,4,7833.974999999999
0-1-3-4,5,5711.525
0-1-3-4,6,3936.6749999999997
0-1-3-4,7,4131.775
0-1-3-5,0,5363.400000000001
0-1-3-5,1,5757.025
0-1-3-5,2,5986.35
0-1-3-5,3,6886.875
0-1-3-5,4,7118.224999999999
0-1-3-5,5,6860.075000000001
0-1-3-5,6,4644.299999999999
0-1-3-5,7,4784.0
0-1-3-6,0,5834.4
0-1-3-6,1,5813.450000000001
0-1-3-6,2,6204.175
0-1-3-6,3,6747.549999999999
0-1-3-6,4,6600.674999999999
