processor,node,bw
0-1-2-3,0,17028.56
0-1-2-3,1,18056.960000000003
0-1-2-3,2,21654.72
0-1-2-3,3,20904.48
0-1-2-3,4,22108.0
0-1-2-3,5,19252.559999999998
0-1-2-3,6,9858.080000000002
0-1-2-3,7,11022.64
0-1-2-4,0,23858.4
0-1-2-4,1,20866.16
0-1-2-4,2,22605.600000000002
0-1-2-4,3,19661.36
0-1-2-4,4,24034.88
0-1-2-4,5,18817.199999999997
0-1-2-4,6,13120.720000000001
0-1-2-4,7,13167.120000000003
0-1-2-5,0,21334.240000000005
0-1-2-5,1,18451.44
0-1-2-5,2,24399.039999999997
0-1-2-5,3,19953.760000000002
0-1-2-5,4,22575.520000000004
0-1-2-5,5,20344.160000000003
0-1-2-5,6,14684.0
0-1-2-5,7,15357.04
0-1-2-6,0,23559.12
0-1-2-6,1,18597.280000000002
0-1-2-6,2,22386.32
0-1-2-6,3,20020.32
0-1-2-6,4,21134.800000000003
0-1-2-6,5,17384.24
0-1-2-6,6,18117.52
0-1-2-6,7,16625.28
0-1-2-7,0,21466.320000000003
0-1-2-7,1,18902.559999999998
0-1-2-7,2,22472.64
0-1-2-7,3,20531.52
0-1-2-7,4,17042.4
0-1-2-7,5,18578.72
0-1-2-7,6,16682.8
0-1-2-7,7,18595.920000000002
0-1-3-4,0,18610.079999999998
0-1-3-4,1,21966.240000000005
0-1-3-4,2,20019.36
0-1-3-4,3,22116.960000000003
0-1-3-4,4,23647.440000000002
0-1-3-4,5,17917.440000000002
0-1-3-4,6,12689.2
0-1-3-4,7,13317.44
0-1-3-5,0,16063.120000000003
0-1-3-5,1,20299.760000000002
0-1-3-5,2,19837.920000000002
0-1-3-5,3,21980.72
0-1-3-5,4,22702.48
0-1-3-5,5,21624.72
0-1-3-5,6,13926.560000000001
0-1-3-5,7,15326.720000000001
0-1-3-6,0,17586.16
0-1-3-6,1,17491.52
0-1-3-6,2,19802.0
0-1-3-6,3,21536.64
0-1-3-6,4,21067.600000000002
0-1-3-6,5,17551.92
0-1-3-6,6,16439.040000000005
0-1-3-6,7,14915.6
0-1-3-7,0,20831.600000000002
0-1-3-7,1,22061.04
0-1-3-7,2,20309.199999999997
0-1-3-7,3,21729.440000000002
0-1-3-7,4,17130.72
0-1-3-7,5,19584.8
0-1-3-7,6,16082.159999999998
0-1-3-7,7,16799.84
0-1-4-5,0,16923.52
0-1-4-5,1,15861.84
0-1-4-5,2,20634.640000000003
0-1-4-5,3,20569.600000000002
0-1-4-5,4,23743.84
0-1-4-5,5,19462.48
0-1-4-5,6,15330.08
0-1-4-5,7,12551.84
0-1-4-6,0,24069.76
0-1-4-6,1,18096.0
0-1-4-6,2,20370.24
0-1-4-6,3,19577.2
0-1-4-6,4,23006.4
0-1-4-6,5,16192.720000000001
0-1-4-6,6,17899.28
0-1-4-6,7,14027.680000000002
0-1-4-7,0,20796.56
0-1-4-7,1,22936.880000000005
0-1-4-7,2,19996.88
0-1-4-7,3,19555.76
0-1-4-7,4,20448.320000000003
0-1-4-7,5,17891.039999999997
0-1-4-7,6,14987.919999999998
0-1-4-7,7,16402.24
0-1-5-6,0,20879.440000000002
0-1-5-6,1,17456.960000000003
0-1-5-6,2,20253.36
0-1-5-6,3,19974.08
0-1-5-6,4,21209.040000000005
0-1-5-6,5,19012.24
0-1-5-6,6,18328.640000000003
0-1-5-6,7,18412.8
0-1-5-7,0,18967.36
0-1-5-7,1,19171.68
0-1-5-7,2,21542.64
0-1-5-7,3,19683.520000000004
0-1-5-7,4,17217.760000000002
0-1-5-7,5,21426.320000000003
0-1-5-7,6,15482.64
0-1-5-7,7,16831.840000000004
0-1-6-7,0,22213.28
0-1-6-7,1,16733.760000000002
0-1-6-7,2,20082.320000000003
0-1-6-7,3,18796.0
0-1-6-7,4,13051.600000000002
0-1-6-7,5,11944.96
0-1-6-7,6,16654.320000000003
0-1-6-7,7,17523.440000000002
0-2-3-4,0,16990.960000000003
0-2-3-4,1,16050.400000000001
0-2-3-4,2,23931.36
0-2-3-4,3,23530.960000000003
0-2-3-4,4,23666.72
0-2-3-4,5,19115.68
0-2-3-4,6,14868.559999999998
0-2-3-4,7,15900.64
0-2-3-5,0,17028.320000000003
0-2-3-5,1,15788.560000000001
0-2-3-5,2,25298.72
0-2-3-5,3,21501.520000000004
0-2-3-5,4,21941.600000000006
0-2-3-5,5,22340.4
0-2-3-5,6,15730.560000000001
0-2-3-5,7,16219.919999999998
0-2-3-6,0,17166.72
0-2-3-6,1,13901.519999999999
0-2-3-6,2,24683.84
0-2-3-6,3,22563.84
0-2-3-6,4,21171.28
0-2-3-6,5,18374.320000000003
0-2-3-6,6,18152.4
0-2-3-6,7,15375.84
0-2-3-7,0,16068.720000000001
0-2-3-7,1,15494.320000000002
