processor,node,bw
0,0,17897.4725
0,1,9637.215
0,2,7584.889999999999
0,3,6626.175
0,4,5212.6675000000005
0,5,5133.617499999999
0,6,5311.8625
0,7,3611.8624999999997
1,0,9657.147500000001
1,1,18780.7925
1,2,6624.05
1,3,7552.8025
1,4,5170.677500000001
1,5,5100.0425
1,6,3591.292499999999
1,7,5267.4925
2,0,5177.265
2,1,3580.965
2,2,18512.107500000002
2,3,9642.6125
2,4,5404.98
2,5,7704.06
2,6,5217.129999999999
2,7,5266.004999999999
3,0,3560.225
3,1,5222.1875
3,2,9651.0275
3,3,18719.805
3,4,5269.8725
3,5,7655.014999999999
3,6,3532.6424999999995
3,7,3530.2625
4,0,5164.8125
4,1,5168.765
4,2,5368.9400000000005
4,3,5275.1849999999995
4,4,18104.405
4,5,9649.880000000001
4,6,7605.545
4,7,3581.475
5,0,3531.4099999999994
5,1,3509.65
5,2,7702.02
5,3,5371.66
5,4,9675.3375
5,5,18305.047499999997
5,6,6668.42
5,7,5160.5625
6,0,7632.234999999999
6,1,3609.78
6,2,5212.964999999999
6,3,5137.06
6,4,5218.4475
6,5,3546.2850000000003
6,6,18380.6975
6,7,9696.375
7,0,6748.490000000001
7,1,5269.6175
7,2,7608.179999999999
7,3,6441.469999999999
7,4,3612.1175
7,5,5133.0225
7,6,9683.4975
7,7,18389.707499999997
