processor,node,bw
0,0,10527.925
0,1,5668.95
0,2,4461.7
0,3,3897.75
0,4,3066.275
0,5,3019.7749999999996
0,6,3124.625
0,7,2124.625
1,0,5680.675
1,1,11047.525
1,2,3896.5
1,3,4442.825
1,4,3041.5750000000003
1,5,3000.0249999999996
1,6,2112.5249999999996
1,7,3098.525
2,0,3045.4500000000003
2,1,2106.4500000000003
2,2,10889.475
2,3,5672.125
2,4,3179.4
2,5,4531.8
2,6,3068.8999999999996
2,7,3097.6499999999996
3,0,2094.25
3,1,3071.875
3,2,5677.075
3,3,11011.65
3,4,3099.925
3,5,4502.95
3,6,2078.0249999999996
3,7,2076.625
4,0,3038.125
4,1,3040.4500000000003
4,2,3158.2000000000003
4,3,3103.0499999999997
4,4,10649.65
4,5,5676.400000000001
4,6,4473.85
4,7,2106.75
5,0,2077.2999999999997
5,1,2064.5
5,2,4530.6
5,3,3159.8
5,4,5691.375
5,5,10767.675
5,6,3922.6
5,7,3035.625
6,0,4489.549999999999
6,1,2123.4
6,2,3066.45
6,3,3021.8
6,4,3069.675
6,5,2086.05
6,6,10812.175
6,7,5703.75
7,0,3969.7000000000003
7,1,3099.775
7,2,4475.4
7,3,3789.1
7,4,2124.775
7,5,3019.425
7,6,5696.175
7,7,10817.474999999999
