socket,node,bw
0,0,10718.6
0,1,5683.525000000001
0,2,4450.674999999999
0,3,3899.975
0,4,3065.95
0,5,3018.85
0,6,3124.4750000000004
0,7,2135.7
1,0,5687.35
1,1,10673.3
1,2,3899.0
1,3,4444.875
1,4,3040.9500000000003
1,5,2998.95
1,6,2136.2250000000004
1,7,3099.425
2,0,3044.7
2,1,2080.6000000000004
2,2,10671.925
2,3,5672.225
2,4,3150.175
2,5,4534.425
2,6,3100.6249999999995
2,7,3098.7
3,0,2081.425
3,1,3042.65
3,2,5689.3
3,3,10975.3
3,4,3110.2250000000004
3,5,4481.45
3,6,2077.925
3,7,2063.675
4,0,3068.575
4,1,3039.75
4,2,3152.675
4,3,3102.9249999999997
4,4,10981.2
4,5,5654.825
4,6,4472.025
4,7,2095.625
5,0,2062.875
5,1,2051.65
5,2,4528.35
5,3,3129.2999999999997
5,4,5677.725
5,5,10703.699999999999
5,6,3915.9750000000004
5,7,3041.625
6,0,4492.325
6,1,2123.625
6,2,3097.625
6,3,3050.6500000000005
6,4,3069.275
6,5,2096.6
6,6,10832.199999999999
6,7,5698.474999999999
7,0,3958.6749999999997
7,1,3099.0249999999996
7,2,4473.85
7,3,3770.0750000000003
7,4,2110.6
7,5,3045.1499999999996
7,6,5677.375
7,7,10944.7
