processor,node,bw
0,0,18221.62
0,1,9661.9925
0,2,7566.147499999998
0,3,6629.9574999999995
0,4,5212.115
0,5,5132.045
0,6,5311.6075
0,7,3630.6899999999996
1,0,9668.495
1,1,18144.609999999997
1,2,6628.3
1,3,7556.287499999999
1,4,5169.615000000001
1,5,5098.214999999999
1,6,3631.5825000000004
1,7,5269.0225
2,0,5175.99
2,1,3537.0200000000004
2,2,18142.2725
2,3,9642.782500000001
2,4,5355.297500000001
2,5,7708.5225
2,6,5271.062499999999
2,7,5267.79
3,0,3538.4225
3,1,5172.505
3,2,9671.81
3,3,18658.01
3,4,5287.382500000001
3,5,7618.464999999999
3,6,3532.4725000000003
3,7,3508.2475000000004
4,0,5216.577499999999
4,1,5167.575
4,2,5359.547500000001
4,3,5274.972499999999
4,4,18668.04
4,5,9613.2025
4,6,7602.442499999999
4,7,3562.5625
5,0,3506.8875
5,1,3487.805
5,2,7698.195000000001
5,3,5319.8099999999995
5,4,9652.1325
5,5,18196.289999999997
5,6,6657.1575
5,7,5170.7625
6,0,7636.952499999999
6,1,3610.1625
6,2,5265.9625
6,3,5186.1050000000005
6,4,5217.7675
6,5,3564.22
6,6,18414.739999999998
6,7,9687.4075
7,0,6729.7474999999995
7,1,5268.342499999999
7,2,7605.545
7,3,6409.1275000000005
7,4,3588.0199999999995
7,5,5176.754999999999
7,6,9651.5375
7,7,18605.99
