socket,node,bw
0,0,10931.925
0,1,5691.975
0,2,4454.475
0,3,3896.2
0,4,3066.25
0,5,3018.6
0,6,3124.325
0,7,2124.875
1,0,5677.675
1,1,10825.9
1,2,3889.15
1,3,4447.875
1,4,3041.2250000000004
1,5,2999.55
1,6,2136.2249999999995
1,7,3099.6
2,0,3044.0
2,1,2096.125
2,2,10800.675
2,3,5655.775000000001
2,4,3149.675
2,5,4535.625
2,6,3100.65
2,7,3069.925
3,0,2095.075
3,1,3043.0250000000005
3,2,5693.45
3,3,10927.75
3,4,3109.95
3,5,4493.675
3,6,2065.0
3,7,2050.8999999999996
4,0,3037.85
4,1,3067.025
4,2,3152.425
4,3,3102.8250000000003
4,4,11004.125
4,5,5665.325000000001
4,6,4474.9
4,7,2066.7
5,0,2034.975
5,1,2038.975
5,2,4532.475
5,3,3156.075
5,4,5676.525
5,5,10752.675
5,6,3894.5499999999997
5,7,3015.5249999999996
6,0,4493.425
6,1,2126.1
6,2,3091.5
6,3,3044.5249999999996
6,4,3070.8
6,5,2097.325
6,6,10902.1
6,7,5696.424999999999
7,0,3939.85
7,1,3099.575
7,2,4475.700000000001
7,3,3749.8749999999995
7,4,2095.55
7,5,3018.1249999999995
7,6,5684.900000000001
7,7,10728.800000000001
