socket,node,bw
0,0,19235.295
0,1,10250.010000000002
0,2,8018.775000000001
0,3,6982.335
0,4,5470.335000000001
0,5,5391.36
0,6,5623.919999999999
0,7,3799.3950000000004
1,0,10242.945
1,1,19634.760000000002
1,2,7009.605
1,3,8008.2
1,4,5574.465
1,5,5498.19
1,6,3775.185
1,7,5576.625
2,0,5480.775000000001
2,1,3796.0650000000005
2,2,19589.04
2,3,10193.805
2,4,5724.63
2,5,8164.4850000000015
2,6,5523.795
2,7,5575.1849999999995
3,0,3746.7450000000003
3,1,5477.445
3,2,10254.554999999998
3,3,19548.585
3,4,5629.680000000001
3,5,8104.905000000001
3,6,3740.4
3,7,3715.695
4,0,5468.400000000001
4,1,5470.92
4,2,5675.085
4,3,5584.5
4,4,19205.864999999998
4,5,10217.205
4,6,8057.07
4,7,3792.15
5,0,3711.6899999999996
5,1,3715.9650000000006
5,2,8159.535
5,3,5637.240000000001
5,4,10271.25
5,5,19667.52
5,6,7072.245
5,7,5474.880000000001
6,0,8088.029999999999
6,1,3850.9649999999997
6,2,5517.765
6,3,5437.8
6,4,5528.16
6,5,3804.0750000000003
6,6,19028.609999999997
6,7,10247.4
7,0,7107.12
7,1,5579.01
7,2,8028.675
7,3,6753.51
7,4,3771.4500000000003
7,5,5438.745
7,6,10255.455000000002
7,7,19666.845
