socket,node,bw
0,0,19103.850000000002
0,1,10245.42
0,2,8020.35
0,3,6996.1950000000015
0,4,5518.62
0,5,5433.66
0,6,5623.380000000001
0,7,3798.6300000000006
1,0,10249.560000000001
1,1,19314.0
1,2,6983.954999999999
1,3,8003.790000000001
1,4,5574.825
1,5,5496.75
1,6,3812.7599999999998
1,7,5577.794999999999
2,0,5479.5599999999995
2,1,3772.6199999999994
2,2,19594.934999999998
2,3,10183.95
2,4,5670.18
2,5,8162.01
2,6,5580.764999999999
2,7,5525.73
3,0,3769.2900000000004
3,1,5477.8949999999995
3,2,10257.165
3,3,19746.405000000002
3,4,5578.965
3,5,8081.055000000001
3,6,3740.4
3,7,3714.615
4,0,5522.67
4,1,5573.115
4,2,5674.005000000001
4,3,5584.410000000001
4,4,19598.805
4,5,10201.86
4,6,8055.495000000001
4,7,3772.2150000000006
5,0,3711.8250000000003
5,1,3738.8250000000003
5,2,8152.290000000001
5,3,5637.735
5,4,10254.42
5,5,19374.570000000003
5,6,7048.305000000001
5,7,5474.565
6,0,8086.05
6,1,3823.83
6,2,5579.91
6,3,5493.915000000001
6,4,5527.26
6,5,3774.6900000000005
6,6,19213.155000000002
6,7,10241.010000000002
7,0,7065.18
7,1,5576.3099999999995
7,2,8054.64
7,3,6754.41
7,4,3771.4500000000003
7,5,5431.005000000001
7,6,10242.225
7,7,19304.145
