processor,node,bw
0,0,10688.7
0,1,5696.575
0,2,4456.200000000001
0,3,3887.45
0,4,3038.75
0,5,2994.45
0,6,3108.325
0,7,2122.05
1,0,5694.225
1,1,10893.25
1,2,3891.025
1,3,4446.275000000001
1,4,3040.95
1,5,2999.2749999999996
1,6,2136.4
1,7,3098.275
2,0,3043.95
2,1,2096.1749999999997
2,2,10836.225
2,3,5673.65
2,4,3149.95
2,5,4534.275
2,6,3100.5250000000005
2,7,3068.1000000000004
3,0,2094.375
3,1,3043.425
3,2,5697.5
3,3,10766.75
3,4,3099.1249999999995
3,5,4493.049999999999
3,6,2076.6499999999996
3,7,2063.575
4,0,3068.725
4,1,3067.3999999999996
4,2,3152.325
4,3,3102.375
4,4,10775.45
4,5,5674.475
4,6,4474.349999999999
4,7,2080.225
5,0,2034.675
5,1,2063.5
5,2,4528.625
5,3,3155.95
5,4,5699.525
5,5,10701.175
5,6,3925.5000000000005
5,7,3041.175
6,0,4492.174999999999
6,1,2138.125
6,2,3091.2
6,3,3043.275
6,4,3070.3999999999996
6,5,2096.725
6,6,10607.15
6,7,5689.450000000001
7,0,3936.8250000000003
7,1,3098.45
7,2,4474.674999999999
7,3,3751.55
7,4,2110.925
7,5,3017.2749999999996
7,6,5701.225
7,7,10753.400000000001
