Name;8;16;32;48;64;;;;;;;;;;;;Name;8;16;32;48;64
;5;5;5;5;5;;;;;;;;;;;;;5;5;5;5;5
copy;30603.6;50636.1;66597.7;67562.5;64915.8;30603.6;;30603.60;1.65;2.18;2.21;2.12;;;;;copy;30603.60;1.65;2.18;2.21;2.12
scale;29995.4;50293.9;65409.2;67320.5;62067.6;29995.4;;29995.40;1.68;2.18;2.24;2.07;;;;;scale;29995.40;1.68;2.18;2.24;2.07
add;25713.8;43969;61865.3;68445;64258.8;25713.8;;25713.80;1.71;2.41;2.66;2.50;;;;;add;25713.80;1.71;2.41;2.66;2.50
triad;26788.6;45589.2;63322.5;70063.8;66309.5;26788.6;;26788.60;1.70;2.36;2.62;2.48;;;;;triad;26788.60;1.70;2.36;2.62;2.48
cycles;76898221345;65117460386;1.04315E+11;1.50532E+11;2.10042E+11;65117460386;;1.18;65117460386.00;1.60;2.31;3.23;;;;;cycles;1.18;65117460386.00;1.60;2.31;3.23
instructions;25480163217;23171010899;26016029114;29300047494;31971893450;23171010899;;1.10;23171010899.00;1.12;1.26;1.38;;;;;instructions;1.10;23171010899.00;1.12;1.26;1.38
cache-misses;5798464;5993117;7659883;7371193;8951922;5798464;;5798464.00;1.03;1.32;1.27;1.54;;;;;cache-misses;5798464.00;1.03;1.32;1.27;1.54
cache-references;10182901896;9501328321;10144355210;10460236475;10784639267;9501328321;;1.07;9501328321.00;1.07;1.10;1.14;;;;;cache-references;1.07;9501328321.00;1.07;1.10;1.14
faults;1466;1482;1517;1552;1587;1466;;1466.00;1.01;1.03;1.06;1.08;;;;;faults;1466.00;1.01;1.03;1.06;1.08
migrations;7;15;32;47;64;7;;7.00;2.14;4.57;6.71;9.14;;;;;migrations;7.00;2.14;4.57;6.71;9.14
time;4.394328882;2.304902647;2.028616332;2.000026352;2.063740979;2.000026352;;2.20;1.15;1.01;2.00;1.03;;;;;time;2.20;1.15;1.01;2.00;1.03
;1;1;1;1;1;1;;1.00;1.00;1.00;1.00;1.00;;;;;;1;1;1;1;1
copy;31031.3;54572.1;68808.7;74041.2;71761.5;31031.3;;31031.30;1.76;2.22;2.39;2.31;;;;;copy;31031.30;1.76;2.22;2.39;2.31
scale;30446;54213.5;68759.2;73610.6;71068.1;30446;;30446.00;1.78;2.26;2.42;2.33;;;;;scale;30446.00;1.78;2.26;2.42;2.33
add;25978.4;46100;64167.3;75830.1;75449.4;25978.4;;25978.40;1.77;2.47;2.92;2.90;;;;;add;25978.40;1.77;2.47;2.92;2.90
triad;27044;47880.3;65262.6;75393.8;75337.8;27044;;27044.00;1.77;2.41;2.79;2.79;;;;;triad;27044.00;1.77;2.41;2.79;2.79
cycles;95944674115;1.12507E+11;1.75568E+11;2.38523E+11;3.23107E+11;95944674115;;95944674115.00;1.17;1.83;2.49;3.37;;;;;cycles;95944674115.00;1.17;1.83;2.49;3.37
instructions;42488198821;43586057903;46864490482;50325900337;52739951521;42488198821;;42488198821.00;1.03;1.10;1.18;1.24;;;;;instructions;42488198821.00;1.03;1.10;1.18;1.24
cache-misses;10142208;11277952;14466127;13612965;16341138;10142208;;10142208.00;1.11;1.43;1.34;1.61;;;;;cache-misses;10142208.00;1.11;1.43;1.34;1.61
cache-references;18293995594;18218545640;18770052212;18589683008;18433114429;18218545640;;1.00;18218545640.00;1.03;1.02;1.01;;;;;cache-references;1.00;18218545640.00;1.03;1.02;1.01
faults;2216;2233;2267;2301;2337;2216;;2216.00;1.01;1.02;1.04;1.05;;;;;faults;2216.00;1.01;1.02;1.04;1.05
migrations;7;15;31;47;63;7;;7.00;2.14;4.43;6.71;9.00;;;;;migrations;7.00;2.14;4.43;6.71;9.00
time;6.291094218;4.561003654;3.954413416;3.788293807;3.84906334;3.788293807;;1.66;1.20;1.04;3.79;1.02;;;;;time;1.66;1.20;1.04;3.79;1.02
;2;2;2;2;2;2;;2.00;2.00;2.00;2.00;2.00;;;;;;2;2;2;2;2
copy;31134.8;55137.4;71841.2;75455;74860.7;31134.8;;31134.80;1.77;2.31;2.42;2.40;;;;;copy;31134.80;1.77;2.31;2.42;2.40
scale;30650.3;55075.1;73158.1;74998.6;74375.2;30650.3;;30650.30;1.80;2.39;2.45;2.43;;;;;scale;30650.30;1.80;2.39;2.45;2.43
add;26026.7;46818.8;66722.3;78011.1;78570.7;26026.7;;26026.70;1.80;2.56;3.00;3.02;;;;;add;26026.70;1.80;2.56;3.00;3.02
triad;27199.3;48647.3;67151.9;77411.5;78859;27199.3;;27199.30;1.79;2.47;2.85;2.90;;;;;triad;27199.30;1.79;2.47;2.85;2.90
cycles;1.8174E+11;2.09868E+11;3.13942E+11;4.24843E+11;5.61461E+11;1.8174E+11;;181739999601.00;1.15;1.73;2.34;3.09;;;;;cycles;181739999601.00;1.15;1.73;2.34;3.09
instructions;83509264101;84961001496;88740825045;93538596381;95611048184;83509264101;;83509264101.00;1.02;1.06;1.12;1.14;;;;;instructions;83509264101.00;1.02;1.06;1.12;1.14
cache-misses;19842399;21942158;28221831;26422279;31394628;19842399;;19842399.00;1.11;1.42;1.33;1.58;;;;;cache-misses;19842399.00;1.11;1.42;1.33;1.58
cache-references;35933767586;35896294184;35996322788;35043306355;34188085454;34188085454;;1.05;1.05;1.05;1.03;34188085454.00;;;;;cache-references;1.05;1.05;1.05;1.03;34188085454.00
faults;3716;3733;3767;3802;3836;3716;;3716.00;1.00;1.01;1.02;1.03;;;;;faults;3716.00;1.00;1.01;1.02;1.03
migrations;7;15;33;47;63;7;;7.00;2.14;4.71;6.71;9.00;;;;;migrations;7.00;2.14;4.71;6.71;9.00
time;12.3390982;8.888548452;7.730572461;7.409186602;7.457476822;7.409186602;;1.67;1.20;1.04;7.41;1.01;;;;;time;1.67;1.20;1.04;7.41;1.01
;5;5;5;5;5;5;;5.00;5.00;5.00;5.00;5.00;;;;;;5;5;5;5;5
copy;31117.3;56130.6;74457.5;76380.8;78741.1;31117.3;;31117.30;1.80;2.39;2.45;2.53;;;;;copy;31117.30;1.80;2.39;2.45;2.53
scale;30812;56130.2;75991.3;75977.6;78498;30812;;30812.00;1.82;2.47;2.47;2.55;;;;;scale;30812.00;1.82;2.47;2.47;2.55
add;26063.2;47277;68805.7;78820.5;83791.6;26063.2;;26063.20;1.81;2.64;3.02;3.21;;;;;add;26063.20;1.81;2.64;3.02;3.21
triad;27250.3;49372.6;68138.8;78011.8;83614.1;27250.3;;27250.30;1.81;2.50;2.86;3.07;;;;;triad;27250.30;1.81;2.50;2.86;3.07
