processor,node,bw
0-1,0,26325.440000000002
0-1,1,28104.16
0-1,2,16113.120000000003
0-1,3,16102.800000000001
0-2,0,26445.600000000002
0-2,1,18110.079999999998
0-2,2,25078.48
0-2,3,18162.320000000003
0-3,0,27474.72
0-3,1,14989.44
0-3,2,15285.04
0-3,3,26553.920000000002
1-2,0,15377.279999999999
1-2,1,25619.440000000002
1-2,2,29962.88
1-2,3,15494.48
1-3,0,18046.24
1-3,1,21708.88
1-3,2,18133.92
1-3,3,21525.68
2-3,0,16608.320000000003
2-3,1,15889.84
2-3,2,24191.440000000002
2-3,3,26072.24
