processor,node,bw
0-1,0,25275.76
0-1,1,26663.600000000002
0-1,2,15972.88
0-1,3,16027.759999999998
0-2,0,25334.96
0-2,1,18104.320000000003
0-2,2,27323.28
0-2,3,18164.16
0-3,0,27056.16
0-3,1,14938.640000000003
0-3,2,15362.960000000001
0-3,3,25634.16
1-2,0,15375.760000000002
1-2,1,24465.28
1-2,2,26770.96
1-2,3,15533.2
1-3,0,18040.719999999998
1-3,1,24157.280000000002
1-3,2,18126.48
1-3,3,23114.96
2-3,0,16661.760000000002
2-3,1,16710.48
2-3,2,24530.96
2-3,3,26653.120000000003
