pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,4750524,0,none,5,random,1,local,0,1,"0:0",128,128,1.004,45870814,21.89,1.65,38763.860
8,64,4096,8192,8192,8192,1,1,4750524,0,none,5,random,1,local,0,1,"0:0",128,128,1.003,45842124,21.89,1.65,38788.120
8,64,4096,8192,8192,8192,1,1,4750524,0,none,5,random,1,local,0,1,"0:0",128,128,1.009,46116019,21.89,1.66,38557.748
8,64,4096,8192,8192,8192,1,1,4750524,0,none,5,random,1,local,0,1,"0:0",128,128,1.013,46300349,21.89,1.67,38404.242
8,64,4096,8192,8192,8192,1,1,4750524,0,none,5,random,1,local,0,1,"0:0",128,128,1.006,45987925,21.89,1.66,38665.146
8,64,4096,8192,8192,8192,1,1,4747020,0,nta,5,random,1,local,0,1,"0:0",128,128,1.003,44894348,22.35,1.65,38753.235
8,64,4096,8192,8192,8192,1,1,4747020,0,nta,5,random,1,local,0,1,"0:0",128,128,1.018,45553942,22.35,1.68,38192.112
8,64,4096,8192,8192,8192,1,1,4747020,0,nta,5,random,1,local,0,1,"0:0",128,128,1.001,44786332,22.35,1.65,38846.701
8,64,4096,8192,8192,8192,1,1,4747020,0,nta,5,random,1,local,0,1,"0:0",128,128,1.007,45030546,22.35,1.66,38636.024
8,64,4096,8192,8192,8192,1,1,4747020,0,nta,5,random,1,local,0,1,"0:0",128,128,1.005,44957947,22.35,1.65,38698.414
8,64,4096,8192,8192,8192,1,1,4747693,0,t0,5,random,1,local,0,1,"0:0",128,128,1.001,45752659,21.89,1.65,38840.807
8,64,4096,8192,8192,8192,1,1,4747693,0,t0,5,random,1,local,0,1,"0:0",128,128,1.001,45746335,21.89,1.65,38846.176
8,64,4096,8192,8192,8192,1,1,4747693,0,t0,5,random,1,local,0,1,"0:0",128,128,1.001,45748414,21.89,1.65,38844.411
8,64,4096,8192,8192,8192,1,1,4747693,0,t0,5,random,1,local,0,1,"0:0",128,128,1.001,45747725,21.89,1.65,38844.996
8,64,4096,8192,8192,8192,1,1,4747693,0,t0,5,random,1,local,0,1,"0:0",128,128,1.001,45749445,21.89,1.65,38843.535
8,64,4096,8192,8192,8192,1,1,4706462,0,t1,5,random,1,local,0,1,"0:0",128,128,0.999,44689676,22.35,1.66,38598.100
8,64,4096,8192,8192,8192,1,1,4706462,0,t1,5,random,1,local,0,1,"0:0",128,128,1.013,45341741,22.35,1.68,38043.016
8,64,4096,8192,8192,8192,1,1,4706462,0,t1,5,random,1,local,0,1,"0:0",128,128,1.003,44851846,22.35,1.66,38458.541
8,64,4096,8192,8192,8192,1,1,4706462,0,t1,5,random,1,local,0,1,"0:0",128,128,0.993,44405990,22.35,1.65,38844.682
8,64,4096,8192,8192,8192,1,1,4706462,0,t1,5,random,1,local,0,1,"0:0",128,128,0.993,44429878,22.35,1.65,38823.797
8,64,4096,8192,8192,8192,1,1,4743603,0,t2,5,random,1,local,0,1,"0:0",128,128,1.001,45714594,21.89,1.65,38839.660
8,64,4096,8192,8192,8192,1,1,4743603,0,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45709993,21.89,1.65,38843.569
8,64,4096,8192,8192,8192,1,1,4743603,0,t2,5,random,1,local,0,1,"0:0",128,128,1.000,45705984,21.89,1.65,38846.976
8,64,4096,8192,8192,8192,1,1,4743603,0,t2,5,random,1,local,0,1,"0:0",128,128,1.009,46094523,21.89,1.66,38519.529
8,64,4096,8192,8192,8192,1,1,4743603,0,t2,5,random,1,local,0,1,"0:0",128,128,1.006,45960093,21.89,1.66,38632.196
8,64,4096,8192,8192,8192,1,1,4748637,0,none,5,forward,1,local,0,1,"0:0",128,128,1.001,45756017,21.89,1.65,38845.678
8,64,4096,8192,8192,8192,1,1,4748637,0,none,5,forward,1,local,0,1,"0:0",128,128,1.014,46325852,21.89,1.67,38367.854
8,64,4096,8192,8192,8192,1,1,4748637,0,none,5,forward,1,local,0,1,"0:0",128,128,1.007,46003985,21.89,1.66,38636.295
8,64,4096,8192,8192,8192,1,1,4748637,0,none,5,forward,1,local,0,1,"0:0",128,128,1.014,46332301,21.89,1.67,38362.514
8,64,4096,8192,8192,8192,1,1,4748637,0,none,5,forward,1,local,0,1,"0:0",128,128,1.001,45757307,21.89,1.65,38844.583
8,64,4096,8192,8192,8192,1,1,4741726,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,43828862,22.82,1.65,38841.857
8,64,4096,8192,8192,8192,1,1,4741726,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.009,44206785,22.82,1.66,38509.799
8,64,4096,8192,8192,8192,1,1,4741726,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,43834312,22.82,1.65,38837.028
8,64,4096,8192,8192,8192,1,1,4741726,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,43825036,22.82,1.65,38845.249
8,64,4096,8192,8192,8192,1,1,4741726,0,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,43857835,22.82,1.65,38816.198
8,64,4096,8192,8192,8192,1,1,4748526,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,44803394,22.35,1.65,38844.227
8,64,4096,8192,8192,8192,1,1,4748526,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,44803451,22.35,1.65,38844.177
8,64,4096,8192,8192,8192,1,1,4748526,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,44804309,22.35,1.65,38843.433
8,64,4096,8192,8192,8192,1,1,4748526,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,44803666,22.35,1.65,38843.991
8,64,4096,8192,8192,8192,1,1,4748526,0,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,44803307,22.35,1.65,38844.302
8,64,4096,8192,8192,8192,1,1,4751206,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,40597506,24.68,1.65,38846.192
8,64,4096,8192,8192,8192,1,1,4751206,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,40596897,24.68,1.65,38846.774
8,64,4096,8192,8192,8192,1,1,4751206,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,40593247,24.68,1.65,38850.267
8,64,4096,8192,8192,8192,1,1,4751206,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,40597427,24.68,1.65,38846.267
8,64,4096,8192,8192,8192,1,1,4751206,0,t1,5,forward,1,local,0,1,"0:0",128,128,1.002,40593346,24.68,1.65,38850.172
8,64,4096,8192,8192,8192,1,1,4744093,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.011,44305277,22.82,1.66,38443.371
8,64,4096,8192,8192,8192,1,1,4744093,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.001,43881828,22.82,1.65,38814.341
8,64,4096,8192,8192,8192,1,1,4744093,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.011,44321751,22.82,1.67,38429.082
8,64,4096,8192,8192,8192,1,1,4744093,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.002,43893059,22.82,1.65,38804.409
8,64,4096,8192,8192,8192,1,1,4744093,0,t2,5,forward,1,local,0,1,"0:0",128,128,1.007,44130260,22.82,1.66,38595.835
8,64,4096,8192,8192,8192,1,1,2805496,25,none,5,random,1,local,0,1,"0:0",128,128,0.999,45660725,21.89,2.78,22997.933
8,64,4096,8192,8192,8192,1,1,2805496,25,none,5,random,1,local,0,1,"0:0",128,128,0.999,45660838,21.89,2.78,22997.876
8,64,4096,8192,8192,8192,1,1,2805496,25,none,5,random,1,local,0,1,"0:0",128,128,0.999,45665384,21.89,2.78,22995.586
8,64,4096,8192,8192,8192,1,1,2805496,25,none,5,random,1,local,0,1,"0:0",128,128,0.999,45661610,21.89,2.78,22997.487
8,64,4096,8192,8192,8192,1,1,2805496,25,none,5,random,1,local,0,1,"0:0",128,128,0.999,45664134,21.89,2.78,22996.216
8,64,4096,8192,8192,8192,1,1,2713776,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44750916,22.35,2.88,22225.454
8,64,4096,8192,8192,8192,1,1,2713776,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44746410,22.35,2.88,22227.692
8,64,4096,8192,8192,8192,1,1,2713776,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44748312,22.35,2.88,22226.747
8,64,4096,8192,8192,8192,1,1,2713776,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44744290,22.35,2.88,22228.745
8,64,4096,8192,8192,8192,1,1,2713776,25,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44750233,22.35,2.88,22225.793
8,64,4096,8192,8192,8192,1,1,2712583,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45675790,21.89,2.88,22228.948
8,64,4096,8192,8192,8192,1,1,2712583,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45672412,21.89,2.88,22230.593
8,64,4096,8192,8192,8192,1,1,2712583,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45675069,21.89,2.88,22229.300
8,64,4096,8192,8192,8192,1,1,2712583,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45674718,21.89,2.88,22229.470
8,64,4096,8192,8192,8192,1,1,2712583,25,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45676968,21.89,2.88,22228.375
8,64,4096,8192,8192,8192,1,1,2710336,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45640388,21.89,2.88,22227.763
8,64,4096,8192,8192,8192,1,1,2710336,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45640188,21.89,2.88,22227.860
8,64,4096,8192,8192,8192,1,1,2710336,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45640913,21.89,2.88,22227.508
8,64,4096,8192,8192,8192,1,1,2710336,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45636507,21.89,2.88,22229.653
8,64,4096,8192,8192,8192,1,1,2710336,25,t1,5,random,1,local,0,1,"0:0",128,128,0.999,45640362,21.89,2.88,22227.775
8,64,4096,8192,8192,8192,1,1,2716380,25,t2,5,random,1,local,0,1,"0:0",128,128,1.001,44787556,22.35,2.88,22228.581
8,64,4096,8192,8192,8192,1,1,2716380,25,t2,5,random,1,local,0,1,"0:0",128,128,1.001,44787669,22.35,2.88,22228.525
8,64,4096,8192,8192,8192,1,1,2716380,25,t2,5,random,1,local,0,1,"0:0",128,128,1.002,44806365,22.35,2.88,22219.249
8,64,4096,8192,8192,8192,1,1,2716380,25,t2,5,random,1,local,0,1,"0:0",128,128,1.001,44797870,22.35,2.88,22223.463
8,64,4096,8192,8192,8192,1,1,2716380,25,t2,5,random,1,local,0,1,"0:0",128,128,1.001,44786885,22.35,2.88,22228.914
8,64,4096,8192,8192,8192,1,1,2806965,25,none,5,forward,1,local,0,1,"0:0",128,128,1.000,45679816,21.89,2.78,23000.358
8,64,4096,8192,8192,8192,1,1,2806965,25,none,5,forward,1,local,0,1,"0:0",128,128,1.000,45680436,21.89,2.78,23000.046
8,64,4096,8192,8192,8192,1,1,2806965,25,none,5,forward,1,local,0,1,"0:0",128,128,1.000,45680347,21.89,2.78,23000.091
8,64,4096,8192,8192,8192,1,1,2806965,25,none,5,forward,1,local,0,1,"0:0",128,128,1.000,45684191,21.89,2.78,22998.156
8,64,4096,8192,8192,8192,1,1,2806965,25,none,5,forward,1,local,0,1,"0:0",128,128,1.000,45679230,21.89,2.78,23000.654
8,64,4096,8192,8192,8192,1,1,2715875,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,45738625,21.89,2.88,22225.351
8,64,4096,8192,8192,8192,1,1,2715875,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,45743957,21.89,2.88,22222.760
8,64,4096,8192,8192,8192,1,1,2715875,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,45735080,21.89,2.88,22227.073
8,64,4096,8192,8192,8192,1,1,2715875,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,45736833,21.89,2.88,22226.222
8,64,4096,8192,8192,8192,1,1,2715875,25,nta,5,forward,1,local,0,1,"0:0",128,128,1.001,45733152,21.89,2.88,22228.011
8,64,4096,8192,8192,8192,1,1,2712279,25,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44717181,22.35,2.88,22229.952
8,64,4096,8192,8192,8192,1,1,2712279,25,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44721379,22.35,2.88,22227.865
8,64,4096,8192,8192,8192,1,1,2712279,25,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44717144,22.35,2.88,22229.970
8,64,4096,8192,8192,8192,1,1,2712279,25,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44721438,22.35,2.88,22227.835
8,64,4096,8192,8192,8192,1,1,2712279,25,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44720712,22.35,2.88,22228.196
8,64,4096,8192,8192,8192,1,1,2716277,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,43878190,22.82,2.88,22225.374
8,64,4096,8192,8192,8192,1,1,2716277,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,43873724,22.82,2.88,22227.636
8,64,4096,8192,8192,8192,1,1,2716277,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,43870392,22.82,2.88,22229.325
8,64,4096,8192,8192,8192,1,1,2716277,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,43873139,22.82,2.88,22227.933
8,64,4096,8192,8192,8192,1,1,2716277,25,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,43870028,22.82,2.88,22229.509
8,64,4096,8192,8192,8192,1,1,2715593,25,t2,5,forward,1,local,0,1,"0:0",128,128,1.001,44772373,22.35,2.88,22229.676
8,64,4096,8192,8192,8192,1,1,2715593,25,t2,5,forward,1,local,0,1,"0:0",128,128,1.001,44776467,22.35,2.88,22227.644
8,64,4096,8192,8192,8192,1,1,2715593,25,t2,5,forward,1,local,0,1,"0:0",128,128,1.002,44835264,22.35,2.88,22198.495
8,64,4096,8192,8192,8192,1,1,2715593,25,t2,5,forward,1,local,0,1,"0:0",128,128,1.001,44804454,22.35,2.88,22213.759
8,64,4096,8192,8192,8192,1,1,2715593,25,t2,5,forward,1,local,0,1,"0:0",128,128,1.001,44782413,22.35,2.88,22224.692
8,64,4096,8192,8192,8192,1,1,773016,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,44725464,22.35,10.10,6334.498
8,64,4096,8192,8192,8192,1,1,773016,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,44719872,22.35,10.10,6335.290
8,64,4096,8192,8192,8192,1,1,773016,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,44722275,22.35,10.10,6334.950
8,64,4096,8192,8192,8192,1,1,773016,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,44720026,22.35,10.10,6335.268
8,64,4096,8192,8192,8192,1,1,773016,100,none,5,random,1,local,0,1,"0:0",128,128,1.000,44726151,22.35,10.10,6334.401
8,64,4096,8192,8192,8192,1,1,773362,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44759043,22.35,10.11,6332.579
8,64,4096,8192,8192,8192,1,1,773362,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44757173,22.35,10.11,6332.843
8,64,4096,8192,8192,8192,1,1,773362,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44759506,22.35,10.11,6332.513
8,64,4096,8192,8192,8192,1,1,773362,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44753202,22.35,10.11,6333.405
8,64,4096,8192,8192,8192,1,1,773362,100,nta,5,random,1,local,0,1,"0:0",128,128,1.000,44756974,22.35,10.11,6332.872
8,64,4096,8192,8192,8192,1,1,773270,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45703031,21.89,10.11,6332.980
8,64,4096,8192,8192,8192,1,1,773270,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45702521,21.89,10.11,6333.051
8,64,4096,8192,8192,8192,1,1,773270,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45704228,21.89,10.11,6332.814
8,64,4096,8192,8192,8192,1,1,773270,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45698703,21.89,10.10,6333.580
8,64,4096,8192,8192,8192,1,1,773270,100,t0,5,random,1,local,0,1,"0:0",128,128,1.000,45702896,21.89,10.11,6332.999
8,64,4096,8192,8192,8192,1,1,772802,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,45676037,21.89,10.11,6332.887
8,64,4096,8192,8192,8192,1,1,772802,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,45671630,21.89,10.10,6333.499
8,64,4096,8192,8192,8192,1,1,772802,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,45675374,21.89,10.11,6332.979
8,64,4096,8192,8192,8192,1,1,772802,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,45669892,21.89,10.10,6333.740
8,64,4096,8192,8192,8192,1,1,772802,100,t1,5,random,1,local,0,1,"0:0",128,128,1.000,45676613,21.89,10.11,6332.808
8,64,4096,8192,8192,8192,1,1,773397,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,44754316,22.35,10.10,6333.534
8,64,4096,8192,8192,8192,1,1,773397,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,44760095,22.35,10.11,6332.717
8,64,4096,8192,8192,8192,1,1,773397,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,44755788,22.35,10.11,6333.326
8,64,4096,8192,8192,8192,1,1,773397,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,44758392,22.35,10.11,6332.958
8,64,4096,8192,8192,8192,1,1,773397,100,t2,5,random,1,local,0,1,"0:0",128,128,1.000,44758261,22.35,10.11,6332.976
8,64,4096,8192,8192,8192,1,1,771863,100,none,5,forward,1,local,0,1,"0:0",128,128,0.998,45610004,21.89,10.10,6334.350
8,64,4096,8192,8192,8192,1,1,771863,100,none,5,forward,1,local,0,1,"0:0",128,128,0.998,45608174,21.89,10.10,6334.604
8,64,4096,8192,8192,8192,1,1,771863,100,none,5,forward,1,local,0,1,"0:0",128,128,0.998,45604107,21.89,10.10,6335.169
8,64,4096,8192,8192,8192,1,1,771863,100,none,5,forward,1,local,0,1,"0:0",128,128,0.998,45608185,21.89,10.10,6334.603
8,64,4096,8192,8192,8192,1,1,771863,100,none,5,forward,1,local,0,1,"0:0",128,128,0.998,45603955,21.89,10.10,6335.190
8,64,4096,8192,8192,8192,1,1,773086,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,45694153,21.89,10.11,6332.703
8,64,4096,8192,8192,8192,1,1,773086,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,45694857,21.89,10.11,6332.605
8,64,4096,8192,8192,8192,1,1,773086,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,45698315,21.89,10.11,6332.126
8,64,4096,8192,8192,8192,1,1,773086,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,45699043,21.89,10.11,6332.025
8,64,4096,8192,8192,8192,1,1,773086,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,45696886,21.89,10.11,6332.324
8,64,4096,8192,8192,8192,1,1,773083,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44741460,22.35,10.11,6332.782
8,64,4096,8192,8192,8192,1,1,773083,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44740120,22.35,10.11,6332.972
8,64,4096,8192,8192,8192,1,1,773083,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44746774,22.35,10.11,6332.030
8,64,4096,8192,8192,8192,1,1,773083,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44737477,22.35,10.11,6333.346
8,64,4096,8192,8192,8192,1,1,773083,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,44740750,22.35,10.11,6332.883
8,64,4096,8192,8192,8192,1,1,772944,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45685838,21.89,10.11,6332.692
8,64,4096,8192,8192,8192,1,1,772944,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45684783,21.89,10.11,6332.839
8,64,4096,8192,8192,8192,1,1,772944,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45688059,21.89,10.11,6332.384
8,64,4096,8192,8192,8192,1,1,772944,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45683158,21.89,10.11,6333.064
8,64,4096,8192,8192,8192,1,1,772944,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,45685771,21.89,10.11,6332.702
8,64,4096,8192,8192,8192,1,1,773342,100,t2,5,forward,1,local,0,1,"0:0",128,128,1.000,44757086,22.35,10.11,6332.692
8,64,4096,8192,8192,8192,1,1,773342,100,t2,5,forward,1,local,0,1,"0:0",128,128,1.000,44752710,22.35,10.11,6333.311
8,64,4096,8192,8192,8192,1,1,773342,100,t2,5,forward,1,local,0,1,"0:0",128,128,1.000,44756409,22.35,10.11,6332.788
